configID	家具ID	单次建造数量	首次获得经验	所需材料1ID	所需材料1数量	所需材料2ID	所需材料2数量	所需材料3ID	所需材料3数量	建造时长	可被加速时长	瞬发道具消耗数	天赋不返回ID
121	363306	1	60	101002	4	0	0	101402	4	50400	14400	1	
122	363307	1	60	101002	4	0	0	101402	4	50400	14400	1	
123	363308	1	60	101305	4	101404	4	101002	4	50400	14400	1	
124	363205	1	60	101303	4	0	0	101404	4	50400	14400	1	
125	363309	1	60	101001	4	0	0	101403	4	50400	14400	1	
126	361401	1	60	101307	12	101404	3	101402	3	50400	14400	1	
127	361402	1	60	101304	12	101403	3	101402	3	50400	14400	1	
128	361105	1	60	101301	12	0	0	0	0	50400	14400	1	
129	362204	1	60	101301	8	0	0	0	0	50400	14400	1	
130	362205	1	60	101304	8	101404	2	101402	2	50400	14400	1	
131	361106	1	60	101304	12	101404	3	101402	3	50400	14400	1	
132	364211	1	90	101401	12	0	0	101402	12	57600	14400	1	
133	362206	1	90	101401	12	101403	6	101402	6	57600	14400	1	
134	362207	1	90	101401	12	101403	6	101402	6	57600	14400	1	
135	363104	1	60	101001	8	0	0	0	0	50400	14400	1	
136	370301	1	60	101308	8	101401	2	101402	2	50400	14400	1	
137	370302	1	60	101308	8	101401	2	101404	2	50400	14400	1	
138	370303	1	60	101308	8	101401	4	0	0	50400	14400	1	
139	370304	1	90	101308	12	101001	6	101002	6	57600	14400	1	
140	370305	1	60	101308	4	101401	4	101402	4	50400	14400	1	
141	370201	1	60	101308	12	101301	6	0	0	50400	14400	1	
142	370202	1	60	101308	12	101301	6	0	0	50400	14400	1	
143	370203	1	60	101308	12	101301	6	0	0	50400	14400	1	
144	370204	1	60	101308	12	101301	6	0	0	50400	14400	1	
145	371101	1	90	101002	12	101001	12	0	0	57600	14400	1	
146	370205	1	60	101308	12	101301	6	0	0	50400	14400	1	
147	370206	1	60	101308	12	101301	6	0	0	50400	14400	1	
148	370207	1	60	101303	12	0	0	0	0	50400	14400	1	
149	370306	1	60	101305	12	0	0	0	0	50400	14400	1	
150	370501	1	60	101308	8	101401	2	101404	2	50400	14400	1	
151	370307	1	60	101301	12	0	0	0	0	50400	14400	1	
152	370101	1	30	101308	8	0	0	0	0	43200	14400	1	
153	370102	1	30	101308	8	0	0	0	0	43200	14400	1	
154	370502	1	30	101308	8	0	0	0	0	43200	14400	1	
155	370103	1	60	101303	6	101304	6	101002	6	50400	14400	1	
156	370104	1	60	101303	6	101304	6	101002	6	50400	14400	1	
157	370105	1	60	101303	6	101304	6	101002	6	50400	14400	1	
158	370106	1	60	101303	6	101304	6	101002	6	50400	14400	1	
159	370107	1	60	101303	6	101304	6	101002	6	50400	14400	1	
160	370108	1	60	101303	6	101304	6	101002	6	50400	14400	1	
161	370208	1	60	101303	6	101304	6	101002	6	50400	14400	1	
162	371201	1	90	101303	8	101304	8	101002	8	57600	14400	1	
163	370401	1	60	101301	12	0	0	0	0	50400	14400	1	
164	371102	1	60	101301	12	0	0	0	0	50400	14400	1	
165	370402	1	90	101301	30	0	0	0	0	57600	14400	1	
166	371103	1	30	101301	4	0	0	0	0	43200	14400	1	
167	374301	1	60	101301	12	0	0	0	0	50400	14400	1	
168	370503	1	60	101301	8	101401	4	0	0	50400	14400	1	
169	370504	1	60	101301	8	101401	4	0	0	50400	14400	1	
171	374302	1	30	101303	6	101401	2	0	0	43200	14400	1	
172	374303	1	60	101308	12	101401	4	0	0	50400	14400	1	
173	374304	1	30	101303	8	0	0	0	0	43200	14400	1	
174	370308	1	60	101301	8	101401	4	0	0	50400	14400	1	
175	374305	1	60	101308	4	101001	8	0	0	50400	14400	1	
176	374306	1	90	101002	20	0	0	0	0	57600	14400	1	
177	373301	1	30	101308	4	0	0	0	0	43200	14400	1	
178	373302	1	30	101308	4	0	0	0	0	43200	14400	1	
179	373303	1	60	101308	8	0	0	0	0	50400	14400	1	
180	373101	1	30	101308	4	0	0	0	0	43200	14400	1	
181	373102	1	30	101308	4	0	0	0	0	43200	14400	1	
182	373304	1	30	101308	4	0	0	0	0	43200	14400	1	
183	373103	1	30	101308	4	0	0	0	0	43200	14400	1	
184	373305	1	60	101002	8	101308	4	0	0	50400	14400	1	
185	373104	1	60	101305	12	0	0	0	0	50400	14400	1	
186	373201	1	60	101002	4	101303	8	0	0	50400	14400	1	
187	373105	1	60	101308	4	101305	4	101401	4	50400	14400	1	
188	373106	1	60	101308	4	101305	4	101401	4	50400	14400	1	
189	370309	1	60	101303	12	0	0	0	0	50400	14400	1	
190	374401	1	60	101303	12	0	0	0	0	50400	14400	1	
191	374402	1	60	101308	8	101401	4	101404	4	50400	14400	1	
192	374307	1	60	101303	12	0	0	0	0	50400	14400	1	
193	373306	1	60	101308	4	101401	4	101402	4	50400	14400	1	
194	373107	1	30	101401	4	0	0	0	0	43200	14400	1	
195	373307	1	30	101002	4	0	0	0	0	43200	14400	1	
196	373308	1	60	101002	4	101308	8	0	0	50400	14400	1	
197	373309	1	90	101002	12	0	0	0	0	57600	14400	1	
198	373310	1	90	101002	12	0	0	0	0	57600	14400	1	
199	373108	1	60	101401	12	0	0	0	0	50400	14400	1	
200	373109	1	60	101401	12	0	0	0	0	50400	14400	1	
201	373110	1	30	101001	4	0	0	0	0	43200	14400	1	
202	374101	1	30	101305	4	0	0	0	0	43200	14400	1	
203	374102	1	30	101303	4	0	0	0	0	43200	14400	1	
204	374103	1	30	101308	4	0	0	0	0	43200	14400	1	
205	374104	1	30	101308	4	0	0	0	0	43200	14400	1	
206	373111	1	60	101308	8	0	0	0	0	50400	14400	1	
207	373112	1	60	101001	12	0	0	0	0	50400	14400	1	
208	373113	1	30	101308	4	0	0	0	0	43200	14400	1	
209	374201	1	30	101308	4	0	0	0	0	43200	14400	1	
210	374202	1	30	101002	4	0	0	0	0	43200	14400	1	
211	374308	1	60	101305	12	0	0	0	0	50400	14400	1	
212	374309	1	60	101308	12	0	0	0	0	50400	14400	1	
213	373202	1	60	101308	12	0	0	0	0	50400	14400	1	
214	374105	1	60	101308	12	0	0	0	0	50400	14400	1	
215	373401	1	60	101001	4	101401	4	101404	4	50400	14400	1	
216	373402	1	30	101303	4	0	0	0	0	43200	14400	1	
217	373403	1	60	101303	4	101305	4	0	0	50400	14400	1	
218	373404	1	60	101303	4	101305	4	0	0	50400	14400	1	
219	373405	1	60	101304	4	101305	4	0	0	50400	14400	1	
238	373114	1	60	101401	4	101303	4	0	0	50400	14400	1	
239	371202	1	90	101301	12	101002	6	0	0	57600	14400	1	
240	371203	1	90	101301	8	101002	4	0	0	57600	14400	1	
241	371204	1	90	101301	8	101002	4	0	0	57600	14400	1	
242	360406	1	90	101304	6	101401	6	101402	6	57600	14400	1	
243	371104	1	90	101301	24	101002	6	0	0	57600	14400	1	
244	371205	1	90	101304	12	0	0	101002	6	57600	14400	1	
245	371206	1	90	101304	8	0	0	101002	4	57600	14400	1	
246	371207	1	90	101304	8	0	0	101002	4	57600	14400	1	
247	371208	1	90	101304	8	0	0	101002	4	57600	14400	1	
248	371209	1	90	101304	8	0	0	101002	4	57600	14400	1	
249	371210	1	90	101304	12	0	0	101002	6	57600	14400	1	
250	371211	1	90	101304	12	0	0	101002	6	57600	14400	1	
251	370110	1	90	101304	18	0	0	101002	6	57600	14400	1	
252	370109	1	90	101304	12	101303	12	101002	6	57600	14400	1	
253	362208	1	90	101304	12	101401	6	101403	6	57600	14400	1	
254	362209	1	90	101307	6	101304	6	101402	6	57600	14400	1	
255	373115	1	30	101308	4	0	0	0	0	43200	14400	1	
256	373203	1	30	101308	4	0	0	0	0	43200	14400	1	
257	374106	1	60	101308	8	0	0	0	0	50400	14400	1	
258	374107	1	30	101308	4	0	0	0	0	43200	14400	1	
259	374108	1	30	101308	4	0	0	0	0	43200	14400	1	
260	373116	1	30	101308	4	0	0	0	0	43200	14400	1	
261	371107	1	30	101308	8	0	0	0	0	43200	14400	1	
262	373117	1	30	101308	4	0	0	0	0	43200	14400	1	
263	373118	1	60	101308	4	101401	4	0	0	50400	14400	1	
264	373311	1	60	101303	8	0	0	0	0	50400	14400	1	
265	373312	1	60	101303	4	101401	4	0	0	50400	14400	1	
266	373119	1	60	101002	8	0	0	0	0	50400	14400	1	
267	363310	1	60	101002	4	0	0	0	0	50400	14400	1	
268	374311	1	90	101302	8	101401	4	0	0	57600	14400	1	
269	374403	1	90	101302	4	101301	4	101308	4	57600	14400	1	
270	373120	1	90	101303	4	101401	8	0	0	57600	14400	1	
271	374404	1	90	101303	4	101002	8	0	0	57600	14400	1	
272	373313	1	90	101302	4	101001	4	101002	4	57600	14400	1	
273	373121	1	60	101401	8	0	0	0	0	50400	14400	1	
274	373122	1	60	101303	4	101301	4	0	0	50400	14400	1	
275	373123	1	60	101308	8	0	0	0	0	50400	14400	1	
276	373124	1	60	101303	4	101301	4	0	0	50400	14400	1	
277	374203	1	90	101302	8	101401	4	0	0	57600	14400	1	
279	371109	1	90	101002	6	101001	6	0	0	57600	14400	1	
280	374310	1	90	101303	6	101301	6	0	0	57600	14400	1	
281	374312	1	60	101309	8	101001	2	101402	2	50400	14400	1	
282	363312	1	60	101310	4	101001	4	0	0	50400	14400	1	
283	374204	1	60	101309	6	101001	2	101402	4	50400	14400	1	
284	373125	1	90	101312	8	101002	4	0	0	57600	14400	1	
285	373204	1	60	101303	4	101002	4	0	0	50400	14400	1	
286	373406	1	60	101002	4	101001	4	0	0	50400	14400	1	
287	370601	1	60	101312	8	0	0	0	0	50400	14400	1	
288	370602	1	90	101309	16	101402	8	0	0	57600	14400	1	
289	370310	1	60	101312	8	101404	4	0	0	50400	14400	1	
290	371110	1	90	101309	16	101402	8	0	0	57600	14400	1	
291	373126	1	60	101312	8	101002	4	0	0	50400	14400	1	
292	373127	1	90	101310	8	101401	4	101404	4	57600	14400	1	
293	373407	1	60	101311	4	101401	2	101402	2	50400	14400	1	
294	373408	1	60	101001	8	0	0	0	0	50400	14400	1	
295	373409	1	60	101312	8	0	0	0	0	50400	14400	1	
297	373601	1	90	101307	8	101002	4	0	0	57600	14400	1	
298	374501	1	60	101002	8	0	0	0	0	50400	14400	1	
299	374502	1	60	101002	4	0	0	0	0	50400	14400	1	
300	374503	1	60	101002	4	0	0	0	0	50400	14400	1	
301	360103	1	60	101310	8	101403	4	0	0	50400	14400	1	
302	360303	1	60	101310	8	101403	4	0	0	50400	14400	1	
303	360203	1	60	101310	8	101403	4	0	0	50400	14400	1	
306	371212	1	90	101304	12	0	0	101002	6	57600	14400	1	
307	371213	1	60	101311	12	0	0	0	0	50400	14400	1	
308	371214	1	60	101311	8	101404	4	0	0	50400	14400	1	
309	371215	1	60	101311	8	101404	4	0	0	50400	14400	1	
310	370603	1	90	101311	24	101404	6	0	0	57600	14400	1	
311	370604	1	60	101311	12	101404	6	0	0	50400	14400	1	
312	370605	1	60	101311	12	101404	6	0	0	50400	14400	1	
313	370606	1	60	101312	12	101404	3	101403	3	50400	14400	1	
314	370607	1	60	101312	12	101404	3	101403	3	50400	14400	1	
315	370608	1	60	101312	12	101404	3	101403	3	50400	14400	1	
316	370609	1	60	101312	12	101403	6	0	0	50400	14400	1	
317	370610	1	60	101312	12	101403	6	0	0	50400	14400	1	
318	370611	1	60	101312	16	0	0	0	0	50400	14400	1	
319	370612	1	60	101312	16	0	0	0	0	50400	14400	1	
320	370613	1	60	101312	16	0	0	0	0	50400	14400	1	
321	370614	1	60	101312	16	0	0	0	0	50400	14400	1	
322	370615	1	90	101310	12	101403	6	101404	6	57600	14400	1	
323	370616	1	90	101310	12	101403	6	101404	6	57600	14400	1	
324	370617	1	90	101310	12	101403	6	101404	6	57600	14400	1	
325	370505	1	60	101312	12	101404	6	0	0	50400	14400	1	
326	370507	1	30	101312	4	0	0	0	0	43200	14400	1	
327	371216	1	30	101312	8	0	0	0	0	43200	14400	1	
328	371217	1	30	101312	4	0	0	0	0	43200	14400	1	
329	370618	1	60	101312	12	0	0	0	0	50400	14400	1	
330	370619	1	90	101312	24	101001	6	0	0	57600	14400	1	
331	370620	1	60	101312	12	101001	6	0	0	50400	14400	1	
332	370621	1	60	101312	6	101002	6	101404	6	50400	14400	1	
333	371218	1	60	101312	8	0	0	0	0	50400	14400	1	
334	371219	1	60	101312	8	0	0	0	0	50400	14400	1	
335	371220	1	60	101312	8	0	0	0	0	50400	14400	1	
337	371112	1	60	101309	12	101402	6	0	0	50400	14400	1	
339	370623	1	90	101309	12	101402	6	0	0	57600	14400	1	
340	373315	1	60	101309	12	101402	6	0	0	50400	14400	1	
341	373128	1	30	101312	8	0	0	0	0	43200	14400	1	
342	370508	1	60	101401	6	101402	6	101404	6	50400	14400	1	
343	370509	1	60	101312	8	0	0	0	0	50400	14400	1	
344	370624	1	90	101309	24	101402	6	0	0	57600	14400	1	
345	370625	1	90	101309	12	101402	6	0	0	57600	14400	1	
346	371221	1	90	101309	12	101402	6	0	0	57600	14400	1	
347	371222	1	90	101309	12	101402	6	0	0	57600	14400	1	
348	370510	1	90	101312	6	101401	6	101404	6	57600	14400	1	
349	370511	1	90	101312	6	101401	6	101404	6	57600	14400	1	
350	370626	1	90	101310	12	101002	6	0	0	57600	14400	1	
351	371113	1	90	101310	12	101002	6	0	0	57600	14400	1	
352	371114	1	90	101310	8	101002	4	0	0	57600	14400	1	
353	371115	1	90	101310	8	101002	4	0	0	57600	14400	1	
354	370627	1	90	101310	12	101002	6	0	0	57600	14400	1	
355	371223	1	90	101310	8	101002	4	0	0	57600	14400	1	
356	371224	1	90	101310	8	101002	4	0	0	57600	14400	1	
357	371225	1	90	101310	8	101002	4	0	0	57600	14400	1	
358	371226	1	90	101310	8	101002	4	0	0	57600	14400	1	
359	374313	1	30	101312	4	0	0	0	0	43200	14400	1	
361	374205	1	30	101312	4	0	0	0	0	43200	14400	1	
363	373410	1	30	101312	4	101401	2	0	0	43200	14400	1	
364	373411	1	60	101309	8	101402	4	0	0	50400	14400	1	
365	373412	1	60	101309	8	101402	4	0	0	50400	14400	1	
366	373413	1	30	101002	4	0	0	0	0	43200	14400	1	
367	373414	1	30	101312	4	101401	2	0	0	43200	14400	1	
368	373415	1	30	101312	4	101401	2	0	0	43200	14400	1	
369	373416	1	60	101311	8	101404	4	0	0	50400	14400	1	
370	373316	1	60	101401	8	101402	4	101404	4	50400	14400	1	
371	373317	1	60	101311	12	0	0	0	0	50400	14400	1	
372	373318	1	60	101311	8	101002	4	0	0	50400	14400	1	
373	373319	1	30	101312	4	101001	2	0	0	43200	14400	1	
374	373320	1	30	101312	4	0	0	0	0	43200	14400	1	
375	373321	1	60	101002	8	0	0	0	0	50400	14400	1	
376	373322	1	60	101312	6	101403	4	101404	4	50400	14400	1	
377	373323	1	60	101310	6	101401	6	0	0	50400	14400	1	
378	373324	1	60	101310	6	101401	6	0	0	50400	14400	1	
379	373325	1	60	101001	6	101402	6	0	0	50400	14400	1	
380	373326	1	60	101001	6	101404	6	0	0	50400	14400	1	
381	373129	1	30	101312	4	101401	2	0	0	43200	14400	1	
382	373130	1	30	101312	4	101401	2	0	0	43200	14400	1	
383	373131	1	30	101312	4	101001	2	0	0	43200	14400	1	
384	373327	1	60	101002	6	101401	4	101402	4	50400	14400	1	
385	373328	1	60	101312	6	101001	6	0	0	50400	14400	1	
386	373329	1	60	101309	8	0	0	0	0	50400	14400	1	
387	373330	1	90	101311	6	101002	6	101404	6	57600	14400	1	
388	373331	1	60	101002	8	0	0	0	0	50400	14400	1	
389	374109	1	60	101312	8	0	0	0	0	50400	14400	1	
390	374110	1	60	101312	8	0	0	0	0	50400	14400	1	
391	374111	1	60	101312	8	0	0	0	0	50400	14400	1	
392	373332	1	30	101311	4	0	0	0	0	43200	14400	1	
393	373132	1	30	101312	4	0	0	0	0	43200	14400	1	
394	373133	1	30	101312	4	0	0	0	0	43200	14400	1	
395	363313	1	60	101310	4	101001	4	0	0	50400	14400	1	
396	362210	1	30	101401	4	0	0	0	0	43200	14400	1	
397	363206	1	60	101002	8	0	0	0	0	50400	14400	1	
398	363207	1	60	101002	8	0	0	0	0	50400	14400	1	
399	363208	1	60	101002	8	0	0	0	0	50400	14400	1	
400	363314	1	60	101310	4	101312	4	101002	4	50400	14400	1	
401	361313	1	60	101001	8	0	0	0	0	50400	14400	1	
402	370111	1	60	101311	4	101403	4	101402	4	50400	14400	1	
403	360407	1	60	101001	8	0	0	0	0	50400	14400	1	
404	360408	1	60	101310	8	0	0	0	0	50400	14400	1	
405	360409	1	60	101310	6	101401	6	0	0	50400	14400	1	
406	360410	1	60	101310	4	101401	4	101403	4	50400	14400	1	
407	360411	1	60	101401	4	101402	4	101404	4	50400	14400	1	
408	360412	1	90	101401	8	101402	8	0	0	57600	14400	1	
409	360413	1	60	101401	4	101402	8	0	0	50400	14400	1	
410	360414	1	60	101310	8	101401	4	0	0	50400	14400	1	
411	361502	1	60	101310	12	0	0	0	0	50400	14400	1	
412	362108	1	30	101310	4	0	0	0	0	43200	14400	1	
413	364107	1	90	101401	8	101404	16	0	0	57600	14400	1	
414	364108	1	90	101401	8	101404	16	0	0	57600	14400	1	
415	364109	1	90	101401	8	101404	16	0	0	57600	14400	1	
416	364110	1	90	101401	8	101404	16	0	0	57600	14400	1	
417	361209	1	90	101310	8	101002	8	101403	8	57600	14400	1	
418	361210	1	90	101310	8	101002	8	101403	8	57600	14400	1	
419	370112	1	60	101311	6	101401	6	0	0	50400	14400	1	
420	370113	1	60	101311	6	101401	6	0	0	50400	14400	1	
421	370114	1	60	101309	12	0	0	0	0	50400	14400	1	
422	362211	1	60	101310	4	101401	4	101403	4	50400	14400	1	
423	362212	1	60	101310	4	101401	4	101403	4	50400	14400	1	
424	362213	1	90	101309	6	101401	6	101403	6	57600	14400	1	
425	370115	1	60	101309	4	101401	4	101404	4	50400	14400	1	
426	362214	1	90	101311	4	101002	4	101404	4	57600	14400	1	
427	362215	1	90	101311	4	101002	4	101404	4	57600	14400	1	
428	362216	1	90	101309	12	101401	6	0	0	57600	14400	1	
429	361314	1	90	101309	6	101401	6	101404	6	57600	14400	1	
430	363315	1	60	101310	4	101401	4	101002	4	50400	14400	1	
431	363316	1	60	101310	4	101401	4	101402	4	50400	14400	1	
432	363317	1	60	101311	4	101401	4	101404	4	50400	14400	1	
433	363318	1	60	101311	4	101401	4	101403	4	50400	14400	1	
434	361403	1	60	101309	12	0	0	0	0	50400	14400	1	
435	370512	1	60	101311	8	101404	4	0	0	50400	14400	1	
436	371116	1	60	101002	12	0	0	0	0	50400	14400	1	
437	371227	1	60	101311	12	0	0	0	0	50400	14400	1	
438	371228	1	60	101311	8	0	0	0	0	50400	14400	1	
439	371229	1	60	101311	8	0	0	0	0	50400	14400	1	
440	361315	1	60	101311	8	0	0	0	0	50400	14400	1	
441	361316	1	60	101310	8	0	0	0	0	50400	14400	1	
442	371230	1	60	101311	12	0	0	0	0	50400	14400	1	
443	373333	1	60	101312	8	101001	4	0	0	50400	14400	1	
444	364501	1	90	101302	12	101401	6	0	0	57600	14400	1	
445	374504	1	60	101002	4	0	0	0	0	50400	14400	1	
446	371117	1	90	101002	12	101001	12	0	0	57600	14400	1	
447	362218	1	90	101304	12	101401	3	101402	3	57600	14400	1	
448	362219	1	90	101304	12	101401	3	101402	3	57600	14400	1	
449	373337	1	60	101304	4	101401	4	101402	4	50400	14400	1	
450	370513	1	60	101304	4	101401	4	101402	4	50400	14400	1	
451	370514	1	60	101304	4	101401	4	101404	4	50400	14400	1	
452	370515	1	60	101304	4	101401	4	101402	4	50400	14400	1	
453	373134	1	90	101304	8	101002	4	0	0	57600	14400	1	
454	373338	1	60	101304	4	101401	4	101402	4	50400	14400	1	
455	373339	1	90	101304	8	101401	4	0	0	57600	14400	1	
456	360415	1	60	101002	4	101403	4	0	0	50400	14400	1	
457	360416	1	60	101304	4	101401	4	101402	4	50400	14400	1	
458	372107	1	60	101002	8	0	0	0	0	50400	14400	1	
459	370628	1	60	101311	12	101404	6	0	0	50400	14400	1	
460	370629	1	60	101311	12	101404	6	0	0	50400	14400	1	
461	370630	1	60	101311	12	101404	6	0	0	50400	14400	1	
462	371118	1	90	101002	12	0	0	0	0	57600	14400	1	
463	370516	1	60	101309	8	101401	4	0	0	50400	14400	1	
464	370517	1	60	101309	8	101401	4	0	0	50400	14400	1	
465	373343	1	90	101309	6	101403	3	101402	3	57600	14400	1	
466	373344	1	60	101309	6	101401	6	0	0	50400	14400	1	
467	373137	1	60	101002	4	101001	4	0	0	50400	14400	1	
468	373138	1	60	101312	12	0	0	0	0	50400	14400	1	
469	370116	1	90	101307	12	101401	3	101404	3	57600	14400	1	
470	374315	1	90	101307	8	101402	4	0	0	57600	14400	1	
471	374207	1	60	101307	8	0	0	0	0	50400	14400	1	
472	374316	1	90	101307	6	101401	3	101404	3	57600	14400	1	
473	373346	1	90	101307	12	101401	6	0	0	57600	14400	1	
474	373347	1	90	101307	12	101401	6	0	0	57600	14400	1	
475	374505	1	60	101002	8	0	0	0	0	50400	14400	1	
476	371119	1	90	101304	12	101001	6	0	0	57600	14400	1	
477	371120	1	60	101304	8	101001	4	0	0	50400	14400	1	
478	360418	1	60	101002	4	101001	4	0	0	50400	14400	1	
479	373141	1	90	101002	8	101401	8	0	0	57600	14400	1	
480	363106	1	90	101002	6	101001	6	0	0	57600	14400	1	
481	363322	1	90	101002	12	0	0	0	0	57600	14400	1	
482	370518	1	90	101302	12	101401	6	101402	6	57600	14400	1	
483	373350	1	90	101302	6	101401	3	101402	3	57600	14400	1	
484	373351	1	90	101002	8	101402	4	0	0	57600	14400	1	
485	373352	1	90	101302	6	101401	3	101402	3	57600	14400	1	
486	373353	1	90	101302	6	101401	3	101402	3	57600	14400	1	
487	373354	1	90	101302	6	101401	3	101402	3	57600	14400	1	
488	373602	1	90	101315	8	101002	4	0	0	57600	14400	1	
489	362221	1	60	101002	4	101404	4	0	0	50400	14400	1	
490	362222	1	60	101002	4	101404	2	101403	2	50400	14400	1	
491	362223	1	60	101002	4	101403	4	0	0	50400	14400	1	
492	362224	1	30	101001	3	101403	3	0	0	43200	14400	1	
493	362225	1	30	101001	3	101403	3	0	0	43200	14400	1	
494	362226	1	30	101001	3	101403	3	0	0	43200	14400	1	
495	362227	1	30	101001	6	0	0	0	0	43200	14400	1	
496	363325	1	60	101314	8	0	0	0	0	50400	14400	1	
497	363326	1	60	101314	8	0	0	0	0	50400	14400	1	
498	362305	1	60	101401	8	101404	4	0	0	50400	14400	1	
499	362306	1	60	101401	8	101403	4	0	0	50400	14400	1	
500	362307	1	60	101401	8	101403	4	0	0	50400	14400	1	
501	370701	1	60	101315	8	101401	4	0	0	50400	14400	1	
502	370702	1	60	101315	8	101401	4	0	0	50400	14400	1	
503	370703	1	60	101315	8	101401	4	0	0	50400	14400	1	
