定制ID,对应圣遗物ID,定制等级,定制突破等级,定制主属性类别,定制追加属性ID
1042,82524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1043,82534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1044,82544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1045,82554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1051,80514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1052,80524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1053,80534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1054,80544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1055,80554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1061,92514,21,,15015,501023#501233#501203#501223#501023#501233#501203#501223#501023
1062,92524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1063,92534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1064,92544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1065,92554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1071,90514,21,,15011,501023#501233#501203#501223#501023#501233#501203#501223#501023
1072,90524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1073,90534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1074,90544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1075,90554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1078,90534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1081,79514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1082,79524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1083,79534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1084,79544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1085,79554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1091,95514,21,,15013,501023#501233#501203#501223#501023#501233#501203#501223#501023
1092,95524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1093,95534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1094,95544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1095,95554,21,,10006,501053#501023#501203#501223#501053#501023#501203#501223#501053
1101,81514,21,,15011,501023#501233#501203#501223#501023#501233#501203#501223#501023
1102,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1103,81534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1104,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1105,81554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1111,75514,21,,15015,501023#501233#501203#501223#501023#501233#501203#501223#501023
1112,75524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1113,75534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1114,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1115,75554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1121,71514,21,,15010,501023#501233#501203#501223#501023#501233#501203#501223#501023
1122,71524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1123,71534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1124,71544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1125,71554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1131,79514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1132,79524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1133,79534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1134,79544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1135,79554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1141,76514,21,,15007,501023#501233#501203#501223#501023#501233#501203#501223#501023
1142,76524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1143,76534,21,,13010,501053#501233#501023#501083#501053#501233#501023#501083#501053
1144,76544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1145,76554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1151,95514,21,,15006,501023#501233#501203#501223#501023#501233#501203#501223#501023
1152,95524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1153,95534,21,,13006,501053#501233#501023#501083#501053#501233#501023#501083#501053
1154,95544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1155,95554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1161,81514,21,,15006,501023#501233#501203#501223#501023#501233#501203#501223#501023
1162,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1163,81534,21,,13006,501053#501233#501023#501083#501053#501233#501023#501083#501053
1164,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1165,81554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1171,74514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1172,74524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1173,74534,21,,13002,501053#501233#501023#501083#501053#501233#501023#501083#501053
1174,74544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1175,74554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1181,74514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1182,74524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1183,74534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1184,74544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1185,74554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1191,80514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1192,75524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1193,80534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1194,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1195,80554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1198,80534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1201,76514,21,,15012,501023#501233#501203#501223#501023#501233#501203#501223#501023
1202,76524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1203,76534,21,,13010,501053#501233#501023#501083#501053#501233#501023#501083#501053
1204,76544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1205,76554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1211,80514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1212,80524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1213,80534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1214,80544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1215,80554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1218,80534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1221,71514,21,,15010,501023#501233#501203#501223#501023#501233#501203#501223#501023
1222,71524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1223,71534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1224,71544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1225,71554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1231,93514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1232,93524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1233,93534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1234,93544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1235,93554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1241,76514,21,,15007,501023#501233#501203#501223#501023#501233#501203#501223#501023
1242,76524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1243,76534,21,,13010,501053#501233#501023#501083#501053#501233#501023#501083#501053
1244,76544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1245,76554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1251,94514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1252,94524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1253,94534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1254,94544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1255,94554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1261,96514,21,,15011,501023#501233#501203#501223#501023#501233#501203#501223#501023
1262,96524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1263,96534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1264,96544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1265,96554,21,,10002,501053#501023#501203#501223#501053#501023#501203#501223#501053
1271,81514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1272,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1273,81534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1274,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1275,81554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1281,75514,21,,15004,501023#501233#501203#501223#501023#501233#501203#501223#501023
1282,75524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1283,75534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1284,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1285,75554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1291,79514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1292,79524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1293,79534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1294,79544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1295,79554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1301,71514,21,,15010,501023#501233#501203#501223#501023#501233#501203#501223#501023
1302,71524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1303,71534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1304,71544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1305,71554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1311,80514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1312,80524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1313,80534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1314,80544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1315,80554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1321,80514,21,,15008,501023#501233#501203#501223#501023#501233#501203#501223#501023
1322,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1323,80534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1324,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1325,80554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1331,90514,21,,15011,501023#501233#501203#501223#501023#501233#501203#501223#501023
1332,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1333,90534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1334,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1335,90554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1341,88514,21,,15013,501023#501233#501203#501223#501023#501233#501203#501223#501023
1342,88524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1343,88534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1344,88544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1345,88554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1351,91514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1352,91524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1353,91534,21,,13002,501053#501233#501023#501083#501053#501233#501023#501083#501053
1354,91544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1355,91554,21,,10002,501053#501023#501203#501223#501053#501023#501203#501223#501053
1361,79514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1362,75524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1363,79534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1364,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1365,79554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1371,81514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1372,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1373,81534,21,,13002,501053#501233#501023#501083#501053#501233#501023#501083#501053
1374,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1375,81554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1381,75514,21,,15004,501023#501233#501203#501223#501023#501233#501203#501223#501023
1382,75524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1383,75534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1384,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1385,75554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1391,81514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1392,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1393,81534,21,,13002,501053#501233#501023#501083#501053#501233#501023#501083#501053
1394,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1395,81554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1401,95514,21,,15013,501023#501233#501203#501223#501023#501233#501203#501223#501023
1402,95524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1403,95534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1404,95544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1405,95554,21,,10970,501053#501023#501203#501223#501053#501023#501203#501223#501053
1411,95514,21,,15013,501023#501233#501203#501223#501023#501233#501203#501223#501023
1412,95524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1413,95534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1414,95544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1415,95554,21,,10970,501053#501023#501203#501223#501053#501023#501203#501223#501053
1421,93514,21,,15004,501023#501233#501203#501223#501023#501233#501203#501223#501023
1422,93524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1423,75534,21,,13004,501053#501233#501023#501083#501053#501233#501023#501083#501053
1424,75544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1425,75554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1431,95514,21,,15006,501023#501233#501203#501223#501023#501233#501203#501223#501023
1432,95524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1433,95534,21,,13006,501053#501233#501023#501083#501053#501233#501023#501083#501053
1434,95544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1435,95554,21,,10960,501053#501023#501203#501223#501053#501023#501203#501223#501053
1441,79514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1442,93524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1443,79534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1444,93544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1445,79554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1451,98514,21,,15011,501023#501233#501203#501223#501023#501233#501203#501223#501023
1452,98524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1453,98534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1454,98544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1455,98554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1458,98534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1461,94514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1462,94524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1463,94534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1464,94544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1465,94554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1471,91514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1472,91524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1473,91534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1474,91544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1475,91554,21,,10002,501053#501023#501203#501223#501053#501023#501203#501223#501053
1481,76514,21,,15012,501023#501233#501203#501223#501023#501233#501203#501223#501023
1482,76524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1483,76534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1484,76544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1485,76554,21,,10004,501053#501023#501203#501223#501053#501023#501203#501223#501053
1491,77514,21,,15014,501023#501233#501203#501223#501023#501233#501203#501223#501023
1492,77524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1493,77534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1494,77544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1495,77554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1498,77534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1501,20514,21,,15014,501023#501233#501203#501223#501023#501233#501203#501223#501023
1502,20524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1503,20534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1504,20544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1505,20554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1511,81514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1512,81524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1513,81534,21,,13009,501053#501233#501023#501083#501053#501233#501023#501083#501053
1514,81544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1515,81554,21,,10007,501053#501023#501203#501223#501053#501023#501203#501223#501053
1521,21514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1522,91524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1523,21534,21,,13002,501053#501233#501023#501083#501053#501233#501023#501083#501053
1524,91544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1525,21554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1531,21514,21,,15009,501023#501233#501203#501223#501023#501233#501203#501223#501023
1532,21524,21,,12001,501063#501243#501203#501093#501063#501243#501203#501093#501063
1533,21534,21,,13008,501053#501233#501023#501083#501053#501233#501023#501083#501053
1534,21544,21,,14001,501243#501233#501033#501223#501243#501233#501033#501223#501243
1535,21554,21,,10008,501053#501023#501203#501223#501053#501023#501203#501223#501053
1538,21534,21,,13007,501053#501233#501023#501083#501053#501233#501023#501083#501053
1541,94514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1542,91524,21,,12001,501033#501023#501233#501203#501033#501023#501233#501203#501033
1543,94534,21,,13002,501023#501233#501053#501083#501023#501233#501053#501083#501023
1544,91544,21,,14001,501033#501233#501053#501223#501033#501233#501053#501223#501033
1545,94554,21,,10002,501023#501053#501203#501223#501023#501053#501203#501223#501023
1551,71514,21,,15002,501023#501233#501203#501223#501023#501233#501203#501223#501023
1552,71524,21,,12001,501033#501023#501233#501203#501033#501023#501233#501203#501033
1553,71534,21,,13007,501023#501233#501053#501083#501023#501233#501053#501083#501023
1554,71544,21,,14001,501033#501233#501053#501223#501033#501233#501053#501223#501033
1555,71554,21,,10002,501023#501053#501203#501223#501023#501053#501203#501223#501023
1561,20514,21,,15014,501023#501233#501203#501223#501023#501233#501203#501223#501023
1562,20524,21,,12001,501033#501023#501233#501203#501033#501023#501233#501203#501033
1563,20534,21,,13010,501023#501233#501053#501083#501023#501233#501053#501083#501023
1564,20544,21,,14001,501033#501233#501053#501223#501033#501233#501053#501223#501033
1565,20554,21,,10008,501023#501053#501203#501223#501023#501053#501203#501223#501023
10001,75514,21,,15004,501053#501033#501023#501083#501053#501033#501023#501083#501053
10002,75524,21,,12001,501033#501023#501063#501093#501033#501023#501063#501093#501033
10003,75534,21,,13004,501053#501033#501023#501083#501053#501033#501023#501083#501053
10004,75544,21,,14001,501063#501053#501033#501093#501063#501053#501033#501093#501063
10005,75554,21,,10002,501023#501063#501053#501083#501023#501063#501053#501083#501023
