ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	[触发条件]参数5	进度	已废弃	活动ID	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	是否每日刷新
5005003	401	1					4		1005	1	3	1			1
5005004	212	100027;100028;100029;100030;100031;100033;100034;100058					4		1005	1	3	1			1
5005005	212	100021;100022;100023;100024;100025;100055;100057;100056					4		1005	1	3	1			1
5005006	212	101201;101202;101203;101204;101205;101206					4		1005	1	3	1			1
5005007	303	3					2		1005	1	3	1			1
5005008	307						1		1005	1	3	1			1
5005009	502	106					40		1005	1	3	1			1
5008001	1100						10		1008	1	3	1			0
5008002	301						2		1008	1	3	1			1
5008003	501						1		1008	1	3	1			1
5008004	401						4		1008	1	3	1			1
5008005	303	3					2		1008	1	3	1			1
5008006	502	106					40		1008	1	3	1			1
5008007	215						1		1008	1	3	1			1
5009001	501						1		1009	1	3	1			1
5009002	502	106					200		1009	1	3	1			0
5009003	502	106					400		1009	1	3	1			0
5009004	502	106					800		1009	1	3	1			0
5009005	502	106					1600		1009	1	3	1			0
5009006	705	72105					1		1009	1	3	1			0
5009007	705	72122					1		1009	1	3	1			0
5009008	705	72132					1		1009	1	3	1			0
5009009	502	202					50000		1009	1	3	1			0
5009010	502	202					120000		1009	1	3	1			0
5009011	502	202					200000		1009	1	3	1			0
5009012	307	127;128;129;130					3		1009	1	3	1			0
5009013	118	20040401,20070101					10		1009	1	3	1			0
5009014	118	20060101,20060201,20060301					30		1009	1	3	1			0
5009015	705	71500					1		1009	1	3	1			0
5009016	949	1				25	1		1009	1	3	1			0
5009017	949	1				100	1		1009	1	3	1			0
5011001	501						1		1011	1	3	1			1
5011002	502	106					40		1011	1	3	1			1
5011003	307						3		1011	1	3	1			1
5011004	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401;20040501;25090101;20040601;24021101;20040401;20070101	可联机				3		1011	1	3	1			1
5011005	301						4		1011	1	3	1			1
5011006	502	202					50000		1011	1	3	1			0
5011007	502	106					200		1011	1	3	1			0
5012001	501						1		1012	1	3	1			0
5013001	501						1		1013	1	3	1			0
5014001	501						1		1014	1	3	1			0
5015001	301						2		1015	1	3	1			1
5015002	501						1		1015	1	3	1			1
5015003	401	1					4		1015	1	3	1			1
5015004	303	3					2		1015	1	3	1			1
5015005	502	106					40		1015	1	3	1			1
5016001	501						1		1016	1	3	1			0
5016002	303						1		1016	1	3	1			0
5016003	301						4		1016	1	3	1			0
5016004	501						2		1016	1	3	1			0
5016005	212	100085					3		1016	1	3	1			0
5016006	307						1		1016	1	3	1			0
5016007	501						3		1016	1	3	1			0
5016008	502	106					480		1016	1	3	1			0
5016009	301						12		1016	1	3	1			0
5016010	501						4		1016	1	3	1			0
5016011	109	20040101;20040201;20040301;26020201;26020101;20050101;29020102;26050101;26050201;26050301;26050401;20040501;25090101;20040601;24021101;20040401;20070101;22060101	可联机				1		1016	1	3	1			0
5016012	501						5		1016	1	3	1			0
5016013	502	106					900		1016	1	3	1			0
5016014	501						6		1016	1	3	1			0
5016015	212	204					1		1016	1	3	1			0
5016016	501						7		1016	1	3	1			0
5016017	1018						1		1016	1	3	1			0
5017001	301						2		1017	1	3	1			1
5017002	501						1		1017	1	3	1			1
5017003	401	1					4		1017	1	3	1			1
5017004	303	3					2		1017	1	3	1			1
5017005	502	106					40		1017	1	3	1			1
5018001	501						1		1018	1	3	1			0
5020001	301						2		1020	1	3	1			1
5020002	501						1		1020	1	3	1			1
5020003	401	1					4		1020	1	3	1			1
5020004	303	3					2		1020	1	3	1			1
5020005	502	106					40		1020	1	3	1			1
5021001	501						1		1021	1	3	1			1
5021002	301						2		1021	1	3	1			1
5021003	502	106					40		1021	1	3	1			1
5022001	301						2		1022	1	3	1			1
5022002	501						1		1022	1	3	1			1
5022003	401	1					4		1022	1	3	1			1
5022004	303	3					2		1022	1	3	1			1
5022005	502	106					40		1022	1	3	1			1
5023001	501						1		1023	1	3	1			1
5023002	301						2		1023	1	3	1			1
5023003	502	106					40		1023	1	3	1			1
5024001	301						2		1024	1	3	1			1
5024002	501						1		1024	1	3	1			1
5024003	401	1					4		1024	1	3	1			1
5024004	303	3					2		1024	1	3	1			1
5024005	502	106					40		1024	1	3	1			1
5025001	501						1		1025	1	3	1			1
5025002	301						2		1025	1	3	1			1
5025003	502	106					40		1025	1	3	1			1
5025004	401	1					4		1025	1	3	1			1
5026001	1153						1		1026	1	3	1			0
5026002	1154						1		1026	1	3	1			0
5027001	501						1		1027	1	3	1			1
5027002	301						2		1027	1	3	1			1
5027003	502	106					40		1027	1	3	1			1
5028001	501						1		1028	1	3	1			1
5028002	301						4		1028	1	3	1			1
5028003	225						1		1028	1	3	1			1
5028004	307						1		1028	1	3	1			1
5028005	215						1		1028	1	3	1			1
5028006	212	202					1		1028	1	3	1			1
5028007	502	106					30		1028	1	3	1			1
5028008	502	202					1		1028	1	3	1			1
5028009	212	101001;101002;101003;101004;100058;100054;100028;101006;101008					5		1028	1	3	1			1
5028010	402						2		1028	1	3	1			1
5028011	401	1					1		1028	1	3	1			1
5029001	501						1		1029	1	3	1			1
5029002	301						2		1029	1	3	1			1
5029003	301						4		1029	1	3	1			1
5029004	502	106					40		1029	1	3	1			1
5029005	212	101001;101002;101003;101004;100058;100054;100028;101006;101008					3		1029	1	3	1			1
5029006	212	100085					1		1029	1	3	1			1
5029007	307						1		1029	1	3	1			1
5029008	212	204					1		1029	1	3	1			1
5029009	402						1		1029	1	3	1			1
5029010	401	1					1		1029	1	3	1			1
5029011	502	202					1000		1029	1	3	1			1
5030001	501						1		1030	1	3	1			0
5031001	501						1		1031	1	3	1			1
5031002	301						2		1031	1	3	1			1
5031003	502	106					40		1031	1	3	1			1
5032001	501						1		1032	1	3	1			1
5032002	301						2		1032	1	3	1			1
5032003	502	106					40		1032	1	3	1			1
5032004	401	1					5		1032	1	3	1			1
