configid	场景ID	子区域	区域类型	区域名称$text_name_name	区域舒适度上限	安全点	玩家安全点	负荷高	区域中心	区域旋转	蓝图传送点
32	2203	6	0	二层北侧内房	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	4000	-3,5.3,0	0,-90,0	
33	2203	7	0	二层南侧内房	999999999	-11.457,2.492,8.14,0	-11.52,5.3,2.35	4000	-18,5.3,-5	0,90,0	
34	2004	1	1	霞见滩	999999999	216.93,186.522,463.9,0		10000	0,0,0	0,0,0	209,188,463,0;209,188,461,0;209,188,459,0;209,188,457,0
35	2004	2	1	浅寐岛	999999999	270.629,203.8919,375.064,0		10000	0,0,0	0,0,0	275,204,380,0;275,204,382,0;275,204,384,0;275,204,386,0
36	2004	3	1	樱咲岛	999999999	522.392,192.5,557.753,0		10000	0,0,0	0,0,0	516,193,555,0;518,193,555,0;516,193,557,0;518,193,557,0
37	2004	4	1	和静台	999999999	661.269,203.5,718.153,0		10000	0,0,0	0,0,0	657,204,715,0;657,204,713,0;657,204,717,0;657,204,711,0
38	2005	1	1	遐思地	999999999	616,383,208,0		10000	0,0,0	0,0,0	618,383,219,0;618,383,221,0;620,383,219,0;620,383,221,0
39	2005	2	1	入理座	999999999	339,342,386,0		10000	0,0,0	0,0,0	335,342,381,0;335,342,383,0;333,342,381,0;333,342,383,0
40	2005	3	1	谐辩处	999999999	620,364,531,0		10000	0,0,0	0,0,0	628,364,543,0;628,364,541,0;630,364,543,0;630,364,541,0
41	2005	4	1	明智台	999999999	458,385,660,0		10000	0,0,0	0,0,0	469,385,669,0;471,385,670,0;467,385,667,0;466,385,665,0
42	2204	1	0	大厅	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	10000	0,0,2.5	0,0,0	
43	2204	2	0	西侧内房	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	4000	0,0,20.08	0,0,0	
44	2204	3	0	北侧内房	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	4000	17.5,0,2.5	0,90,0	
45	2204	4	0	南侧内房	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	4000	-17.5,0,2.5	0,-90,0	
46	2204	5	0	走廊	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	10000	0,5,2.5	0,0,0	
47	2204	6	0	二层北侧内房	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	4000	17.5,5,2.5	0,90,0	
48	2204	7	0	二层南侧内房	999999999	-11.325,3.819,13.572,0	11.325,3.819,13.572	4000	-17.5,5,2.5	0,-90,0	
