ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表	开启条件3类型	开启条件3参数列表	开启条件4类型	开启条件4参数列表	消失条件1类型	消失条件1参数列表	隐藏该语音时装列表	追加该语音时装列表
2095	10000007	6	200908										
2096	10000007	6	200212										
2097	10000007	6	1200804										
2098	10000007	6	1200804										
2099	10000007	6	1200804										
2100	10000007	6	1201309										
2101	10000007	4	3;306										
2102	10000007	4	3;306										
2103	10000007	4	3;235										
2104	10000007	4	3;235										
2105	10000007	4	3;244										
2106	10000007	4	3;296										
2107	10000007	4	3;306										
2108	10000007	4	3;306										
2109	10000007	4	3;306										
2110	10000007	4	3;331										
2111	10000007	4	3;298										
2112	10000007	4	3;298										
2113	10000007	4	3;245										
2114	10000007	4	3;258										
2115	10000007	4	3;242										
2116	10000007	4	3;306										
2117	10000007	11	2021										
2118	10000007	11	2021										
2119	10000007	11	2021										
2120	10000007	11	2021										
2121	10000007	11	2021										
2122	10000007	11	2021										
2123	10000007	11	2021										
2124	10000007	6	1204209										
2131	10000007	11	3012	0									
2132	10000007	11	3012	0									
2133	10000007	11	3012	0						11	3026		
2134	10000007	11	3012	0									
2135	10000007	11	3012	0									
2136	10000007	6	7303208	0									
2137	10000007	6	7303208	0									
2138	10000007	6	1100811	0									
2139	10000007	4	3;598	0									
2140	10000007	4	3;598	0									
2141	10000007	4	3;598	0									
2142	10000007	4	3;598	0									
2143	10000007	4	3;598	0									
2144	10000007	4	3;598	0									
2145	10000007	4	3;598	0									
2146	10000007	4	3;598	0									
2147	10000007	4	3;598	0									
2148	10000007	4	3;598	0									
2149	10000007	4	3;4	4	3;204	4	3;306	4	3;598				
2150	10000007	4	3;128	4	3;598								
2151	10000007	4	3;501	0									
2152	10000007	4	3;501	0									
2153	10000007	4	3;598	0		0		0					
2154	10000007	6	7303208	0		0		0					
2155	10000007	6	7303208	0		0		0					
3100	10000002												
3101	10000002												
3102	10000002												
3103	10000002												
3104	10000002												
3105	10000002												
3106	10000002												
3107	10000002												
3108	10000002												
3109	10000002												
3110	10000002												
3111	10000002												
3112	10000002												
3113	10000002												
3114	10000002												
3115	10000002	1	4										
3116	10000002	1	6										
3117	10000002												
3118	10000002	1	6	6	1200804								
3119	10000002	1	4										
3120	10000002												
3121	10000002												
3122	10000002	1	4										
3123	10000002	1	4										
3124	10000002	1	4										
3125	10000002	1	4										
3126	10000002	1	4										
3127	10000002	1	6	11	2021								
3128	10000002	1	4										
3129	10000002	1	4										
3130	10000002	1	4										
3131	10000002	6	200908										
3132	10000002	1	3	6	200908								
3133	10000002	1	4	6	200908								
3134	10000002	1	5	6	200908								
3135	10000002	1	6	6	200908								
3136	10000002												
3137	10000002												
3138	10000002	1	6										
3139	10000002												
3140	10000002												
3168	10000002	0		0									
3169	10000002	0		0									
3170	10000002	0		0									
3141	10000002	8											
3142	10000002	7	1										
3143	10000002	7	2										
3144	10000002	7	4										
3145	10000002	7	6										
3146	10000002												
3147	10000002												
3148	10000002												
3149	10000002												
3150	10000002												
3151	10000002												
3152	10000002												
3153	10000002												
3154	10000002												
3155	10000002												
3156	10000002												
3157	10000002												
3158	10000002	0		0									
3159	10000002	0		0									
3160	10000002												
3161	10000002												
3162	10000002												
3163	10000002												
3164	10000002												
3165	10000002												
3166	10000002												
3167	10000002												
4100	10000003												
4101	10000003												
4102	10000003												
4103	10000003												
4104	10000003												
4105	10000003												
4106	10000003												
4107	10000003												
4108	10000003												
4109	10000003												
4110	10000003												
4111	10000003												
4112	10000003												
4113	10000003												
4114	10000003												
4115	10000003	1	6										
4116	10000003	1	6										
4117	10000003	1	4										
4118	10000003												
4119	10000003												
4120	10000003	1	4										
4121	10000003	1	4										
4122	10000003	1	4										
4123	10000003	1	4										
4124	10000003	1	4										
4125	10000003	1	4										
4126	10000003	1	4										
4127	10000003	1	4										
4128	10000003	1	4										
4129	10000003	1	4										
4130	10000003	1	4										
4131	10000003	1	4										
4132	10000003	1	4										
4171	10000003	1	4	0		0		0					
4133	10000003												
4134	10000003	1	3										
4135	10000003	1	4										
4136	10000003	1	5										
4137	10000003	1	6										
4138	10000003												
4139	10000003												
4140	10000003												
4141	10000003												
4168	10000003	0		0									
4169	10000003	0		0									
4170	10000003	0		0									
4142	10000003	8											
4143	10000003	7	1										
4144	10000003	7	2										
4145	10000003	7	4										
4146	10000003	7	6										
4147	10000003												
4148	10000003												
4149	10000003												
4150	10000003												
4151	10000003												
4152	10000003												
4153	10000003												
4154	10000003												
4155	10000003												
4156	10000003												
4157	10000003												
4158	10000003												
4159	10000003	0		0									
4160	10000003	0		0									
4161	10000003												
4162	10000003												
4163	10000003												
4164	10000003												
4165	10000003												
4166	10000003												
4167	10000003												
5100	10000006												
5101	10000006												
5102	10000006												
5103	10000006												
5104	10000006												
5105	10000006												
5106	10000006												
5107	10000006												
5108	10000006												
5109	10000006												
5110	10000006												
5111	10000006												
5112	10000006												
5113	10000006	1	6										
5114	10000006	1	6										
5115	10000006	1	4										
5116	10000006												
5117	10000006												
5118	10000006	1	4										
5119	10000006	1	4										
5120	10000006	1	4										
5121	10000006	1	4										
5122	10000006	1	4										
5123	10000006	1	4										
5124	10000006	1	4										
5125	10000006	1	4										
5126	10000006	1	4										
5127	10000006	1	4										
5128	10000006	1	4										
5171	10000006	1	4	0		0		0					
5172	10000006	1	4	0		0		0					
5173	10000006	1	4	0		0		0					
5129	10000006												
5130	10000006	1	3										
5131	10000006	1	4										
5132	10000006	1	5										
5133	10000006	1	6										
5134	10000006												
5135	10000006												
5136	10000006												
5137	10000006												
5168	10000006	0		0									
5169	10000006	0		0									
5170	10000006	0		0									
5138	10000006	8											
5139	10000006	7	1										
5140	10000006	7	2										
5141	10000006	7	4										
5142	10000006	7	6										
5143	10000006												
5144	10000006												
5145	10000006												
5146	10000006												
5147	10000006												
5148	10000006												
5149	10000006												
5150	10000006												
5151	10000006												
5152	10000006												
5153	10000006												
5154	10000006												
5155	10000006												
5156	10000006												
5157	10000006												
5158	10000006	0		0									
5159	10000006	0		0									
5160	10000006												
5161	10000006												
5162	10000006												
5163	10000006												
5164	10000006												
5165	10000006												
5166	10000006												
5167	10000006												
6100	10000014												
6101	10000014												
6102	10000014												
6103	10000014												
6104	10000014												
6105	10000014												
6106	10000014												
6107	10000014												
6108	10000014												
6109	10000014												
6110	10000014												
6111	10000014												
6112	10000014												
6113	10000014												
6114	10000014												
6115	10000014	1	6										
6116	10000014	1	4										
6117	10000014												
6118	10000014												
6119	10000014	1	4										
6120	10000014	1	4										
6121	10000014	1	4										
6122	10000014	1	4										
6123	10000014	1	4										
6124	10000014	1	4										
6125	10000014	1	4										
6126	10000014	1	4										
6127	10000014	1	4										
6128	10000014												
6129	10000014	1	3										
6130	10000014	1	4										
6131	10000014	1	5										
6132	10000014	1	6										
6133	10000014												
6134	10000014												
6135	10000014												
6136	10000014												
6167	10000014	0		0									
6168	10000014	0		0									
6169	10000014	0		0									
6137	10000014	8											
6138	10000014	7	1										
6139	10000014	7	2										
6140	10000014	7	4										
6141	10000014	7	6										
6142	10000014												
6143	10000014												
6144	10000014												
6145	10000014												
6146	10000014												
6147	10000014												
6148	10000014												
6149	10000014												
6150	10000014												
6151	10000014												
6152	10000014												
6153	10000014												
6154	10000014												
6155	10000014												
6156	10000014												
6157	10000014	0		0									
6158	10000014	0		0									
6159	10000014												
6160	10000014												
6161	10000014												
6162	10000014												
6163	10000014												
6164	10000014												
6165	10000014												
6166	10000014												
7100	10000015												
7101	10000015												
7102	10000015												
7103	10000015												
7104	10000015												
7105	10000015												
7106	10000015												
7107	10000015												
7108	10000015												
7109	10000015												
7110	10000015												
7111	10000015												
7112	10000015												
7113	10000015												
7114	10000015	1	6										
7115	10000015	1	4										
7116	10000015												
7117	10000015												
7118	10000015	1	4										
7119	10000015	1	4										
7120	10000015	1	4										
7121	10000015	1	4										
7122	10000015	1	4										
7123	10000015	1	4										
7124	10000015	1	4										
7125	10000015	1	4										
7126	10000015	1	4										
7127	10000015	1	4										
7128	10000015	1	4										
7129	10000015	1	4										
7173	10000015	1	4	0		0		0					
7174	10000015	1	4	0		0		0					
7130	10000015												
7131	10000015	1	3										
7132	10000015	1	4										
7133	10000015	1	5										
7134	10000015	1	6										
7135	10000015												
7136	10000015												
7137	10000015												
7138	10000015												
7170	10000015	0		0									
7171	10000015	0		0									
7172	10000015	0		0									
7139	10000015	8											
7140	10000015	7	1										
7141	10000015	7	2										
7142	10000015	7	4										
7143	10000015	7	6										
7144	10000015												
7145	10000015												
7146	10000015												
7147	10000015												
7148	10000015												
7149	10000015												
7150	10000015												
7151	10000015												
7152	10000015												
7154	10000015												
7155	10000015												
7156	10000015												
7157	10000015												
7158	10000015												
7159	10000015												
7160	10000015	0		0									
7161	10000015	0		0									
7162	10000015												
7163	10000015												
7164	10000015												
7165	10000015												
7166	10000015												
7167	10000015												
7168	10000015												
7169	10000015												
8100	10000016												
8101	10000016											201601	
8102	10000016											201601	
8103	10000016											201601	
8161	10000016												201601
8162	10000016												201601
8163	10000016												201601
8104	10000016												
8105	10000016												
8106	10000016												
8107	10000016												
8108	10000016												
8109	10000016												
8110	10000016												
8111	10000016												
8112	10000016												
8113	10000016												
8114	10000016	1	6										
8115	10000016	1	4										
8116	10000016												
8117	10000016												
8118	10000016	1	4										
8119	10000016	1	4										
8120	10000016	1	4										
8121	10000016	1	4										
8122	10000016	1	4										
8123	10000016	1	4										
8124	10000016	1	4										
8125	10000016	1	4										
8126	10000016												
8127	10000016	1	3										
8128	10000016	1	4										
8129	10000016	1	5										
8130	10000016	1	6										
8131	10000016												
8132	10000016												
8133	10000016												
8134	10000016												
8170	10000016	0		0									
8171	10000016	0		0									
8172	10000016	0		0									
8135	10000016	8											
8136	10000016	7	1										
8137	10000016	7	2										
8138	10000016	7	4										
8139	10000016	7	6										
8140	10000016											201601	
8141	10000016											201601	
8142	10000016											201601	
8164	10000016												201601
8165	10000016												201601
8166	10000016												201601
8143	10000016											201601	
8144	10000016											201601	
8145	10000016											201601	
8167	10000016												201601
8168	10000016												201601
8169	10000016												201601
8146	10000016												
8147	10000016												
8148	10000016												
8149	10000016												
8150	10000016												
8151	10000016												
8152	10000016	0		0									
8153	10000016	0		0									
8154	10000016												
8155	10000016												
8156	10000016												
8157	10000016												
8158	10000016												
8159	10000016												
8160	10000016												
9100	10000020												
9101	10000020												
9102	10000020												
9103	10000020												
9104	10000020												
9105	10000020												
9106	10000020												
9107	10000020												
9108	10000020												
9109	10000020												
9110	10000020												
9111	10000020												
9112	10000020												
9113	10000020												
9114	10000020	1	6										
9115	10000020	1	4										
9116	10000020												
9117	10000020												
9118	10000020	1	4	6	45406								
9119	10000020	1	4										
9120	10000020	1	4										
9121	10000020	1	4										
9122	10000020	1	4										
9123	10000020	1	4	6	45406								
9124	10000020	1	4										
9125	10000020	1	6										
9126	10000020												
9127	10000020	1	3										
9128	10000020	1	4										
9129	10000020	1	5										
9130	10000020	1	6										
9131	10000020												
9132	10000020												
9133	10000020												
9134	10000020												
9163	10000020	0		0									
9164	10000020	0		0									
9165	10000020	0		0									
9135	10000020	8											
9136	10000020	7	1										
9137	10000020	7	2										
9138	10000020	7	4										
9139	10000020	7	6										
9140	10000020												
9141	10000020												
9142	10000020												
9143	10000020												
9144	10000020												
9145	10000020												
9146	10000020												
9147	10000020												
9148	10000020												
9149	10000020												
9150	10000020												
9151	10000020												
9152	10000020												
9153	10000020												
9154	10000020	0		0									
9155	10000020	0		0									
9156	10000020												
9157	10000020												
9158	10000020												
9159	10000020												
9160	10000020												
9161	10000020												
9162	10000020												
10100	10000021												
10101	10000021												
10102	10000021												
10103	10000021												
10104	10000021												
10105	10000021												
10106	10000021												
10107	10000021												
10108	10000021												
10109	10000021												
10110	10000021												
10111	10000021												
10112	10000021												
10113	10000021												
10114	10000021												
10115	10000021												
10116	10000021	1	6										
10117	10000021	1	4										
10118	10000021												
10119	10000021												
10120	10000021	1	4										
10121	10000021	1	4										
10122	10000021	1	4										
10123	10000021	1	4										
10124	10000021	1	4										
10125	10000021	1	4										
10126	10000021	1	4										
10127	10000021	1	4										
10128	10000021	1	4										
10129	10000021	1	4										
10130	10000021	1	4										
10179	10000021	1	4	11	3026	0		0		0			
10180	10000021	1	4	0		0		0					
10131	10000021												
10132	10000021	1	3										
10133	10000021	1	4										
10134	10000021	1	5										
10135	10000021	1	6										
10136	10000021												
10137	10000021												
10138	10000021												
10139	10000021												
10176	10000021	0		0									
10177	10000021	0		0									
10178	10000021	0		0									
10140	10000021	8											
10141	10000021	7	1										
10142	10000021	7	2										
10143	10000021	7	4										
10144	10000021	7	6										
10145	10000021												
10146	10000021												
10147	10000021												
10148	10000021												
10149	10000021												
10150	10000021												
10151	10000021												
10152	10000021												
10153	10000021												
10154	10000021												
10155	10000021												
10156	10000021												
10159	10000021												
10160	10000021												
10161	10000021												
10162	10000021												
10163	10000021												
10164	10000021												
10165	10000021	0		0									
10166	10000021	0		0									
10167	10000021												
10168	10000021												
10169	10000021												
10170	10000021												
10171	10000021												
10172	10000021												
10173	10000021												
10174	10000021												
10175	10000021												
11100	10000022												
11101	10000022												
11102	10000022												
11103	10000022												
11104	10000022												
11105	10000022												
11106	10000022												
11107	10000022												
11108	10000022												
11109	10000022												
11110	10000022												
11111	10000022												
11112	10000022												
11113	10000022												
11114	10000022	1	6										
11115	10000022	1	6	6	39604								
11116	10000022	1	6	6	39604								
11117	10000022	1	4										
11118	10000022												
11119	10000022												
11120	10000022	1	4										
11121	10000022	1	4										
11122	10000022	1	4										
11123	10000022	1	4										
11124	10000022	1	4										
11125	10000022	1	4										
11126	10000022	1	4										
11127	10000022	1	4	6	102510								
11128	10000022	1	4										
11167	10000022	1	4	11	2021								
11171	10000022	1	4	11	3026	0		0		0			
11129	10000022												
11130	10000022	1	3										
11131	10000022	1	4										
11132	10000022	1	5										
11133	10000022	1	6										
11134	10000022												
11135	10000022												
11136	10000022												
11137	10000022												
11168	10000022	0		0									
11169	10000022	0		0									
11170	10000022	0		0									
11138	10000022	8											
11139	10000022	7	1										
11140	10000022	7	2										
11141	10000022	7	4										
11142	10000022	7	6										
11143	10000022												
11144	10000022												
11145	10000022												
11146	10000022												
11147	10000022												
11148	10000022												
11149	10000022												
11150	10000022												
11151	10000022												
11152	10000022												
11153	10000022												
11154	10000022												
11155	10000022												
11156	10000022												
11157	10000022	0		0									
11158	10000022	0		0									
11159	10000022												
11160	10000022												
11161	10000022												
11162	10000022												
11163	10000022												
11164	10000022												
11165	10000022												
11166	10000022												
12100	10000023												
12101	10000023												
12102	10000023												
12103	10000023												
12104	10000023												
12105	10000023												
12106	10000023												
12107	10000023												
12108	10000023												
12109	10000023												
12110	10000023												
12111	10000023												
12112	10000023												
12113	10000023												
12114	10000023	1	6										
12115	10000023	1	4										
12116	10000023												
12117	10000023												
12118	10000023	1	4										
12119	10000023	1	4										
12120	10000023	1	4										
12121	10000023	1	4										
12122	10000023	1	4										
12123	10000023	1	4										
12124	10000023	1	4										
12125	10000023	1	4										
12126	10000023	1	4										
12127	10000023	1	4										
12128	10000023	1	4	0									
12129	10000023												
12130	10000023	1	3										
12131	10000023	1	4										
12132	10000023	1	5										
12133	10000023	1	6										
12134	10000023												
12135	10000023												
12136	10000023												
12137	10000023												
12168	10000023	0		0									
12169	10000023	0		0									
12170	10000023	0		0									
12138	10000023	8											
12139	10000023	7	1										
12140	10000023	7	2										
12141	10000023	7	4										
12142	10000023	7	6										
12143	10000023												
12144	10000023												
12145	10000023												
12146	10000023												
12147	10000023												
12148	10000023												
12149	10000023												
12150	10000023												
12151	10000023												
12152	10000023												
12153	10000023												
12154	10000023												
12155	10000023												
12156	10000023												
12157	10000023	0		0									
12158	10000023	0		0									
12159	10000023												
12160	10000023												
12161	10000023												
12162	10000023												
12163	10000023												
12164	10000023												
12165	10000023												
12166	10000023												
12167	10000023												
13009	10000025												
13010	10000025												
13011	10000025												
13012	10000025												
13013	10000025												
13014	10000025												
13015	10000025												
13016	10000025												
13017	10000025												
13018	10000025												
13019	10000025												
13020	10000025												
13021	10000025												
13022	10000025												
13023	10000025	1	3										
13024	10000025												
13025	10000025	1	6										
13026	10000025	1	3										
13027	10000025	1	5										
13028	10000025												
13029	10000025	1	4										
13030	10000025	1	4										
13031	10000025	1	4										
13032	10000025	1	4										
13033	10000025	1	4										
13034	10000025	1	4										
13035	10000025	1	4										
13036	10000025	1	4										
13037	10000025	1	4										
13038	10000025	1	6										
13039	10000025	1	4	6	101609								
13040	10000025	1	4	0									
13041	10000025	1	4	0									
13042	10000025												
13043	10000025	1	3										
13044	10000025	1	4										
13045	10000025	1	5										
13046	10000025	1	6										
13047	10000025												
13048	10000025												
13049	10000025												
13050	10000025												
13082	10000025	0		0									
13083	10000025	0		0									
13084	10000025	0		0									
13051	10000025	8											
13052	10000025	8											
13053	10000025	7	1										
13054	10000025	7	2										
13055	10000025	7	4										
13056	10000025	7	6										
13057	10000025												
13058	10000025												
13059	10000025												
13060	10000025												
13061	10000025												
13062	10000025												
13063	10000025												
13064	10000025												
13065	10000025												
13066	10000025												
13067	10000025												
13068	10000025												
13069	10000025												
13070	10000025												
13071	10000025	0		0									
13072	10000025	0		0									
13073	10000025												
13074	10000025												
13075	10000025												
13076	10000025												
13077	10000025												
13078	10000025												
13079	10000025												
13080	10000025												
13081	10000025												
14100	10000024												
14101	10000024												
14102	10000024												
14103	10000024												
14104	10000024												
14105	10000024												
14106	10000024												
14107	10000024												
14108	10000024												
14109	10000024												
14110	10000024												
14111	10000024												
14112	10000024												
14113	10000024												
14114	10000024	1	6										
14115	10000024	1	6										
14116	10000024	1	4										
14117	10000024												
14118	10000024												
14119	10000024	1	4										
14120	10000024	1	4										
14121	10000024	1	4										
14122	10000024	1	4										
14123	10000024	1	4										
14124	10000024	1	4										
14125	10000024	1	4										
14126	10000024	1	4										
14127	10000024	1	4										
14128	10000024	1	4	11	2021								
14130	10000024												
14131	10000024	1	3										
14132	10000024	1	4										
14133	10000024	1	5										
14134	10000024	1	6										
14135	10000024												
14136	10000024												
14137	10000024												
14138	10000024												
14169	10000024	0		0									
14170	10000024	0		0									
14171	10000024	0		0									
14139	10000024	8											
14140	10000024	7	1										
14141	10000024	7	2										
14142	10000024	7	4										
14143	10000024	7	6										
14144	10000024												
14145	10000024												
14146	10000024												
14147	10000024												
14148	10000024												
14149	10000024												
14150	10000024												
14151	10000024												
14152	10000024												
14153	10000024												
14154	10000024												
14155	10000024												
14156	10000024												
14157	10000024												
14158	10000024	0		0									
14159	10000024	0		0									
14160	10000024												
14161	10000024												
14162	10000024												
14163	10000024												
14164	10000024												
14165	10000024												
14166	10000024												
14167	10000024												
14168	10000024												
15100	10000027												
15101	10000027												
15102	10000027												
15103	10000027												
15104	10000027												
15105	10000027												
15106	10000027												
15107	10000027												
15108	10000027												
15109	10000027												
15110	10000027	6	101609										
15111	10000027												
15112	10000027												
15113	10000027	1	4	6	102510								
15114	10000027												
15115	10000027	1	6										
15116	10000027	1	6	6	101609								
15117	10000027	1	4										
15118	10000027												
15119	10000027	1	6	6	102510								
15120	10000027												
15121	10000027	1	4										
15122	10000027	1	4										
15123	10000027	1	4										
15124	10000027	1	4										
15125	10000027	1	4										
15126	10000027	1	4										
15127	10000027	1	4										
15128	10000027	1	4	6	102510								
15129	10000027	1	4										
15130	10000027	1	4										
15131	10000027	1	4	6	1101505								
15132	10000027	1	4	0									
15133	10000027	1	4	0									
15134	10000027												
15135	10000027	1	3										
15136	10000027	1	4										
15137	10000027	1	5										
15138	10000027	1	6										
15139	10000027												
15140	10000027												
15141	10000027												
15142	10000027												
15171	10000027	0		0									
15172	10000027	0		0									
15173	10000027	0		0									
15143	10000027	8											
15144	10000027	7	1										
15145	10000027	7	2										
15146	10000027	7	4										
15147	10000027	7	6										
15148	10000027												
15149	10000027												
15150	10000027												
15151	10000027												
15152	10000027												
15153	10000027												
15154	10000027												
15155	10000027												
15156	10000027												
15157	10000027												
15158	10000027												
15159	10000027												
15160	10000027	0		0									
15161	10000027	0		0									
15162	10000027												
15163	10000027												
15164	10000027												
15165	10000027												
15166	10000027												
15167	10000027												
15168	10000027												
15169	10000027												
15170	10000027												
16100	10000026												
16101	10000026												
16102	10000026												
16103	10000026												
16104	10000026												
16105	10000026												
16106	10000026												
16107	10000026												
16108	10000026												
16109	10000026												
16110	10000026												
16111	10000026												
16112	10000026												
16113	10000026												
16114	10000026												
16115	10000026	1	6										
16116	10000026	1	6										
16117	10000026	1	6										
16118	10000026	1	3										
16119	10000026	1	5										
16120	10000026												
16121	10000026												
16122	10000026	1	4	6	102510								
16123	10000026	1	4										
16124	10000026	1	4										
16125	10000026	1	4										
16126	10000026	1	4										
16127	10000026	1	4										
16128	10000026	1	4	6	1101505								
16129	10000026	1	4	0									
16130	10000026												
16131	10000026	1	3										
16132	10000026	1	4										
16133	10000026	1	5										
16134	10000026	1	6										
16135	10000026												
16136	10000026												
16137	10000026												
16138	10000026												
16139	10000026												
16169	10000026	0		0									
16170	10000026	0		0									
16171	10000026	0		0									
16140	10000026	8											
16141	10000026	7	1										
16142	10000026	7	2										
16143	10000026	7	4										
16144	10000026	7	6										
16145	10000026												
16146	10000026												
