提示台词ID,停留显示时长
1110560,5
1110561,5
1110562,5
1110563,5
1110564,5
1110565,5
1110566,5
1110567,5
1110568,5
1110569,5
1110570,5
1110571,5
1110572,5
1110573,5
1110574,5
1110575,5
1110576,5
1110577,5
1110578,5
1110579,5
1110580,5
1110581,5
1110582,5
1110583,5
1110584,5
1110585,5
1110586,5
1110587,5
1110588,5
1110589,5
1110590,5
1110591,5
1110592,5
1110593,5
1110594,5
1110595,5
1110596,5
1110597,5
1110598,5
1110599,5
1110600,5
1110601,5
1110602,5
1110603,5
1110604,5
1110605,5
1110606,5
1110607,5
1110608,5
1110609,5
1110610,5
1110611,5
1110612,5
1110613,5
1110614,5
1110615,5
1110616,5
1110617,5
1110618,5
1110619,5
1110620,5
1110621,5
1110622,5
1110623,5
1110624,5
1110625,5
1110626,5
1110627,5
1110628,5
1110629,5
1110630,5
1110631,5
1110632,5
1110633,5
1110634,5
1110635,5
1110636,5
1110637,5
1110638,5
1110639,5
1110640,5
1110641,5
1110642,5
1110643,5
1110644,5
1110645,5
1110646,5
1110647,5
1110648,5
1110649,5
1110650,5
1110651,5
1110652,5
1110653,5
1110654,5
1110655,5
1110656,5
1110657,5
1110658,5
1110659,5
1110660,5
1110661,5
1110662,5
1110663,5
1110664,5
1110665,5
1110666,5
1110667,5
1110668,5
1110669,5
1110670,5
1110671,5
1110672,5
1110673,5
1110674,5
1110675,5
1110676,5
1110677,5
1110678,5
1110679,5
1110680,5
1110681,5
1110682,5
1110683,5
1110684,5
1110685,5
1110686,5
1110687,5
1110688,5
1110689,5
1110690,5
1110691,5
1110692,5
1110693,5
1110694,5
1110695,5
1110696,5
1110697,5
1110698,5
1110699,5
1110700,5
1110701,5
1110702,5
1110703,5
1110704,5
1110705,5
1110706,5
1110707,5
1110708,5
1110709,5
1110710,5
1110711,5
1110712,5
1110713,5
1110714,5
1110715,5
1110716,5
1110717,5
1110718,5
1110719,5
1110720,5
1110721,5
1110722,5
1110723,5
1110724,5
1110725,5
1110726,5
1110727,5
1110728,5
1110729,5
1110730,5
1110731,5
1110732,5
1110733,5
1110734,5
1110735,5
1110736,5
1110737,5
1110738,10
1110739,10
1110740,10
1110741,10
1110742,5
1110743,10
1110744,10
1110745,5
1110746,5
1110747,5
1110748,5
1110749,5
1110750,5
1110751,5
1110752,5
1110753,5
1110754,5
1110755,5
1110756,5
1110757,5
1110758,5
1110759,5
1110760,5
1110761,5
1110762,5
1110763,5
1110764,5
1110765,5
1110766,5
1110767,5
1110768,5
1110769,5
1110770,5
1110771,5
1110772,5
1110773,5
1110774,5
1110775,5
1110776,5
1110777,5
1110778,5
1110779,5
1110780,5
1110781,5
1110782,5
1110783,5
1110784,5
1110785,5
1110786,5
1110787,5
1110788,5
1110789,5
1110790,5
1110791,5
1110792,5
1110793,5
1110794,5
1110795,5
1110796,5
1110797,5
1110798,5
1110799,5
1110800,5
1110801,5
1110802,5
1110803,5
1110804,5
1110805,5
1110806,5
1110807,5
1110808,5
1110809,5
1110810,5
1110811,5
1110812,5
1110813,5
1110814,5
1110815,5
1110816,5
1110817,5
1110818,5
1110819,5
1110820,5
1110821,5
1110822,5
1110823,5
1110824,5
1110825,5
1110826,5
1110827,5
1110828,5
1110829,5
1110830,5
1110831,5
1110832,5
1110833,5
1110834,5
1110835,5
1110836,5
1110837,5
1110838,5
1110839,5
1110840,5
1110841,5
1110842,5
1110843,5
1110844,5
1110845,5
1110846,5
1110847,5
1110848,5
1110849,5
1110850,5
1110851,5
1110852,5
1110853,5
1110854,5
1110855,5
1110856,5
1110857,5
1110858,5
1110859,5
1110860,5
1110861,5
1110862,5
1110863,5
1110864,5
1110865,5
1110866,5
1110867,5
1110868,5
1110869,5
1110870,5
1110871,5
1110872,5
1110873,5
1110874,5
1110875,5
1110876,5
1110877,5
1110878,5
1110879,5
1110880,5
1110881,5
1110882,5
1110883,5
1110884,5
1110885,5
1110886,5
1110887,5
1110888,5
1110889,5
1110890,5
1110891,5
1110892,5
1110893,5
1110894,5
1110895,5
1110896,5
1110897,5
1110898,5
1110899,5
1110900,5
1110901,5
1110902,5
1110903,5
1110904,5
1110905,5
1110906,5
1110907,5
1110908,5
1110909,5
1110910,5
1110911,5
1110912,5
1110913,5
1110914,5
1110915,5
1110916,5
1110917,5
1110918,5
1110919,5
1110920,5
1110921,5
1110922,5
1110923,5
1110924,5
1110925,5
1110926,5
1110927,5
1110928,5
1110929,5
1110930,5
1110931,5
1110932,5
1110933,5
1110934,5
1110935,5
1110936,5
1110937,5
1110938,5
1110939,5
1110940,5
1110941,5
1110942,5
1110943,5
1110944,5
1110945,5
1110946,5
1110947,5
1110948,5
1110949,5
1110950,5
1110951,5
1110952,5
1110953,5
1110954,5
1110955,4
1110956,4
1110957,4
1110958,8
1110959,6
1110960,8
1110961,6
1110962,8
1110963,6
1110964,8
1110965,8
1110966,6
1110967,6
1110968,7
1110969,6
1110970,6
1110971,6
1110972,6
1110973,6
1110974,6
1110975,6
1110976,8
1110977,8
1110978,8
1110979,6
1110980,8
1110981,8
1110982,6
1110983,10
1110984,6
1110985,8
1110986,8
1110987,6
1110988,6
1110989,6
1110990,6
1110991,6
1110992,6
1110993,6
1110994,10
1110995,7
1110996,9
1110997,10
1110998,11
1110999,5
1111000,10
1111001,7
1111002,6
1111003,10
1111004,7
1111005,13
1111006,8
1111007,13
1111008,4
1111009,13
1111010,5
1111011,5
1111012,8
1111013,14
1111014,6
1111015,6
1111016,6
1111017,6
1111018,6
1111019,6
1111020,6
1111022,6
1111023,6
1111024,8
1111025,6
1111026,10
1111027,4
1111040,6
1111041,6
1111042,6
1111043,4
1111044,4
1111045,4
1111046,4
1111047,4
1111048,4
1111049,4
1111050,4
1111051,4
1111052,4
1111053,4
1111054,4
1111055,4
1111056,4
1111057,4
1111058,4
1111059,4
1111060,4
1111061,4
1111062,4
1111063,4
1111064,4
1111065,4
1111066,4
1111067,4
1111068,4
1111069,4
1111070,4
1111071,4
1111072,4
1111073,4
1111074,4
1111075,4
1111076,4
1111077,4
1111078,4
1111079,4
1111080,4
1111081,4
1111082,4
1111083,4
1111084,4
1111085,4
1111086,4
1111087,4
1111088,4
1111089,4
1111090,4
1111091,4
1111092,4
1111093,4
1111094,4
1111095,4
1111096,4
1111097,4
1111098,4
1111099,4
1111100,4
1111101,4
1111102,4
1111103,4
1111104,4
1111105,4
1111106,4
1111107,4
1111108,4
1111109,4
1111110,4
1111111,4
1111112,4
1111113,4
1111114,4
1111115,4
1111116,4
1111117,4
1111118,4
1111119,4
1111120,4
1111121,4
1111122,4
1111123,4
1111124,4
1111125,4
1111126,4
1111127,4
1111128,4
1111129,4
1111130,4
1111131,4
1111132,4
1111133,4
1111134,4
1111135,5
1111136,4
1111137,4
1111138,5
1111139,5
1111140,5
1111141,4
1111142,4
1111143,3
1111144,3
1111145,3
1111146,3
1111147,3
1111148,3
1111149,3
1111150,5
1111151,5
1111152,5
1111153,5
1111154,5
1111155,5
1111156,5
1111157,5
1111158,5
1111159,5
1111160,5
1111161,5
1111162,5
1111163,5
1111164,5
1111165,5
1111166,5
1111167,5
1111168,5
1111169,5
1111170,3
1111171,3
1111172,3
1111173,3
1111174,3
1111175,5
1111176,5
1111177,5
1111178,5
1111179,5
1111180,5
1111181,5
1111182,5
1111183,5
1111184,5
1111185,5
1111186,5
1111187,5
1111188,5
1111189,5
1111190,8
1111191,4.3
1111192,6.1
1111193,3.4
1111194,3
1111195,9
1111196,7
1111251,8
1111252,2.7
1111253,5.5
1111254,5.4
1111255,5.3
1111256,5
1111257,5
1111258,7.7
1111288,4
1111289,4
1111290,3
1111291,3
1111292,3
1111293,6
1111197,4
1111198,4
1111199,4
1111200,4
1111201,4
1111202,4
1111203,4
1111204,4
1111205,4
1111206,4
1111207,4
1111208,4
1111209,4
1111210,4
1111211,4
1111212,4
1111213,4
1111214,4
1111215,4
1111216,4
1111217,4
1111218,4
1111219,4
1111220,4
1111221,4
1111222,4
1111223,4
1111224,4
1111225,4
1111226,4
1111227,4
1111228,3
1111229,3
1111239,3
1111240,3
1111241,3
1111242,3
1111259,3
1111260,3
1111261,3
1111262,3
1111263,3
1111264,3
1111265,3
1111266,3
1111267,3
1111268,3
1111269,3
1111270,3
1111271,3
1111272,3
1111273,3
1111274,3
1111275,3
1111276,3
1111277,3
1111278,3
1111279,3
1111280,3
1111281,3
1111282,3
1111294,3
1111230,5
1111231,5
1111232,5
1111233,5
1111234,5
1111235,5
1111236,5
1111237,5
1111238,5
1111243,4
1111244,3
1111245,3
1111246,3
1111247,2
1111248,3
1111249,2
1111250,3
1111283,6
1111284,4
1111285,4
1111286,4
1111287,4
1111300,4
1111301,4
1111302,3
1111303,3
1111304,3
1111305,5
1111306,5
1111307,5
1111308,5
1111309,4
1111310,4
1111311,4
1111312,4
1111313,4
1111314,4
1111315,4
1111316,4
1111317,4
1111318,4
1111319,4
1111320,4
1111321,4
1111322,4
1111323,4
1111324,4
1111325,4
1111326,4
1111327,4
1111328,4
1111329,4
1111330,4
1111331,4
1111332,4
1111333,4
1111334,4
1111335,4
1111336,4
1111337,4
1111338,4
1111339,4
1111340,4
1111341,4
1111342,4
1111343,4
1111344,4
1111345,4
1111346,4
1111347,4
1111348,4
1111349,4
1111350,4
1111351,4
1111352,4
1111353,4
1111354,4
1111355,4
1111356,3
1111357,3
1111358,3
1111359,3
1111360,3
1111361,3
1111362,3
1111363,3
1111364,3
1111365,3
1111366,3
1111367,3
1111368,3
1111369,3
1111370,3
1111371,3
1111372,3
1111373,3
1111374,4
1111375,3
1111376,5
1111377,3
1111383,3
1111384,3
1111385,3
1111386,4
1111387,3
1111388,4
1111389,3
1111390,3
1111391,3
1111392,4
1111393,3
1111394,3
1111395,4
1111396,3
1111397,3
1111398,4
1111399,4
1111400,4
1111401,3
1111402,4
1111403,5
7050301,5
7050302,3
7050303,5
7050901,5
7228601,5
7228602,5
7228603,4
7228604,5
7228605,4
7228606,4
7228607,5
7228701,5
7228702,5
7228703,5
7228704,4
7228705,4
7228706,5
7228707,5
7228708,5
7228709,5
7228710,4
7228711,4
7228712,5
7228713,4
7228714,3
7228715,3
7228716,5
7228717,5
7228718,5
7228719,5
7306201,5
7306202,5
7306203,5
7306204,5
7306205,5
7306206,5
7306207,5
7306208,5
30020101,5
30020102,5
30020103,7
30020104,2
30020111,2
30020112,3
30020113,4
30020114,4
30020115,7
30020121,2
30020122,3
30020201,3
30020202,3
30080301,3
30080201,3
30080202,3
30080203,3
30080204,3
30080205,3
30080206,3
30080207,3
31060101,5
31060102,5
31050101,5
31050201,5
31050202,5
31050203,5
31050204,5
31050205,5
31050206,5
31050207,5
31050208,5
31050209,5
31050210,5
31050211,5
31050212,5
31050213,5
31050214,5
31050215,5
31050216,5
31050217,5
31050218,5
31050219,5
31050220,5
31050221,5
31040101,5
31040102,5
31040103,5
31040104,5
31040110,5
31040111,5
31040112,5
31040113,5
31040121,5
31040122,5
31040120,5
31040123,5
31040131,5
31040132,5
31040133,5
31040134,5
31040135,5
31040141,5
31040142,5
31040143,5
31040150,5
31040160,5
31040170,5
31040190,5
31040195,5
31040204,5
31040205,5
31040206,5
31040191,5
31040196,5
31040192,5
31040197,5
31040193,5
31040194,5
31040198,5
31040199,5
31040200,5
31040201,5
31040202,5
31040203,5
31040301,5
31040302,5
31040303,5
31040401,5
31040402,5
31040403,5
31040501,5
31040503,5
31040504,5
31040502,5
31040505,5
31040506,5
31040507,5
31040508,5
31040509,5
31040510,5
31040511,3
31040512,5
31040513,5
31040514,5
31040515,5
31040601,5
31040602,5
31040603,5
31040701,5
31040702,5
31040703,5
31040704,5
31040705,5
31040706,5
31020102,5
31020103,5
31020104,5
31020105,5
31020106,5
31020107,5
31020108,5
31020109,5
31020110,5
31020201,5
31020202,5
31020301,5
31020401,5
31020501,5
31020502,5
31020601,5
31020602,5
31020603,5
31020604,5
31020605,5
31020606,5
31020607,5
31020701,3
31020702,3
31020703,3
31020704,3
31020801,2
31020802,2
31020803,3
31020804,3
31020805,3
31020806,3
31020807,3
31020808,2
31020809,2
31020810,2
31020812,3
31020813,3
31020814,3
31020815,3
31020816,3
31020817,3
31020818,3
31020819,3
31020820,3
31020821,3
31020822,3
31020823,3
31020824,3
31020825,3
31020826,3
31020827,3
31020828,3
31020829,5
31020830,5
31020831,5
31020840,3
31020841,3
31020842,3
31020843,3
31020844,2
31020845,2
31020846,2
31020847,3
31020848,2
31020849,2
31020850,2
31020851,5
31020852,5
31020853,5
31020854,5
31020855,5
31020856,5
31020857,5
31020858,5
31020859,5
31020860,5
31020861,5
31020862,5
31044401,5
31044402,5
31044403,5
31044404,5
31044405,5
31030001,5
31030002,5
31030011,5
31030012,5
31030013,5
31030014,5
31030015,5
31030016,5
31030017,5
31030018,5
31030201,3
31010101,3
31010102,3
31010103,3
31010201,3
31010202,3
31010301,3
31010302,3
31020001,3
31020002,3
31020003,6
31020004,5
31020005,5
31020006,5
31020007,5
31020008,5
31020009,3
31020010,4
31020011,5
31020012,5
31020013,5
31020014,5
31020015,5
30010001,5
30010101,5
30030001,5
31080001,5
33210001,10
30030002,5
30030003,5
31040001,5
31040002,5
33159001,5
33159002,5
33159003,5
33159004,5
31030003,5
32200001,5
32200002,5
32200003,5
32200004,5
32200005,5
33090001,5
33090002,5
36000101,12.5
33049001,5
33049002,5
33049003,5
33049004,5
33049005,5
33049006,5
33049007,5
33049008,5
33100001,3
31020901,3
31020902,3
31020903,3
31020904,3
31020905,3
31020906,3
31020907,3
31020908,3
31070101,3
31070102,3
31070103,2
31070104,2
31070201,3
31070202,3
31070203,3
31070204,3
31070205,3
31070206,3
31070301,5
31021001,5
31021002,5
31021003,5
31021004,5
31021005,5
31021006,5
31021007,5
31021008,5
31021009,5
31021010,5
31021011,5
31021101,5
31021102,5
31021103,5
31021104,5
31021105,5
31021106,5
31021107,5
31021108,5
31021109,5
31021110,5
31021111,5
31021112,5
31021113,5
31021114,5
31021115,5
31021116,5
31021119,5
31021120,5
31021121,5
31021122,5
31021123,5
31021124,5
31021125,5
31021126,5
31021127,5
31021128,5
31021129,5
31021130,5
31021131,5
31021132,5
31021148,5
31021133,5
31021134,5
31021135,5
31021136,5
31021137,5
31021138,5
31021139,5
31021140,5
31021141,5
31021142,5
31021143,5
31021144,5
31021145,5
31021146,5
31021147,5
31021149,5
31021150,5
31021151,5
31021152,5
31021160,5
31021161,5
31021162,4
31021163,5
31021164,5
31021165,5
31021166,5
31021167,5
31021168,5
31021169,5
31021170,5
31021171,5
31021172,5
31021173,5
31021174,5
31021175,5
31021176,5
31021177,5
31021178,5
31021179,5
31021185,5
31021186,5
31021187,5
30070101,5
30070102,5
30070103,5
30070104,5
30070105,5
30070106,5
30070107,5
30070108,5
30080101,5
30080102,5
30080103,5
30080104,5
30080105,5
30080106,5
30080107,5
30080108,5
30080109,5
30080110,5
30080111,5
30080112,5
30080113,2.5
30080114,5
30080115,5
30080116,5
30080117,5
30080118,5
30080119,5
30080120,5
30080121,5
30080122,5
300806301,5
300806302,5
300806303,5
300806304,5
300806305,5
300806306,5
300806307,5
300806308,5
300806309,5
300806310,5
300806311,5
300822601,5
300822602,10
300822603,10
300822604,5
300822605,5
300822606,5
300822607,5
300822608,5
300822609,8
300822610,8
300822611,8
300822620,10
300822621,10
300822622,10
300822630,5
3008094,5
300816501,5
300816502,5
300816511,5
300816512,5
300816513,5
300816521,5
300816522,5
300816523,5
300816401,7
300816402,7
300816403,7
300868301,3
300868302,5
300868303,5
300868304,5
300868305,2
300868306,7
300868307,5
300868308,5
300868309,2
300868310,3
300868311,3
300868312,3
300868313,2
300868314,3
31070401,5
31070402,5
31070403,5
31070404,5
31070405,5
31070406,5
31070407,5
31070408,5
500000,3
500001,3
500002,3
500003,3
500004,3
500005,3
500006,3
500007,3
500008,3
500009,3
500010,3
500011,3
500012,3
500013,3
500014,3
500015,3
500016,3
500017,3
500018,3
500019,3
500020,3
500021,3
500022,3
500023,3
500024,3
500025,3
500026,3
500027,3
500028,3
500029,3
500030,3
500031,3
500032,3
500033,3
500034,3
500035,3
500036,3
500037,3
500038,3
500039,3
500040,3
500041,3
500042,3
500043,3
500044,3
500045,3
500046,3
500047,3
500048,3
500049,3
500050,3
500051,3
500052,3
500053,3
500054,3
500055,3
500056,3
500057,3
500058,3
500059,3
500060,3
500061,3
500062,3
500063,3
500064,3
500065,3
500066,3
500067,3
500068,3
500069,3
500070,5
500071,15
500072,15
600000,3
600001,3
600002,3
600003,3
600004,3
600005,3
600006,3
600007,3
600008,3
600009,3
600010,3
600011,3
600012,3
600013,3
600014,3
600015,3
600016,3
600017,3
600018,3
600019,3
600020,3
600021,3
600022,3
600023,3
600024,3
600025,3
600026,3
600027,3
600028,3
600029,3
600030,3
600031,3
600032,3
600033,3
600034,3
600035,3
600036,3
600037,3
600038,3
600039,3
600040,3
600041,3
600042,3
600043,3
600044,3
600045,3
600046,3
600047,3
600048,3
600049,3
600050,3
600051,3
600052,3
600053,3
600054,3
600056,3
600057,3
600058,3
600059,3
600060,3
600061,3
600062,3
600063,3
600064,4
600065,3
600066,4
600067,4
600068,4
600069,4
600070,4
600071,4
600072,4
600073,4
600074,4
600075,4
600076,4
600077,4
600078,4
600079,6
600080,6
600081,6
600082,4
600083,4
600084,4
600085,4
600086,4
600087,4
600088,4
600089,4
600090,4
600091,4
600092,3
600093,3
600094,3
600095,3
600096,3
600097,3
600098,3
600099,5
600100,5
600101,5
600102,3
600103,3
600106,4
600107,4
600108,4
600109,4
600110,4
600111,4
600112,4
600113,4
600114,4
600115,4
600116,4
600117,4
600118,4
600119,4
600120,4
600121,4
600122,4
600123,3
600124,3
600125,3
600126,3
600127,8
600128,8
600129,8
600130,8
600131,8
600132,8
600133,8
600134,8
600135,4
600136,4
600137,4
600138,4
600139,4
600140,4
600141,4
600142,4
600143,4
600144,4
600145,4
600146,4
600147,4
600148,4
600149,4
600150,4
600151,4
600152,4
600153,4
600154,4
600155,4
600156,4
600157,4
600160,4
600161,4
600162,4
600163,4
600164,4
600165,4
600158,4
600159,4
3220720001,8
3220720002,4
3220720003,4
3220720004,3
3220720005,3
3220720101,3
3220720102,3
3220720103,3
3220720104,3
3220720105,3
3220720106,3
3220720107,3
3220720108,3
3220720109,3
3220720110,3
3220720111,3
3220720112,3
3220720201,3
3220720202,3
3220720203,3
3220720204,3
3220720205,3
3220720206,3
3220720207,3
3220720208,3
3220720209,3
3220720210,3
3220720211,3
3220720212,3
3220720213,3
3220720214,3
3220720215,3
3220720216,3
3220720217,3
3220720301,3
3220720302,3
3220720303,3
3220720304,3
3220720305,3
3220720306,3
3220720307,3
3220720308,3
3220720309,3
3220720310,3
3220720311,3
3220720312,3
3220720313,3
3220720401,5
3220720402,5
3220720403,5
3220720404,5
3220720405,3
3220720406,3
3220720407,3
3220720408,3
3220720409,3
3220720410,4
3220720411,4
3220720412,3
3220720413,3
3220720414,5
3220720415,5
3220720416,5
3220720417,4
3220720418,4
3220720419,4
3220720420,4
7210701,2
7210702,2
7210703,3
7210704,4
7210705,4
7210706,3
7210707,4
7210708,4
7210709,4
7210710,4
7210711,4
7210712,4
7210713,4
7210714,6
7210715,4
7210716,3
7210717,3
7210718,3
7210719,3
7210720,3
7210721,3
7210501,3
7210502,3
7210503,3
7210504,3
7210505,3
7210506,5
7210901,4
7210902,3
7210903,3
7210904,3
7210905,3
7210906,3
7210907,3
7210908,3
7210909,3
7210910,3
7210911,3
7210912,3
7210913,3
7210914,3
7210915,3
7210916,3
7210917,3
7210918,3
7210919,3
7210920,3
7210921,3
7210922,3
7210923,3
7210924,3
7210925,3
7210926,3
7210927,3
7210928,3
7210929,3
7210930,3
7210931,3
7210932,3
7210933,3
7210934,3
7210935,3
3220720501,3
3220720502,3
3220720503,3
3220720504,3
3220720505,3
3220720506,3
3220720507,3
3220720508,3
3220720509,3
3220720510,3
3220720511,3
3220721541,3
3220721542,3
3220721543,3
3220721544,3
3220721545,2
3220721546,3
3220721547,3
3220721548,3
3220721549,3
3220721550,3
3220721551,3
3220721552,3
3220721553,3
3220721701,3
3220721702,3
3220721691,3
3220721692,3
3220721693,3
322072801,2
322072802,2
322072803,2
322072804,2
322072805,2
322072806,2
322072807,2
322072808,2
322072809,2
322072810,2
322072811,2
322072812,2
322072813,2
322072814,2
322072815,3
322072816,3
322072817,3
322072818,3
322072819,3
322072820,3
322072821,2
322072822,2
322072823,3
322072824,3
322072825,2
322072826,2
322072827,3
322072828,2
322072829,2
322072830,3
322072831,2
322072832,2
322072833,2
322072834,2
322072835,2
322072836,2
322072601,3
322072602,3
322072603,3
322072604,3
322072605,3
322072606,3
322072607,3
322072608,3
322072609,3
322072610,3
7210001,4
7210002,4
7210003,4
7210004,4
7210005,4
7210006,4
7210007,4
7210008,5
7210009,5
7210010,4
7210011,4
7210012,4
7210013,4
7210014,4
7210015,4
7210016,4
7210017,4
7210018,4
322072611,4
322072612,4
322072613,3
322072614,3
322072615,3
322072616,3
322072617,3
322072618,3
322072619,3
322072620,3
322071501,3
322071502,3
322071503,3
322071504,3
320906501,3
322107101,3
322107201,3
322072699,3
322073101,3
322073601,3
322073602,3
