节点ID,章节ID,节点类型,完成任务,完成MainCoop,接取任务,后继节点
10500102,105001,2,1911201,,1911201,10500103#10500107#10500112
10500103,105001,2,1911301,,1911301,10500104#10500106
10500104,105001,2,1911404,,1911401,10500105
10500105,105001,2,1911405,,1911406,10500191
10500191,105001,3,,105001#1911405,,
10500106,105001,2,1911503,,1911506,10500192
10500192,105001,3,,105001#1911503,,
10500107,105001,2,1911602,,1911601,10500108
10500108,105001,2,1911603,,1911603,10500109#10500111
10500109,105001,2,1911703,,1911701,10500110
10500110,105001,2,1911705,,1911704,10500193
10500193,105001,3,,105001#1911705,,
10500111,105001,2,1911802,,1911801,10500194
10500194,105001,3,,105001#1911802,,
10500112,105001,2,1911907,,1911901,10500195
10500195,105001,3,,105001#1912003,,
10500113,105001,2,1912102,,1912101,10500114
10500114,105001,2,1912105,,1912103,10500115
10500115,105001,2,1912113,,1912114,10500196
10500196,105001,3,,105001#1912180,,
10530101,105301,1,1901204,,1901201,10530102
10530102,105301,2,1901205,,1901205,10530103#10530104
10530103,105301,2,1901001,,1901001,10530105#10530106#10530107
10530105,105301,2,1901302,,1901301,10530110#10530111
10530110,105301,2,1901307,,1901307,10530191
10530191,105301,3,,105301#1901307,,
10530111,105301,2,1901305,,1901309,10530114
10530114,105301,2,1901306,,1901306,10530192
10530192,105301,3,,105301#1901306,,
10530106,105301,2,1901409,,1901401,10530112
10530112,105301,2,1901404,,1901402,10530115
10530115,105301,2,1901407,,1901405,10530193
10530193,105301,3,,105301#1901407,,
10530107,105301,2,1901510,,1901501,10530113
10530113,105301,2,1901506,,1901504,10530116
10530116,105301,2,1901507,,1901507,10530194
10530194,105301,3,,105301#1901507,,
10530104,105301,2,1901601,,1901601,10530108#10530109
10530108,105301,2,1901604,,1901602,10530195
10530195,105301,3,,105301#1901604,,
10530109,105301,2,1901607,,1901605,10530196
10530196,105301,3,,105301#1901607,,
10240101,102401,1,1905002,,1905001,10240102#10240112
10240102,102401,2,1905003,,1905003,10240103#10240108
10240103,102401,2,1905103,,1905101,10240120
10240120,102401,2,1905104,,1905104,10240104#10240109
10240104,102401,2,1905105,,1905105,10240105
10240105,102401,2,1905114,,1905106,10240106
10240106,102401,2,1905107,,1905115,10240119
10240119,102401,2,1905108,,1905108,10240107#10240192
10240107,102401,2,1905110,,1905109,10240191
10240191,102401,3,,102401#101,,
10240192,102401,3,,102401#102,,
10240108,102401,2,1905204,,1905201,10240109
10240109,102401,2,1905207,,1905205,10240110
10240110,102401,2,1905211,,1905208,10240193
10240193,102401,3,,102401#103,,
10240112,102401,2,1905004,,1905004,10240113#10240117
10240113,102401,2,1905302,,1905301,10240114
10240114,102401,2,1905305,,1905303,10240115
10240115,102401,2,1905307,,1905310,10240116
10240116,102401,2,1905309,,1905308,10240194
10240194,102401,3,,102401#104,,
10240117,102401,2,1905404,,1905401,10240118
10240118,102401,2,1905407,,1905408,10240195
10240195,102401,3,,102401#105,,
10550101,105501,1,1901801,,1901801,10550102
10550102,105501,2,1901805,,1901805,10550103#10550106#10550108#10550113
10550103,105501,2,1901906,,1901901,10550104
10550104,105501,2,1901910,,1901909,10550105
10550105,105501,2,1901913,,1901913,10550191
10550191,105501,3,,105501#1901906,,
10550106,105501,2,1902006,,1902001,10550107
10550107,105501,2,1902010,,1902007,10550192
10550192,105501,3,,105501#1902005,,
10550108,105501,2,1901804,,1901803,10550109#10550111
10550109,105501,2,1902604,,1902601,10550110
10550110,105501,2,1902606,,1902605,10550193
10550193,105501,3,,105501#1902603,,
10550111,105501,2,1902705,,1902702,10550112
10550112,105501,2,1902708,,1902706,10550194
10550194,105501,3,,105501#1902704,,
10550113,105501,2,1902809,,1902801,10550114
10550114,105501,2,1902812,,1902810,10550115
10550115,105501,2,1902815,,1902813,10550195
10550195,105501,3,,105501#1902805,,
10640101,106401,1,1901705,,1901701,10640102
10640102,106401,2,1901706,,1901706,10640103#10640112
10640103,106401,2,1903702,,1903701,10640104
10640104,106401,2,1903704,,1903703,10640105#10640109
10640105,106401,2,1903802,,1903801,10640191#10640106
10640106,106401,2,1903806,,1903806,10640107#10640108
10640107,106401,2,1903812,,1903812,10640191
10640108,106401,2,1903811,,1903808,10640192
10640191,106401,3,,106401#1903801,,
10640192,106401,3,,106401#1903805,,
10640109,106401,2,1904009,,1904001,10640110
10640110,106401,2,1904004,,1904004,10640111#10640194
10640111,106401,2,1904007,,1904008,10640193
10640193,106401,3,,106401#1904006,,
10640194,106401,3,,106401#1904007,,
10640112,106401,2,1904702,,1904712,10640113
10640113,106401,2,1904708,,1904703,10640114
10640114,106401,2,1904711,,1904707,10640195
10640195,106401,3,,106401#1904706,,
10270101,102701,1,1913101,,1913101,10270102
10270102,102701,2,1913102,,1913102,10270103#10270111
10270103,102701,2,1913205,,1913207,10270104
10270104,102701,2,1913206,,1913206,10270105#10270108
10270105,102701,2,1913301,,1913301,10270106
10270106,102701,2,1913303,,1913302,10270107
10270107,102701,2,1913305,,1913304,10270191
10270191,102701,3,,102701#1,,
10270108,102701,2,1913406,,1913401,10270109
10270109,102701,2,1913412,,1913407,10270110
10270110,102701,2,1913413,,1913413,10270192
10270192,102701,3,,102701#2,,
10270111,102701,2,1913801,,1913802,10270112#10270114#10270117
10270112,102701,2,1913502,,1913501,10270113
10270113,102701,2,1913503,,1913503,10270193
10270193,102701,3,,102701#3,,
10270114,102701,2,1913602,,1913601,10270115
10270115,102701,2,1913610,,1913603,10270116
10270116,102701,2,1913613,,1913611,10270194
10270194,102701,3,,102701#4,,
10270117,102701,2,1913701,,1913701,10270118
10270118,102701,2,1913708,,1913702,10270119
10270119,102701,2,1913709,,1913709,10270120
10270120,102701,2,1913710,,1913710,10270195
10270195,102701,3,,102701#5,,
10650101,106501,1,1914101,,1914101,10650102
10650102,106501,2,1914102,,1914102,10650103#10650110#10650117
10650103,106501,2,1914201,,1914201,10650104#10650107
10650104,106501,2,1914502,,1914501,10650105
10650105,106501,2,1914509,,1914503,10650106
10650106,106501,2,1914512,,1914511,10650191
10650191,106501,3,,106501#191451201,,
10650107,106501,2,1914601,,1914601,10650108
10650108,106501,2,1914608,,1914608,10650109
10650109,106501,2,1914609,,1914609,10650192
10650192,106501,3,,106501#191460901,,
10650110,106501,2,1914307,,1914303,10650111
10650111,106501,2,1914309,,1914309,10650112#10650113
10650112,106501,2,1914701,,1914701,10650193
10650193,106501,3,,106501#191470101,,
10650113,106501,2,1914801,,1914801,10650114
10650114,106501,2,1914804,,1914802,10650115
10650115,106501,2,1914806,,1914805,10650116
10650116,106501,2,1914807,,1914807,10650194
10650194,106501,3,,106501#191480601,,
10650117,106501,2,1914401,,1914401,10650118
10650118,106501,2,1914403,,1914402,10650119
10650119,106501,2,1914407,,1914404,10650120
10650120,106501,2,1914408,,1914408,10650195
10650195,106501,3,,106501#191440801,,
10590101,105901,1,1903607,,1903601,10590102
10590102,105901,2,1903605,,1903605,10590103#10590108
10590103,105901,2,1903907,,1903909,10590104
10590104,105901,2,1903908,,1903908,10590105
10590105,105901,2,1905515,,1905516,10590106
10590106,105901,2,1905510,,1905506,10590107
10590107,105901,2,1905511,,1905509,10590191
10590191,105901,3,,105901#190551101,,
10590108,105901,2,1905607,,1905601,10590109
10590109,105901,2,1905608,,1905608,10590110#10590114
10590110,105901,2,1905707,,1905701,10590111
10590111,105901,2,1905702,,1905702,10590112
10590112,105901,2,1905703,,1905708,10590113
10590113,105901,2,1905705#1905706,,1905704,10590192#10590193
10590192,105901,3,,105901#190570401,,
10590193,105901,3,,105901#190570402,,
10590114,105901,2,1906001,,1906001,10590115
10590115,105901,2,1906003,,1906002,10590116
10590116,105901,2,1906004,,1906004,10590117
10590117,105901,2,1906005,,1906005,10590118
10590118,105901,2,1906006,,1906006,10590119
10590119,105901,2,1906007,,1906007,10590120
10590120,105901,2,1906009#1906010,,1906008,10590194#10590121
10590194,105901,3,,105901#190600801,,
10590121,105901,2,1906012,,1906021,10590195
10590195,105901,3,,105901#190601201,,
