ID,备注,所属npcID,所属父任务ID,优先级,是否自动触发
1906902,把礼物交给贝雅对话,140101,19069,5,0
1906903,与贝雅讨论约会地点,140101,19069,5,0
1906904,约会HE与诺艾尔对话,1027,19069,5,0
1910101,猫尾酒馆与迪奥娜对话,502,19101,5,0
1910201,商业街与迪奥娜对话,502,19102,5,0
1910202,逗猫玩具店前与迪奥娜对话,502,19102,5,1
1910203,猎鹿人门前与迪奥娜对话,502,19102,5,1
1910204,第一只小猫边与小猫对话,10803,19102,5,0
1910205,第二只小猫边与小猫对话,10804,19102,5,0
1910206,第三只小猫边与小猫对话,10805,19102,5,0
1910207,回到猫尾酒馆与迪奥娜对话,502,19102,5,0
1910301,达达乌帕谷外与迪奥娜对话,502,19103,5,1
1910302,与猎人对话,153901,19103,5,0
1910401,潜行开始处与迪奥娜对话（变量大于0）,502,19104,5,0
1910402,潜行结束处与迪奥娜对话,502,19104,5,1
1910403,丘丘人营地边与杜拉夫对话,153701,19104,5,0
1910404,醒酒HE出谷与艾伦对话,153901,19104,5,0
1910405,醒酒HE猫尾酒馆与迪奥娜对话,502,19104,5,0
1910406,潜行开始处与迪奥娜对话（变量等于0）,502,19104,5,0
1910501,醒酒BE拿到主料后与迪奥娜对话,502,19105,5,1
1910502,醒酒BE出谷与艾伦对话,153901,19105,5,0
1910601,杂货店门口与迪奥娜对话,502,19106,5,1
1910602,池塘边上与迪奥娜对话,502,19106,5,0
1910603,交付鱼鳞后与迪奥娜对话,502,19106,5,0
1910604,史莱姆地区与迪奥娜对话,502,19106,5,0
1910605,交付史莱姆粘液与迪奥娜对话,502,19106,5,0
1910701,晨曦酒庄与迪奥娜对话,502,19107,5,0
1910702,晨曦酒庄与调酒桌交互1,10806,19107,5,0
1910703,将调出的酒交给迪奥娜与迪奥娜对话,502,19107,5,0
1910704,晨曦酒庄与调酒桌交互2,10806,19107,5,0
1910705,第二次调酒后与迪奥娜对话,502,19107,5,0
1908101,图书馆遇到诺艾尔,1027,19081,5,0
1908201,陪诺艾尔去璃月转转,1027,19082,5,1
1908202,陪诺艾尔去卯师傅那吃东西,204501,19082,5,1
1908203,陪诺艾尔去寒锋铁器,204901,19082,5,1
1908301,陪诺艾尔去港口,11006,19083,5,1
1908302,前往两国边境找千岩军,11006,19083,5,0
1908303,和诺艾尔杀怪前对话,1027,19083,5,1
1908304,和诺艾尔杀怪后对话,11006,19083,5,1
1908305,陪诺艾尔去茶摊,1027,19083,5,1
1908401,陪诺艾尔去三碗不过港,214801,19084,5,1
1908405,给田铁嘴打怪前的对话,214801,19084,5,1
1908402,给田铁嘴打怪后的对话,214801,19084,5,1
1908403,给田铁嘴交付后的对话,214801,19084,5,1
1908404,听田铁嘴说书,214801,19084,5,1
1908501,与凯瑟琳对话,151201,19085,5,0
1908502,与塞留斯对话，考基础知识,140901,19085,5,0
1908503,与塞留斯对话，考基础知识（续）,140901,19085,5,1
1908504,与塞留斯对话，考基础知识（续）,140901,19085,5,1
1908505,与塞留斯对话，考基础知识（续）,140901,19085,5,1
1908601,找塞留斯考生存技能,140901,19086,5,0
1908602,找塞留斯交付正确烤肉排,140901,19086,5,1
1908603,找塞留斯交付错误煎蛋,140901,19086,5,1
1908701,找塞留斯考限时挑战,140901,19087,5,0
1908704,挑战成功与诺艾尔对话,1027,19087,5,1
1908705,挑战失败与诺艾尔对话,1027,19087,5,1
1908702,挑战成功与塞留斯对话,140901,19087,5,0
1908703,挑战失败与塞留斯对话,140901,19087,5,0
1908801,塞留斯宣布最终考试结果,140901,19087,5,0
1908802,最终考试结果成功,140901,19087,5,0
1908901,最终考试结果失败,140901,19087,5,1
1908902,考试失败去图书馆找诺艾尔,1027,19087,5,0
1909001,诺艾尔开始做兔兔伯爵,1027,19090,5,1
1909002,诺艾尔模仿安柏失败,1027,19090,5,1
1909101,找马乔丽对话,143501,19091,5,1
1909102,找葛罗丽对话,152101,19091,5,0
1909103,把东西归还马乔丽,143501,19091,5,0
1909201,找查尔斯对话,146501,19092,5,0
1909203,给派恩送酒,147501,19092,5,0
1909205,与查尔斯对话,146501,19092,5,0
1911101,（test）社奉行偶遇武士对话，托马赶到加入对话,12148,19111,5,1
1911201,（test）话题重回托马感谢主角上,503,19112,5,0
1911301,（test）前往木漏茶室和托马碰头,503,19113,5,0
1911401,（test）向城内商人宣传,3006,19114,5,0
1911402,（test）向城内普通居民宣传,12166,19114,5,0
1911403,（test）向城内老人宣传,12165,19114,5,0
1911404,（test）第二天规定时间，回到社奉行发现小课堂坐满了学员,503,19114,5,0
1911405,（test）社奉行碰头，托马前往准备小课堂,503,19114,5,0
1911406,（test）收集材料后交付托马,503,19114,5,0
1911501,（test）与打扫npc2对话,3101,19115,5,0
1911503,（test）回复打扫npc2对话,503,19115,5,0
1911502,（test）第二天规定时间，回到社奉行发现小课堂并没有人来,503,19115,5,0
1911504,（test）与打扫npc1对话,3100,19115,5,0
1911601,（test）来到指定地点，看到很多流浪的猫猫狗狗,503,19116,5,0
1911602,（test）托马会告诉主角关于“忍犬”的背景故事，托马一直想收养它,503,19116,5,0
1911603,（test）攻击猫狗失败1（变量等于0）,503,19116,5,0
1911604,（test）攻击猫狗失败2（变量等于0）,503,19116,5,0
1911701,（test）寻找到忍犬尝试喂食讨好,12156,19117,5,0
1911702,（test）回复忍犬,12156,19117,5,0
1911703,（test）回社奉行打听忍犬主人信息，带回信物,12159,19117,5,0
1911704,（test）再次找到忍犬,12280,19117,5,0
1911801,（test）第二天，与托马再次在汇合，托马带来织好的毛衣,503,19118,5,0
1911802,（test）和托马对话,503,19118,5,0
1911803,（test）攻击猫狗失败（变量等于0）,503,19118,5,0
1911901,（test）来到离岛，与托马对话,503,19119,5,0
1911902,（test）逛街对话1,503,19119,5,0
1911903,（test）撞见了一个过来送礼的人，托马吐露内心想法,503,19119,5,0
1911904,（test）逛街结束对话,503,19119,5,0
1912001,（test）废弃,503,19119,5,0
1912002,（test）废弃,503,19119,5,0
1912101,（test）主角在社奉行中调查，意外地发现了社奉行近期面临的一个危机（托马不在场）,12157,19121,5,0
1912102,（test）前往寻找商人,12160,19121,5,1
1912103,（test）对话两个谜语人,12161,19121,5,0
1912104,（test）回复谜语人1,12161,19121,5,0
1912105,（test）回到社奉行发现危机解决,12148,19121,5,0
1912106,（test）运送货车前对话,12171,19121,5,0
1912107,（test）运送货车后对话,12171,19121,5,0
1912108,（test）回复谜语人2,12162,19121,5,0
1912109,（test）和托马对话,503,19121,5,0
1912110,（test）和托马对话,503,19121,5,0
1912111,（test）寻找谜语人2,12162,19121,5,0
1901201,（test）玩家在大街上，感觉到早柚在跟踪,12170,19012,5,1
1901202,（test）玩家前往早柚可能隐藏的地方,12170,19012,5,1
1901204,（test）与早柚对话，了解跟踪玩家的原因,504,19012,5,0
1901205,（test）主角和早柚去找巫女询问暗杀的原因,3106,19012,5,0
1901001,（test）巫女给早柚布置任务,12170,19010,5,1
1901302,（test）主角在想要不要阻止早柚继续吃下去,12170,19013,5,1
1901307,（test）前往上城区吃饭,12170,19013,5,1
1901305,（test）与早柚进行对话,12170,19013,5,1
1901306,（test）前往指定地点（鸣神大社）,12170,19013,5,1
1901409,（test）与早柚进行对话,504,19014,5,0
1901402,（test）前往指定地点2,12170,19014,5,1
1901404,（test）与早柚进行对话,504,19014,5,1
1901405,（test）前往鸣神大社附近的指定地点,12170,19014,5,1
1901407,（test）与早柚进行对话,12170,19014,5,0
1901501,（test）前往训练的指定地点,12170,19015,5,1
1901503,（test）与早柚进行对话-好评价,12170,19015,5,1
1901508,（test）与早柚进行对话-中评价,12170,19015,5,1
1901509,（test）与早柚进行对话-差评价,12170,19015,5,1
1901504,（test）前往下一个训练地点,12170,19015,5,1
1901506,（test）与早柚进行对话,12170,19015,5,0
1901507,（test）前往森林的指定大树下,12170,19015,5,1
1901601,（test）前往接头地点等待社奉行官员前来,12167,19016,5,1
1901602,（test）前往与海乱鬼接头的地方,12169,19016,5,1
1901604,（test）与早柚进行对话,12170,19016,5,1
1901605,（test）去社奉行找神里绫华对话,1013,19016,5,0
1901606,（test）救完人之后再和早柚对话,12170,19016,5,0
1901607,（test）和神里对完话之后，去院子和早柚对话,504,19016,5,0
