等级,冲击伤害系数,元素反应伤害成长,玩家反应伤害成长,玩家反应护盾成长
81,66.6,968.634183,1109.99754,1622.419626
82,68.2,991.029365,1142.976615,1648.074031
83,69.8,1013.527108,1176.369483,1666.376146
84,71.5,1036.132954,1210.184393,1684.678276
85,73.2,1066.623598,1253.835659,1702.980391
86,74.9,1089.964198,1288.952801,1726.104684
87,76.6,1114.964489,1325.484092,1754.671567
88,78.4,1141.662656,1363.456928,1785.86656
89,80.2,1171.941798,1405.097377,1817.137404
90,82,1202.813736,1446.853458,1851.060358
91,83.8,1233.939915,1488.215547,1885.067163
92,85.6,1264.69967,1528.444567,1921.749303
93,87.4,1305.689483,1580.367911,1958.523291
94,89.3,1346.084383,1630.847528,2006.194108
95,91.2,1411.738173,1711.197785,2041.569007
96,93.1,1468.874501,1780.453941,2054.472064
97,95,1524.041318,1847.322809,2065.97498
98,97,1576.966305,1911.474309,2174.7226
99,99,1627.613082,1972.864342,2186.7682
100,101,1674.809242,2030.071808,2198.81396
101,103,1719.824463,2084.635712,2205.506002
102,105,1764.716533,2139.050343,2212.198045
103,107,1809.401079,2193.213429,2218.890087
104,109.1,1843.19297,2234.173297,2225.58213
105,111.2,1884.980024,2284.824271,2232.274172
106,113.3,1900.652682,2303.821432,2238.966214
107,115.4,1916.375807,2322.879766,2245.658257
108,117.6,1932.149524,2341.999423,2252.350299
109,119.8,1947.973947,2361.180542,2259.042342
110,122,1963.849194,2380.423265,2265.734384
111,124.2,1979.775385,2399.727739,2272.426426
112,126.4,1995.752646,2419.094117,2279.118469
113,128.6,2011.781094,2438.522538,2285.810511
114,130.9,2027.860851,2458.013153,2292.502554
115,133.2,2055.471827,2491.481003,2299.194596
116,135.5,2074.894563,2515.023713,2305.886638
117,137.8,2094.380896,2538.643511,2312.578681
118,140.2,2113.930973,2562.340573,2319.270723
119,142.6,2133.544944,2586.115083,2325.962766
120,145,2153.22296,2609.967224,2332.654808
121,147.4,2172.965177,2633.897184,2339.34685
122,149.8,2192.771741,2657.90514,2346.038893
123,152.2,2212.642803,2681.991276,2352.730935
124,154.7,2232.578518,2706.15578,2359.422978
125,157.2,2252.579033,2730.398828,2366.11502
126,159.7,2261.164708,2740.805707,2372.807062
127,162.2,2269.771434,2751.238101,2379.499105
128,164.8,2278.399255,2761.696067,2386.191147
129,167.4,2287.048214,2772.179653,2392.88319
130,170,2295.718356,2782.688916,2399.575232
131,172.6,2304.409727,2793.223912,2406.267274
132,175.2,2313.122368,2803.784689,2412.959317
133,177.8,2321.856331,2814.37131,2419.651359
134,180.5,2330.611655,2824.983824,2426.343402
135,183.2,2339.388382,2835.622281,2433.035444
136,185.9,2348.186559,2846.286738,2439.727486
137,188.6,2357.006235,2856.977254,2446.419529
138,191.4,2365.847447,2867.693875,2453.111571
139,194.2,2374.710241,2878.436656,2459.803614
140,197,2383.594668,2889.205658,2466.495656
141,199.8,2392.500763,2900.000925,2473.187698
142,202.6,2401.428579,2910.82252,2479.879741
143,205.4,2410.378155,2921.670491,2486.571783
144,208.3,2419.349533,2932.544888,2493.263826
145,211.2,2428.342759,2943.445769,2499.955868
146,214.1,2437.357883,2954.373192,2506.64791
147,217,2446.394947,2965.327209,2513.339953
148,220,2455.453992,2976.30787,2520.031995
149,223,2464.535064,2987.315229,2526.724038
150,226,2473.638208,2998.349343,2533.41608
151,229,2482.763466,3009.410262,2540.108122
152,232,2491.910884,3020.498041,2546.800165
153,235,2501.080507,3031.612736,2553.492207
154,238.1,2510.272377,3042.754397,2560.18425
155,241.2,2519.486545,3053.923085,2566.876292
156,244.3,2528.723051,3065.118849,2573.568334
157,247.4,2537.981936,3076.341741,2580.260377
158,250.6,2547.263248,3087.591815,2586.952419
159,253.8,2556.567031,3098.869128,2593.644462
160,257,2565.893331,3110.173734,2600.336504
161,260.2,2575.24219,3121.505684,2607.028546
162,263.4,2584.613653,3132.865034,2613.720589
163,266.6,2594.007767,3144.251839,2620.412631
164,269.9,2603.424572,3155.666148,2627.104674
165,273.2,2612.864115,3167.108018,2633.796716
166,276.5,2622.326437,3178.577499,2640.488758
167,279.8,2631.811588,3190.074652,2647.180801
168,283.2,2641.319605,3201.599521,2653.872843
169,286.6,2650.850538,3213.152168,2660.564886
170,290,2660.404429,3224.732642,2667.256928
171,293.4,2669.981324,3236.340999,2673.94897
172,296.8,2679.581268,3247.977294,2680.641013
173,300.2,2689.204303,3259.641579,2687.333055
174,303.7,2698.850478,3271.333913,2694.025098
175,307.2,2708.519832,3283.054342,2700.71714
176,310.7,2718.212414,3294.802926,2707.409182
177,314.2,2727.928266,3306.579716,2714.101225
178,317.8,2737.667429,3318.384762,2720.793267
179,321.4,2747.429957,3330.21813,2727.48531
180,325,2757.215888,3342.079865,2734.177352
181,328.6,2767.025263,3353.970016,2740.869394
182,332.2,2776.858133,3365.888646,2747.561437
183,335.8,2786.714538,3377.835804,2754.253479
184,339.5,2796.594525,3389.811546,2760.945522
185,343.2,2806.498135,3401.815921,2767.637564
186,346.9,2816.425418,3413.848991,2774.329606
187,350.6,2826.376411,3425.910801,2781.021649
188,354.4,2836.351165,3438.001412,2787.713691
189,358.2,2846.34972,3450.120873,2794.405734
190,362,2856.372124,3462.269241,2801.097776
191,365.8,2866.418416,3474.446565,2807.789818
192,369.6,2876.488648,3486.652906,2814.481861
193,373.4,2886.58286,3498.888316,2821.173903
194,377.3,2896.701095,3511.152843,2827.865946
195,381.2,2906.843403,3523.446549,2834.557988
196,385.1,2916.88902,3535.623055,2841.25003
197,389,2927.079372,3547.974996,2847.942073
198,393,2937.293961,3560.356316,2854.634115
199,397,2947.532738,3572.766955,2861.326158
200,401,2957.795853,3585.207095,2868.0182
