子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	加载队伍技能组	独占情境ID	CoopPointID	刷新是否限定单机	关卡映射
48710	487	11					1	48712	3															2	48710																										2		10031		3	2	2				1			19	3	133004910,6																19	3	133004910,5	32			1431,1001									
48703	487	12				1	1	48702	3		2	48709	3										2	2	48703				2	48710																					2		10031		3	2	2				1			19	3	133004910,6																19	3	133004910,7	32			1431,1001									
48713	487	13			1		1	48711	3														2	2	48703				2	48710																					2				3				1																																						
48800	488	1					1	48610	3															2	48800																										2		10030		3	2	2				1																											1465,146501,1007									
48801	488	2					1	48800	3															2	48801																										2		153501		3	2	2				1			15	3	133002256																19	3	133002256,2				1535,153501									
48802	488	3					1	48801	3															20			133002256	1														2	20		1330022561	1	21																																									1535,153501									
48804	488	4			1		1	48802	4															4	48804																																							19	3	133002256,1	14	48801																													
48803	488	5					1	48802	3															2	48803																										2		153501		3	2	2		1		1			19	3	133002256,3																						1535,153501									
48901	489	1					1	48610	3															2	48901																										2		1419		3	2	2				1																											1419,141901,1002									
48902	489	2		1			1	48901	3															27	4																										2		1419		3	2	2				1																					28	4					1419,141901									
48909	489	3			1		1	48902	3															2	48902																										2		1419		3						1																											1419,141901									
48903	489	4		1			1	48909	3														2	2	48903				2	48904																					2		1419		3	2	2				1	109205	1																			28	5					1419,141901									
48910	489	5			1		1	99902	3															27	5	3																									2		1419		3						1																																				
48911	489	6			1		1	99902	3															27	5	4																									2		1419		3						1																																				
48905	489	7			1		20	5	3															2	48903																										2		1419		3						1																																				
48906	489	8			1		20	5	4															2	48904																										2		1419		3						1																																				
48904	489	9		1			1	48903	3														2	2	48905				2	48906																					2		1419		3	2	2		1		1																					28	6					1419,141901									
48912	489	10			1		1	99902	3															27	6	5																									2		1419		3						1																																				
48913	489	11			1		1	99902	3															27	6	6																									2		1419		3						1																																				
48907	489	12			1		20	6	5															2	48905																										2		1419		3						1																																				
48908	489	13			1		20	6	6															2	48906																										2		1419		3						1																																				
49001	490	1				1	1	48904	3		1	48803	3		1	48713	3							2	49001																										2		1008		1008	2	2				1																											1008,1006									
49002	490	2					1	49001	3															6	1118																										2		1006		3	2	2				1																											1008,1006						300101			
49003	490	3			1		1	49002	3															2	49003																																							2	3	119																						1006						300101			
49004	490	4			1		1	49003	3															6	1119																										1		Q49004Point		3						1			2	3	119																															
49011	490	5		1			1	49003	3															9	1008	119																									1		Q49004Point		3	2	2				1																					19	3	133001914,2				1006									
49013	490	6		1	1		1	49011	3															20			220022013	1																																	1																																				
49012	490	7		1	1		1	49013	3															2	49012																																				1			12	7		39			19	3	133001914,1																			7						
49005	490	8		1			1	49011	3															20			220022007	1														2	19	1008			10	3													1												14	49011														1006			7						
49006	490	9		1	1		1	49005	3															2	49006																	2	19	1008			10	3													1			17	3	119	20	7					14	49011														1006			7						
49007	490	10					1	49006	3															2	49007																										2		1437		3	2	2				1																											1006,1437									
49008	490	11					1	49007	3															17	1009																										1		Q49008Quest		1009	4	2				1																					19	1009	201009902,2				1006,1001,1002,1004,1007,1008,1009,1413,1411,1404,1410,1412,1414,1465,1475,1477,1523,1603									
49009	490	12		1	1		1	49008	3															2	49009																																				1																					19	1009	201009902,2				1006,1001,1002,1004,1007,1008,1009,1413,1411,1404,1410,1412,1414,1465,1475,1477,1523,1603									
49014	490	13		1	1		1	49009	3															10	3																																				1																																				
49010	490	14		1			1	49009	3															2	49010																										1		Q490Point1		1009	2	2		1					19	1009	201009902,1	2	1009	1	2	1009	2										17	1009	1	17	1009	2	1006,1001,1002,1004,1007,1008,1009,1413,1411,1404,1410,1412,1414,1465,1475,1477,1523,1603									
49015	490	15			1		1	49014	3															2	49010																																																																								
49201	492	1			1		1	48602	3															2	49010																										2		1008		1008				1		1																																				
1200001	12000	1					1	1010115	3															4	1200001																										1		Q1200001trigger		3	1					1																											10045,1625									
1200003	12000	2					1	1200001	3															2	1200003																										2		1625		3	2					1																											10045,1625									
1200004	12000	3					1	1200003	3															4	1200004																										1		Q1200004Trigger	80	3	4					1																											10045,1624						19054			
1200005	12000	4					1	1200004	3															2	1200005																										2		1624		3	2					1																											10045,1624						19054			
1200006	12000	5					1	1200005	3															2	1200006																										1		Q1200005XQ	30	3	4					1			12	12		19	3	133102274,1													19	3	133102274,1				2304,2307						19054			
1200009	12000	6		1			1	1200006	3															7	133102274																	2	8	1200009			21														1			19	3	133102274,1							19	3	133102274,1							19	3	133102274,2				2304,2307			12			19054			
1200011	12000	7		1	1		1	1200009	4															4	1200011																																							14	1200006		19	3	133102274,1	20	12											19	3	133102274,1				2304,2307			12						
1200010	12000	8		1	1		1	1200009	3															2	1200010																																		1		1			20	12																							2304,2307									
1200101	12001	1					1	1200010	3															4	1200101																										2		2073		3	2					1																											10045									
1200103	12001	2					1	1200101	3															2	1200103																										2		2073		3	2					1																											10045,2073									
1200106	12001	3					1	1200103	3															4	1200106																										2		162601		3	2					1																											1626									
1200107	12001	4			1		1	1200106	3															2	1200107																										2		162601		3	2																																									
1200108	12001	5					1	1200107	3															2	1200108																										2		10045		3	2			1		1	100362	1																									10045									
1200201	12002	1					1	1200108	3															4	1200201																										2		162701		3	2					1																											10045,1627									
1200203	12002	2		1			1	1200201	3															2	1200203																										2		162701		3	2					1																											10045,1627						1034			
1200202	12002	3		1	1		1	1200203	3															17	1034																																				1																					19	1034	201034901,2				10045,1627						1034			
1200221	12002	4		1	1		1	1200202	3															2	1200221																										2		162701		3	2					1	100363	1	1	100362	1																						10045,1627						1034			
1200204	12002	5	1	1			1	1200221	3															2	1200204																										2		2013		3	2								23	120021501	1	19	1034	201034901,1																			2013									
1200205	12002	6	1	1			1	1200221	3															2	1200205																										2		2090		3	2								23	120021501	1																						2090									
1200206	12002	7	1	1			1	1200221	3															2	1200206																										2		2072		3	2								23	120021501	1																						2072									
1200215	12002	8		1	1		1	1200221	3															24	120021501			3																																				23	120022201	1																															
1200222	12002	9		1	1		1	1200221	3															24	120022201			1																																	1																																				
1200207	12002	10					1	1200222	3															4	1200207																										2		1628		3	2					1																											10045,1628									
1200208	12002	11					1	1200207	3															2	1200208																										2		1628		3	2					1			19	3	133106050,1	19	3	133106051,1	19	3	133106049,1																10045,1628									
1200209	12002	12		1	1		1	1200208	3															2	1200209																																							23	120021502	1	19	3	133106050,1													19	3	133106050,2													
1200212	12002	13		1	1		1	1200208	3															2	1200212																																							23	120021502	1	19	3	133106051,1													19	3	133106051,2													
1200213	12002	14		1	1		1	1200208	3															2	1200213																																							23	120021502	1	19	3	133106049,1													19	3	133106049,2													
1200219	12002	15		1	1		1	1200208	3															2	1200219																																							23	120021502	1																															
1200220	12002	16		1	1		1	1200208	3															2	1200220																																							23	120021502	1																															
1200214	12002	17	3	1			1	1200208	3															24	120021502			5																							1		Q120020Scale	70	3	4								23	120022301	1																															
1200223	12002	18			1		1	1200208	3															24	120022301			1																																	1																																				
1200210	12002	19					1	1200223	3															2	1200210																										2		1628		3	2					1																											10045,1628									
1200211	12002	20					1	1200210	3															2	1200211																										2		1624		3	2			1		1			1	100363	1																19	3	133106145,2					1624								
1200303	12003	1					1	1200211	3															4	1200303																										2		10045		3	2					1									20	12											19	3	133107003,1	19	3	133107004,1	10045									
1200304	12003	2					1	1200303	3															2	1200304																										2		10045		3	2					1			12	12																	19	3	133107003,1	19	3	133107004,1	10045									
1200305	12003	3		1			1	1200304	3															7	133107003																	2	8	1200305			21																	19	3	133107003,1							19	3	133107003,1							19	3	133107003,2							12						
1200310	12003	4		1	1		1	1200305	4															4	1200310																																							14	1200303		19	3	133107003,1	20	12											19	3	133107003,1							12						
1200307	12003	5		1			1	1200305	3															20			133107004	1														2	8	1200307			21																	19	3	133107004,1							19	3	133107004,1							19	3	133107004,2							12						
1200311	12003	6		1	1		1	1200307	4															4	1200311																																							14	1200303		19	3	133107004,1	20	12											19	3	133107004,1							12						
1200308	12003	7					1	1200307	3															2	1200308																																				1	100364	1	20	12																																
1200309	12003	8					1	1200308	3															2	1200309																										2		1624		3	2			1		1	100361	1	1	100364	1	19	3	133106145,1																				1624								
