流水ID,牌库ID,牌子品级,概率,牌子ID,权重
216,4,2,94,90,10
217,4,2,94,93,10
218,4,2,94,95,10
219,4,2,94,96,10
220,4,2,94,97,10
221,4,2,94,98,10
222,4,2,94,99,10
223,4,2,94,113,10
224,4,2,94,114,10
225,4,2,94,115,10
226,4,2,94,23,10
227,4,2,94,25,10
228,4,2,94,27,10
229,4,2,94,29,10
230,4,2,94,31,10
231,4,2,94,33,10
232,4,2,94,35,10
233,4,2,94,36,10
234,4,2,94,39,10
235,4,2,94,40,10
236,4,2,94,43,10
237,4,2,94,44,10
238,4,2,94,47,10
239,4,2,94,49,10
240,4,2,94,51,10
241,4,2,94,53,10
242,4,2,94,55,10
243,4,2,94,57,10
244,4,2,94,59,10
245,4,2,94,61,10
246,5,1,15,1,20
247,5,1,15,2,20
248,5,1,15,12,20
249,5,1,15,13,20
250,5,1,15,74,20
251,5,1,15,77,20
252,5,1,15,80,20
253,5,1,15,83,10
254,5,1,15,86,10
255,5,1,15,89,10
256,5,1,15,92,20
257,5,1,15,105,10
258,5,1,15,106,10
259,5,1,15,107,10
260,5,1,15,108,15
261,5,1,15,109,15
262,5,1,15,110,10
263,5,1,15,111,15
264,5,1,15,112,15
265,5,2,85,3,10
266,5,2,85,6,20
267,5,2,85,7,20
268,5,2,85,22,10
269,5,2,85,62,10
270,5,2,85,63,10
271,5,2,85,64,10
272,5,2,85,65,10
273,5,2,85,66,10
274,5,2,85,67,10
275,5,2,85,71,10
276,5,2,85,75,15
277,5,2,85,78,15
278,5,2,85,81,15
279,5,2,85,84,5
280,5,2,85,87,5
281,5,2,85,90,5
282,5,2,85,93,15
283,5,2,85,95,10
284,5,2,85,96,10
285,5,2,85,98,10
286,5,2,85,113,5
287,5,2,85,114,5
288,5,2,85,115,10
289,6,1,6,1,20
290,6,1,6,2,20
291,6,1,6,12,20
292,6,1,6,13,20
293,6,1,6,74,5
294,6,1,6,77,40
295,6,1,6,80,5
296,6,1,6,83,5
297,6,1,6,86,10
298,6,1,6,89,10
299,6,1,6,92,20
300,6,1,6,105,10
301,6,1,6,106,10
302,6,1,6,107,10
303,6,1,6,108,10
304,6,1,6,109,10
305,6,1,6,110,5
306,6,1,6,111,10
307,6,1,6,112,10
308,6,2,20,3,20
309,6,2,20,4,10
310,6,2,20,5,10
311,6,2,20,6,15
312,6,2,20,7,15
313,6,2,20,22,25
314,6,2,20,65,10
315,6,2,20,66,10
316,6,2,20,67,10
317,6,2,20,68,10
318,6,2,20,69,10
319,6,2,20,70,10
320,6,2,20,71,10
321,6,2,20,72,10
322,6,2,20,73,10
323,6,2,20,75,5
324,6,2,20,78,40
325,6,2,20,81,5
326,6,2,20,84,5
327,6,2,20,87,10
328,6,2,20,90,10
329,6,2,20,93,15
330,6,2,20,95,10
331,6,2,20,96,10
332,6,2,20,97,10
333,6,2,20,98,10
334,6,2,20,99,10
335,6,2,20,113,5
336,6,2,20,114,5
337,6,2,20,115,10
338,6,3,74,100,5
339,6,3,74,101,5
340,6,3,74,102,20
341,6,3,74,103,20
342,6,3,74,104,20
343,6,3,74,14,20
344,6,3,74,15,20
345,6,3,74,16,5
346,6,3,74,18,5
347,6,3,74,19,20
348,6,3,74,20,20
349,6,3,74,21,20
350,7,1,6,1,20
351,7,1,6,2,20
352,7,1,6,12,20
353,7,1,6,13,20
354,7,1,6,74,5
355,7,1,6,77,40
356,7,1,6,80,5
357,7,1,6,83,5
358,7,1,6,86,10
359,7,1,6,89,10
360,7,1,6,92,20
361,7,1,6,105,10
362,7,1,6,106,10
363,7,1,6,107,10
364,7,1,6,108,10
365,7,1,6,109,10
366,7,1,6,110,5
367,7,1,6,111,10
368,7,1,6,112,10
369,7,2,30,3,20
370,7,2,30,4,10
371,7,2,30,5,10
372,7,2,30,6,15
373,7,2,30,7,15
374,7,2,30,22,10
375,7,2,30,65,10
376,7,2,30,66,10
377,7,2,30,67,10
378,7,2,30,68,10
379,7,2,30,69,10
380,7,2,30,70,10
381,7,2,30,71,10
382,7,2,30,72,10
383,7,2,30,73,10
384,7,2,30,75,5
385,7,2,30,78,40
386,7,2,30,81,5
387,7,2,30,84,5
388,7,2,30,87,10
389,7,2,30,90,10
390,7,2,30,93,15
391,7,2,30,95,10
392,7,2,30,96,10
393,7,2,30,97,10
394,7,2,30,98,10
395,7,2,30,99,10
396,7,2,30,113,5
397,7,2,30,114,5
398,7,2,30,115,10
399,7,3,64,100,5
400,7,3,64,101,5
401,7,3,64,102,20
402,7,3,64,103,20
403,7,3,64,104,20
404,7,3,64,14,20
405,7,3,64,15,20
406,7,3,64,16,5
407,7,3,64,18,5
408,7,3,64,19,20
409,7,3,64,20,20
410,7,3,64,21,20
411,8,1,8,1,20
412,8,1,8,2,20
413,8,1,8,12,20
414,8,1,8,13,20
415,8,1,8,74,5
416,8,1,8,77,40
417,8,1,8,80,5
418,8,1,8,83,5
419,8,1,8,86,10
420,8,1,8,89,10
421,8,1,8,92,20
422,8,1,8,105,10
423,8,1,8,106,10
424,8,1,8,107,10
425,8,1,8,108,10
426,8,1,8,109,10
427,8,1,8,110,5
428,8,1,8,111,10
429,8,1,8,112,10
430,8,2,92,3,20
431,8,2,92,4,10
432,8,2,92,5,10
433,8,2,92,6,15
434,8,2,92,7,15
435,8,2,92,22,10
436,8,2,92,65,10
437,8,2,92,66,10
438,8,2,92,67,10
439,8,2,92,68,10
440,8,2,92,69,10
441,8,2,92,70,10
442,8,2,92,71,10
443,8,2,92,72,10
444,8,2,92,73,10
445,8,2,92,75,5
446,8,2,92,78,40
447,8,2,92,81,5
448,8,2,92,84,5
449,8,2,92,87,10
450,8,2,92,90,10
451,8,2,92,93,15
452,8,2,92,95,10
453,8,2,92,96,10
454,8,2,92,97,10
455,8,2,92,98,10
456,8,2,92,99,10
457,8,2,92,113,5
458,8,2,92,114,5
459,8,2,92,115,10
460,9,1,6,1,20
461,9,1,6,2,20
462,9,1,6,12,20
463,9,1,6,13,20
464,9,1,6,74,5
465,9,1,6,77,40
466,9,1,6,80,5
467,9,1,6,83,5
468,9,1,6,86,10
469,9,1,6,89,10
470,9,1,6,92,20
471,9,1,6,105,10
472,9,1,6,106,10
473,9,1,6,107,10
474,9,1,6,108,10
475,9,1,6,109,10
476,9,1,6,110,5
477,9,1,6,111,10
478,9,1,6,112,10
479,9,1,6,26,20
480,9,1,6,30,20
481,9,1,6,34,20
482,9,1,6,38,20
483,9,1,6,42,20
484,9,1,6,46,20
485,9,1,6,50,20
486,9,1,6,54,20
487,9,1,6,58,10
488,9,2,94,3,20
489,9,2,94,4,10
490,9,2,94,5,10
491,9,2,94,6,15
492,9,2,94,7,15
493,9,2,94,22,10
494,9,2,94,65,10
495,9,2,94,66,10
496,9,2,94,67,10
497,9,2,94,68,10
498,9,2,94,69,10
499,9,2,94,70,10
500,9,2,94,71,10
501,9,2,94,72,10
502,9,2,94,73,10
503,9,2,94,75,5
504,9,2,94,78,40
505,9,2,94,81,5
506,9,2,94,84,5
507,9,2,94,87,10
508,9,2,94,90,10
509,9,2,94,93,15
510,9,2,94,95,10
511,9,2,94,96,10
512,9,2,94,97,10
513,9,2,94,98,10
514,9,2,94,99,10
515,9,2,94,113,5
516,9,2,94,114,5
517,9,2,94,115,10
518,9,2,94,23,10
519,9,2,94,25,10
520,9,2,94,27,10
521,9,2,94,29,10
522,9,2,94,31,10
523,9,2,94,33,10
524,9,2,94,35,10
525,9,2,94,36,10
526,9,2,94,39,10
527,9,2,94,40,10
528,9,2,94,43,10
529,9,2,94,44,10
530,9,2,94,47,10
531,9,2,94,49,10
532,9,2,94,51,10
533,9,2,94,53,10
534,9,2,94,55,10
535,9,2,94,57,10
536,9,2,94,59,10
537,9,2,94,61,10
538,10,1,15,1,20
539,10,1,15,2,20
540,10,1,15,12,20
541,10,1,15,13,20
542,10,1,15,74,5
543,10,1,15,77,40
544,10,1,15,80,5
545,10,1,15,83,5
546,10,1,15,86,10
547,10,1,15,89,10
548,10,1,15,92,20
549,10,1,15,105,10
550,10,1,15,106,10
551,10,1,15,107,10
552,10,1,15,108,10
553,10,1,15,109,10
554,10,1,15,110,5
555,10,1,15,111,10
556,10,1,15,112,10
557,10,2,85,3,20
558,10,2,85,6,15
559,10,2,85,7,15
560,10,2,85,22,25
561,10,2,85,65,10
562,10,2,85,66,10
563,10,2,85,67,10
564,10,2,85,68,10
565,10,2,85,69,10
566,10,2,85,70,10
567,10,2,85,71,10
568,10,2,85,75,5
569,10,2,85,78,40
570,10,2,85,81,5
571,10,2,85,84,5
572,10,2,85,87,10
573,10,2,85,90,10
574,10,2,85,93,15
575,10,2,85,95,10
576,10,2,85,96,10
577,10,2,85,98,10
578,10,2,85,113,5
579,10,2,85,114,5
580,10,2,85,115,10
581,11,1,6,1,20
582,11,1,6,2,20
583,11,1,6,12,20
584,11,1,6,13,20
585,11,1,6,74,5
586,11,1,6,77,5
587,11,1,6,80,40
588,11,1,6,83,5
589,11,1,6,86,10
590,11,1,6,89,10
591,11,1,6,92,20
592,11,1,6,105,10
593,11,1,6,106,10
594,11,1,6,107,10
595,11,1,6,108,10
596,11,1,6,109,10
597,11,1,6,110,5
598,11,1,6,111,10
599,11,1,6,112,10
600,11,2,20,3,10
601,11,2,20,4,10
602,11,2,20,5,10
603,11,2,20,6,15
604,11,2,20,7,15
605,11,2,20,22,10
606,11,2,20,62,10
607,11,2,20,63,10
608,11,2,20,64,10
609,11,2,20,65,10
610,11,2,20,66,10
611,11,2,20,67,10
612,11,2,20,68,10
613,11,2,20,69,10
614,11,2,20,70,10
615,11,2,20,71,10
616,11,2,20,72,10
617,11,2,20,73,10
618,11,2,20,75,5
619,11,2,20,78,5
620,11,2,20,81,40
621,11,2,20,84,5
622,11,2,20,87,10
623,11,2,20,90,10
624,11,2,20,93,15
625,11,2,20,95,10
626,11,2,20,96,10
627,11,2,20,97,10
628,11,2,20,98,10
629,11,2,20,99,10
630,11,2,20,113,5
631,11,2,20,114,5
632,11,2,20,115,10
633,11,3,74,100,5
634,11,3,74,101,20
635,11,3,74,102,5
636,11,3,74,103,5
637,11,3,74,104,20
638,11,3,74,14,20
639,11,3,74,15,20
640,11,3,74,16,5
641,11,3,74,18,5
642,11,3,74,19,20
643,11,3,74,20,20
644,11,3,74,21,20
645,12,1,6,1,20
646,12,1,6,2,20
647,12,1,6,12,20
648,12,1,6,13,20
649,12,1,6,74,5
650,12,1,6,77,5
651,12,1,6,80,40
652,12,1,6,83,5
653,12,1,6,86,10
654,12,1,6,89,10
655,12,1,6,92,20
656,12,1,6,105,10
657,12,1,6,106,10
658,12,1,6,107,10
659,12,1,6,108,10
660,12,1,6,109,10
661,12,1,6,110,5
662,12,1,6,111,10
663,12,1,6,112,10
664,12,2,30,3,10
665,12,2,30,4,10
666,12,2,30,5,10
667,12,2,30,6,15
668,12,2,30,7,15
669,12,2,30,22,10
670,12,2,30,62,10
671,12,2,30,63,10
672,12,2,30,64,10
673,12,2,30,65,10
674,12,2,30,66,10
675,12,2,30,67,10
676,12,2,30,68,10
677,12,2,30,69,10
678,12,2,30,70,10
679,12,2,30,71,10
680,12,2,30,72,10
681,12,2,30,73,10
682,12,2,30,75,5
683,12,2,30,78,5
684,12,2,30,81,40
685,12,2,30,84,5
686,12,2,30,87,10
687,12,2,30,90,10
688,12,2,30,93,15
689,12,2,30,95,10
690,12,2,30,96,10
691,12,2,30,97,10
692,12,2,30,98,10
693,12,2,30,99,10
694,12,2,30,113,5
695,12,2,30,114,5
696,12,2,30,115,10
697,12,3,64,100,5
698,12,3,64,101,20
699,12,3,64,102,5
700,12,3,64,103,5
701,12,3,64,104,20
702,12,3,64,14,20
703,12,3,64,15,20
704,12,3,64,16,5
705,12,3,64,18,5
706,12,3,64,19,20
707,12,3,64,20,20
708,12,3,64,21,20
709,13,1,8,1,20
710,13,1,8,2,20
711,13,1,8,12,20
712,13,1,8,13,20
713,13,1,8,74,5
714,13,1,8,77,5
715,13,1,8,80,40
716,13,1,8,83,5
717,13,1,8,86,10
718,13,1,8,89,10
719,13,1,8,92,20
720,13,1,8,105,10
721,13,1,8,106,10
722,13,1,8,107,10
723,13,1,8,108,10
724,13,1,8,109,10
725,13,1,8,110,5
726,13,1,8,111,10
727,13,1,8,112,10
728,13,2,92,3,10
729,13,2,92,4,10
730,13,2,92,5,10
731,13,2,92,6,15
732,13,2,92,7,15
733,13,2,92,22,10
734,13,2,92,62,10
735,13,2,92,63,10
736,13,2,92,64,10
737,13,2,92,65,10
738,13,2,92,66,10
739,13,2,92,67,10
740,13,2,92,68,10
741,13,2,92,69,10
742,13,2,92,70,10
743,13,2,92,71,10
744,13,2,92,72,10
745,13,2,92,73,10
746,13,2,92,75,5
747,13,2,92,78,5
748,13,2,92,81,40
749,13,2,92,84,5
750,13,2,92,87,10
751,13,2,92,90,10
752,13,2,92,93,15
753,13,2,92,95,10
754,13,2,92,96,10
755,13,2,92,97,10
756,13,2,92,98,10
757,13,2,92,99,10
758,13,2,92,113,5
759,13,2,92,114,5
760,13,2,92,115,10
761,14,1,6,1,20
762,14,1,6,2,20
763,14,1,6,12,20
764,14,1,6,13,20
765,14,1,6,74,5
766,14,1,6,77,5
767,14,1,6,80,40
768,14,1,6,83,5
769,14,1,6,86,10
770,14,1,6,89,10
771,14,1,6,92,20
772,14,1,6,105,10
773,14,1,6,106,10
774,14,1,6,107,10
775,14,1,6,108,10
776,14,1,6,109,10
777,14,1,6,110,5
778,14,1,6,111,10
779,14,1,6,112,10
780,14,1,6,26,20
781,14,1,6,30,20
782,14,1,6,34,20
783,14,1,6,38,20
784,14,1,6,42,20
785,14,1,6,46,20
786,14,1,6,50,20
787,14,1,6,54,20
788,14,1,6,58,10
789,14,2,94,3,10
790,14,2,94,4,10
791,14,2,94,5,10
792,14,2,94,6,15
793,14,2,94,7,15
794,14,2,94,22,10
795,14,2,94,62,10
796,14,2,94,63,10
797,14,2,94,64,10
798,14,2,94,65,10
799,14,2,94,66,10
800,14,2,94,67,10
801,14,2,94,68,10
802,14,2,94,69,10
803,14,2,94,70,10
804,14,2,94,71,10
805,14,2,94,72,10
806,14,2,94,73,10
807,14,2,94,75,5
808,14,2,94,78,5
809,14,2,94,81,40
810,14,2,94,84,5
811,14,2,94,87,10
812,14,2,94,90,10
813,14,2,94,93,15
814,14,2,94,95,10
815,14,2,94,96,10
816,14,2,94,97,10
817,14,2,94,98,10
818,14,2,94,99,10
819,14,2,94,113,5
820,14,2,94,114,5
821,14,2,94,115,10
822,14,2,94,23,10
823,14,2,94,25,10
824,14,2,94,27,10
825,14,2,94,29,10
826,14,2,94,31,10
827,14,2,94,33,10
828,14,2,94,35,10
829,14,2,94,36,10
830,14,2,94,39,10
831,14,2,94,40,10
832,14,2,94,43,10
833,14,2,94,44,10
834,14,2,94,47,10
835,14,2,94,49,10
836,14,2,94,51,10
837,14,2,94,53,10
838,14,2,94,55,10
839,14,2,94,57,10
840,14,2,94,59,10
841,14,2,94,61,10
842,15,1,15,1,20
843,15,1,15,2,20
844,15,1,15,12,20
845,15,1,15,13,20
846,15,1,15,74,5
847,15,1,15,77,5
848,15,1,15,80,40
849,15,1,15,83,5
850,15,1,15,86,10
851,15,1,15,89,10
852,15,1,15,92,20
853,15,1,15,105,10
854,15,1,15,106,10
855,15,1,15,107,10
856,15,1,15,108,10
857,15,1,15,109,10
858,15,1,15,110,5
859,15,1,15,111,10
860,15,1,15,112,10
861,15,2,85,3,10
862,15,2,85,6,15
863,15,2,85,7,15
864,15,2,85,22,25
865,15,2,85,62,10
866,15,2,85,63,10
867,15,2,85,64,10
868,15,2,85,65,10
869,15,2,85,66,10
870,15,2,85,67,10
871,15,2,85,68,10
872,15,2,85,69,10
873,15,2,85,70,10
874,15,2,85,71,10
875,15,2,85,73,10
876,15,2,85,75,5
877,15,2,85,78,5
878,15,2,85,81,40
879,15,2,85,84,5
880,15,2,85,87,10
881,15,2,85,90,10
882,15,2,85,93,15
883,15,2,85,95,10
884,15,2,85,96,10
885,15,2,85,98,10
886,15,2,85,113,5
887,15,2,85,114,5
888,15,2,85,115,10
889,16,1,6,1,20
890,16,1,6,2,20
891,16,1,6,12,20
892,16,1,6,13,20
893,16,1,6,74,10
894,16,1,6,77,5
895,16,1,6,80,10
896,16,1,6,83,40
897,16,1,6,86,10
898,16,1,6,89,5
899,16,1,6,92,15
900,16,1,6,105,10
901,16,1,6,106,10
902,16,1,6,107,10
903,16,1,6,108,10
904,16,1,6,109,10
905,16,1,6,110,5
906,16,1,6,111,10
907,16,1,6,112,10
908,16,2,20,3,10
909,16,2,20,4,10
910,16,2,20,5,10
911,16,2,20,6,15
912,16,2,20,7,15
913,16,2,20,22,10
914,16,2,20,62,10
915,16,2,20,63,10
916,16,2,20,64,10
917,16,2,20,65,10
918,16,2,20,66,10
919,16,2,20,67,10
920,16,2,20,68,10
921,16,2,20,69,10
922,16,2,20,70,10
923,16,2,20,71,10
924,16,2,20,72,10
925,16,2,20,73,10
926,16,2,20,75,10
927,16,2,20,78,5
928,16,2,20,81,10
929,16,2,20,84,40
930,16,2,20,87,10
931,16,2,20,90,5
932,16,2,20,93,15
933,16,2,20,95,10
934,16,2,20,96,10
935,16,2,20,97,10
936,16,2,20,98,10
937,16,2,20,99,10
938,16,2,20,113,5
939,16,2,20,114,5
940,16,2,20,115,10
941,16,2,20,8,15
942,16,2,20,9,15
943,16,2,20,10,15
944,16,2,20,11,15
945,16,3,74,100,15
946,16,3,74,101,5
947,16,3,74,102,5
948,16,3,74,103,20
949,16,3,74,104,5
950,16,3,74,14,20
951,16,3,74,15,20
952,16,3,74,16,5
953,16,3,74,18,5
954,16,3,74,19,20
955,16,3,74,20,20
956,16,3,74,21,20
957,17,1,6,1,20
958,17,1,6,2,20
959,17,1,6,12,20
960,17,1,6,13,20
961,17,1,6,74,10
962,17,1,6,77,5
963,17,1,6,80,10
964,17,1,6,83,40
965,17,1,6,86,10
966,17,1,6,89,5
967,17,1,6,92,15
968,17,1,6,105,10
969,17,1,6,106,10
970,17,1,6,107,10
971,17,1,6,108,10
972,17,1,6,109,10
973,17,1,6,110,5
974,17,1,6,111,10
975,17,1,6,112,10
976,17,2,30,3,10
977,17,2,30,4,10
978,17,2,30,5,10
979,17,2,30,6,15
980,17,2,30,7,15
981,17,2,30,22,10
982,17,2,30,62,10
983,17,2,30,63,10
984,17,2,30,64,10
985,17,2,30,65,10
986,17,2,30,66,10
987,17,2,30,67,10
988,17,2,30,68,10
989,17,2,30,69,10
990,17,2,30,70,10
991,17,2,30,71,10
992,17,2,30,72,10
993,17,2,30,73,10
994,17,2,30,75,10
995,17,2,30,78,5
996,17,2,30,81,10
997,17,2,30,84,40
998,17,2,30,87,10
999,17,2,30,90,5
1000,17,2,30,93,15
1001,17,2,30,95,10
1002,17,2,30,96,10
1003,17,2,30,97,10
1004,17,2,30,98,10
1005,17,2,30,99,10
1006,17,2,30,113,5
1007,17,2,30,114,5
1008,17,2,30,115,10
1009,17,2,30,8,15
1010,17,2,30,9,15
1011,17,2,30,10,15
1012,17,2,30,11,15
1013,17,3,64,100,15
1014,17,3,64,101,5
1015,17,3,64,102,5
1016,17,3,64,103,20
1017,17,3,64,104,5
1018,17,3,64,14,20
1019,17,3,64,15,20
1020,17,3,64,16,5
1021,17,3,64,18,5
1022,17,3,64,19,20
1023,17,3,64,20,20
1024,17,3,64,21,20
1025,18,1,8,1,20
1026,18,1,8,2,20
1027,18,1,8,12,20
1028,18,1,8,13,20
1029,18,1,8,74,10
1030,18,1,8,77,5
1031,18,1,8,80,10
1032,18,1,8,83,40
1033,18,1,8,86,10
1034,18,1,8,89,5
1035,18,1,8,92,15
1036,18,1,8,105,10
1037,18,1,8,106,10
1038,18,1,8,107,10
1039,18,1,8,108,10
1040,18,1,8,109,10
1041,18,1,8,110,5
1042,18,1,8,111,10
1043,18,1,8,112,10
1044,18,2,92,3,10
1045,18,2,92,4,10
1046,18,2,92,5,10
1047,18,2,92,6,15
1048,18,2,92,7,15
1049,18,2,92,22,10
1050,18,2,92,62,10
1051,18,2,92,63,10
1052,18,2,92,64,10
1053,18,2,92,65,10
1054,18,2,92,66,10
1055,18,2,92,67,10
1056,18,2,92,68,10
1057,18,2,92,69,10
1058,18,2,92,70,10
1059,18,2,92,71,10
1060,18,2,92,72,10
1061,18,2,92,73,10
1062,18,2,92,75,10
1063,18,2,92,78,5
1064,18,2,92,81,10
1065,18,2,92,84,40
1066,18,2,92,87,10
1067,18,2,92,90,5
1068,18,2,92,93,15
1069,18,2,92,95,10
1070,18,2,92,96,10
1071,18,2,92,97,10
1072,18,2,92,98,10
1073,18,2,92,99,10
1074,18,2,92,113,5
1075,18,2,92,114,5
1076,18,2,92,115,10
1077,18,2,92,8,15
1078,18,2,92,9,15
1079,18,2,92,10,15
1080,18,2,92,11,15
1081,19,1,6,1,20
1082,19,1,6,2,20
1083,19,1,6,12,20
1084,19,1,6,13,20
1085,19,1,6,74,10
1086,19,1,6,77,5
1087,19,1,6,80,10
1088,19,1,6,83,40
1089,19,1,6,86,10
1090,19,1,6,89,5
1091,19,1,6,92,15
1092,19,1,6,105,10
1093,19,1,6,106,10
1094,19,1,6,107,10
1095,19,1,6,108,10
1096,19,1,6,109,10
1097,19,1,6,110,5
1098,19,1,6,111,10
1099,19,1,6,112,10
1100,19,1,6,26,10
1101,19,1,6,30,10
1102,19,1,6,34,10
1103,19,1,6,38,10
1104,19,1,6,42,10
1105,19,1,6,46,10
1106,19,1,6,50,10
1107,19,1,6,54,10
1108,19,1,6,58,10
1109,19,2,94,3,10
1110,19,2,94,4,10
1111,19,2,94,5,10
1112,19,2,94,6,15
1113,19,2,94,7,15
1114,19,2,94,22,10
1115,19,2,94,62,10
1116,19,2,94,63,10
1117,19,2,94,64,10
1118,19,2,94,65,10
1119,19,2,94,66,10
1120,19,2,94,67,10
1121,19,2,94,68,10
1122,19,2,94,69,10
1123,19,2,94,70,10
1124,19,2,94,71,10
1125,19,2,94,72,10
1126,19,2,94,73,10
1127,19,2,94,75,10
1128,19,2,94,78,5
1129,19,2,94,81,10
1130,19,2,94,84,40
1131,19,2,94,87,10
1132,19,2,94,90,5
1133,19,2,94,93,15
1134,19,2,94,95,10
1135,19,2,94,96,10
1136,19,2,94,97,10
1137,19,2,94,98,10
1138,19,2,94,99,10
1139,19,2,94,113,5
1140,19,2,94,114,5
1141,19,2,94,115,10
1142,19,2,94,23,10
1143,19,2,94,25,10
1144,19,2,94,27,10
1145,19,2,94,29,10
1146,19,2,94,31,10
1147,19,2,94,33,10
1148,19,2,94,35,10
1149,19,2,94,36,10
