ID,[触发条件]类型,[触发条件]参数1,[触发条件]参数2,进度,已废弃,组ID,激活等级区间,奖励ID,积分,可领奖天数
52060,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401#20040501#25090101#20040601#24021101#20040401#20070101#22060101#26050701#24010401#26110101#26020301,可联机,1,,1003,30#40,3006240,20,2
52061,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401#20040501#25090101#20040601#24021101#20040401#20070101#22060101#26050701#24010401#26110101#26020301,可联机,2,,1003,40#50,3006241,20,2
52062,109,20040101#20040201#20040301#26020201#26020101#20050101#29020102#26050101#26050201#26050301#26050401#20040501#25090101#20040601#24021101#20040401#20070101#22060101#26050701#24010401#26110101#26020301,可联机,2,,1003,50#61,3006242,20,2
52063,502,106,,180,,1003,10#30,3006243,20,2
52064,502,106,,240,,1003,30#40,3006244,20,2
52065,502,106,,300,,1003,40#50,3006245,20,2
52066,502,106,,360,,1003,50#61,3006246,20,2
52067,505,,,4,,1003,10#61,3006247,10,3
52072,318,,,3,,1003,10#61,3006249,40,3
52073,301,,,16,,1003,10#61,3006248,10,3
52074,307,,,15,,1003,10#61,3006250,60,3
52075,502,106,,360,,1003,10#30,3006256,40,3
52076,502,106,,480,,1003,30#40,3006257,40,3
52077,502,106,,660,,1003,40#50,3006258,40,3
52078,502,106,,720,,1003,50#61,3006259,40,3
52079,310,1#2#3#4#20#21#26#27,,10,,1003,10#61,3006251,40,3
52080,401,1,,10,,1003,10#61,3006212,10,0
52081,329,133002259:954,可联机,1,,1003,10#30,3006252,40,3
52082,329,133002259:954,可联机,2,,1003,30#40,3006253,40,3
52083,329,133002259:954,可联机,3,,1003,40#50,3006254,40,3
52084,329,133002259:954,可联机,4,,1003,50#61,3006255,40,3
52085,505,,,1,,1004,10#61,3006308,10,0
52086,301,,,4,,1004,10#61,3006309,10,0
52087,1010,,,1,,1004,28#61,3006310,10,0
52088,303,,,1,,1004,10#61,3006311,10,0
52089,401,1,,10,,1004,10#61,3006312,10,0
52090,125,1,可联机,8,1,1004,10#30,3006313,20,0
52091,125,1,可联机,10,1,1004,30#40,3006314,20,0
52092,125,1,可联机,12,1,1004,40#50,3006315,20,0
52093,125,1,可联机,14,1,1004,50#61,3006316,20,0
52094,502,106,,60,,1004,10#30,3006317,20,0
52095,502,106,,80,,1004,30#40,3006318,20,0
52096,502,106,,100,,1004,40#50,3006319,20,0
52097,502,106,,120,,1004,50#61,3006320,20,0
52098,505,,,2,,1004,10#61,3006321,10,1
52099,301,,,8,,1004,10#61,3006322,10,1
52100,1005,,,1,,1004,28#61,3006323,10,1
52101,402,,,20,,1004,10#61,3006324,10,1
52102,225,1,,1,,1004,10#61,3006325,10,1
52103,125,2,可联机,3,1,1004,10#30,3006326,20,1
52104,125,2,可联机,4,1,1004,30#40,3006327,20,1
52105,125,2,可联机,5,1,1004,40#50,3006328,20,1
52106,125,2,可联机,6,1,1004,50#61,3006329,20,1
52107,502,106,,120,,1004,10#30,3006330,20,1
52108,502,106,,160,,1004,30#40,3006331,20,1
52109,502,106,,200,,1004,40#50,3006332,20,1
52110,502,106,,240,,1004,50#61,3006333,20,1
52111,505,,,3,,1004,10#61,3006334,10,2
52112,301,,,12,,1004,10#61,3006335,10,2
52113,948,,,1,,1004,31#61,3006336,10,2
52114,307,,,1,,1004,10#61,3006337,10,2
52115,226,1,,1,,1004,10#61,3006338,10,2
52116,125,3,可联机,1,,1004,10#30,3006339,20,2
52117,125,3,可联机,1,,1004,30#40,3006340,20,2
52118,125,3,可联机,2,,1004,40#50,3006341,20,2
52119,125,3,可联机,2,,1004,50#61,3006342,20,2
52120,502,106,,180,,1004,10#30,3006343,20,2
52121,502,106,,240,,1004,30#40,3006344,20,2
52122,502,106,,300,,1004,40#50,3006345,20,2
52123,502,106,,360,,1004,50#61,3006346,20,2
52124,505,,,4,,1004,10#61,3006347,10,3
52125,318,,,3,,1004,10#61,3006349,40,3
52126,301,,,16,,1004,10#61,3006348,10,3
52127,307,,,15,,1004,10#61,3006350,60,3
52128,402,,,50,,1004,10#61,3006351,40,3
52129,329,133002259:954,可联机,1,,1004,10#30,3006352,40,3
52130,329,133002259:954,可联机,2,,1004,30#40,3006353,40,3
52131,329,133002259:954,可联机,3,,1004,40#50,3006354,40,3
52132,329,133002259:954,可联机,4,,1004,50#61,3006355,40,3
52133,502,106,,360,,1004,10#30,3006356,40,3
52134,502,106,,480,,1004,30#40,3006357,40,3
52135,502,106,,660,,1004,40#50,3006358,40,3
52136,502,106,,720,,1004,50#61,3006359,40,3
52137,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,8,,1004,10#30,3006313,20,0
52138,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,10,,1004,30#40,3006314,20,0
52139,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,12,,1004,40#50,3006315,20,0
52140,109,21010101#21010201#21010301#21010401#21010501#21010601#21010701#21010901#21011201#21011301#21011401#21011501#21011601#21030101#21030201#21030301#21030401#21030501#21030601#20010101#20010201#20010301#20010401#20010501#20010601#20010701#20010801#20010901#20011001#20011101#20011201#20011202#20011301#20011401#20011501,可联机,14,,1004,50#61,3006316,20,0
52141,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,3,,1004,10#30,3006326,20,1
52142,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,4,,1004,30#40,3006327,20,1
52143,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,5,,1004,40#50,3006328,20,1
52144,109,22010101#22010201#22010301#22010401#24010101#24010201#24010301#24020101#24020201#24020301#24020401#21020101#21020201#21020301#21020601#21020701,可联机,6,,1004,50#61,3006329,20,1
