ID	道具ID	交付完台词	错误交付吐槽	交付完对话
7213204	100601,100788			
7113204	100601,100601			
20091501	101201			
20091502	100021			
220170101	100861			
220170102	100863			
220170103	100862			
220230201	108093,108094,108183,108184			
220230202	108205,108206			
220230203	108259,108260			
220230204	108092,108182,108204			
220320201	108075,108076,108078,108079			
220320202	108097,108096			
220320203	108268,108269			
220320204	108074,108077,108095			
220330201	108198,108199,108162,108163			
220330202	108226,108227			
220330203	108253,108254			
220330204	108197,108161,108252			
20120101	100021,100022,100023,100024,100025,100055,100056,100057			
20120201	100027,100028,100029,100030,100031,100033,100034,100058			
120060201	108041,108042,108043			
7211216	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721121503		
7211217	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721121503		
7211218	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721121503		
7210416	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721041503		
7210417	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721041503		
7210418	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721041503		
7210316	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721031503		
7210317	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721031503		
7210318	100789,100790,100791,100792,100793,100794,100795,100796,100797,100908,100909,100910,100911,100912,100913,100914	721031503		
300260101	108251			
300260102	108250			
300260103	108249			
300260201	108266			
300260202	108265			
300260203	108264			
300260301	108257			
300260302	108256			
300260303	108255			
300260401	108269			
300260402	108268			
300260403	108267			
7271801	108005,108006			
721400901	108279			
721400902	108280			
721400903	108281			
220390101	100013,100022,100051,100058,100016,100021			
220390102	100083,100082,100081,112002			
7066105	131000,131003,131015			
7220606	100011,100025			
7224401	100030,100023,100024			
726760201	108032,108033			
710620201	100013,100014,100001,100002,100061,100062,100064,100079,100080,100084,100088,100091,100092,100093,100095			
722661701	101664			
7217703	100921,100922,100923,100924			
7900101	101801,101802,101803,101804,101805,101806,101807,101808,101834			
7901301	108032,108033			
230010201	108094,108057,108393			
230010202	108093,108056,108392			
230010203	108092,108055,108391			
230050301	108094,108057,108393			
230050302	108093,108056,108392			
230050303	108092,108055,108391			
230140201	112035			
230140202	112036,112037			
230070801	101905,101906,101907			
7902401	101935,101936,101937			
7902407	100028,100058,101001,101002,101003,101004,101006,101008			
30070101	100028,100029,100030,100031,100032,100033,100034,100052,100053,100054,100055,100058,100072,100082,100083,101001,101002,101003,101004,101006,101008,101201,101202,101203,101204,101205,101206,101207,101208,101209,101210,101212,101213,101214,101215,101219			300704
730400201	100001			7304005
730400202	101228,101212,101226,101227,100002,100011,100012,100013,100014,100015,100016,100017,100018,100020,100021,100022,100025,100026,100051,100052,100053,100079,100080,101206,101210,101211,101216,101218,101219			7304010
730400301	101228			7304007
730400302	100001,101212,101226,101227,100002,100011,100012,100013,100014,100015,100016,100017,100018,100020,100021,100022,100025,100026,100051,100052,100053,100079,100080,101206,101210,101211,101216,101218,101219			7304010
730400401	101212,101226,101227			7304009
730400402	100001,101228,100002,100011,100012,100013,100014,100015,100016,100017,100018,100020,100021,100022,100025,100026,100051,100052,100053,100079,100080,101206,101210,101211,101216,101218,101219			7304010
230430101	120119			2304313
230430102	120120			2304315
230430103	120121			2304314
230430104	120122			2304316
