DisplayID,SeriesID,condType,[参数]1类型,[参数]1参数,[参数]2类型,[参数]2参数,[参数]3类型,[参数]3参数,[参数]4类型,[参数]4参数
10701028,10701,5,2,10701028,2,10701035,,,,
10901001,10901,5,1,10901001,4,10901010,,,,
10901002,10901,1,1,10901002,3,1,,,,
10901003,10901,6,1,10901003,,,,,,
10901005,10901,6,1,10901005,,,,,,
10901006,10901,1,1,10901003,3,1,,,,
10901008,10901,1,1,10901005,3,1,,,,
10901013,10901,1,3,10,3,1,,,,
10901010,10901,6,1,10901001,,,,,,
11001101,11001,1,1,11001101,3,1,,,,
11001102,11001,1,1,11001102,3,1,,,,
11001103,11001,1,1,11001103,3,1,,,,
11001108,11001,1,1,11001108,3,1,,,,
11001109,11001,1,1,11001109,3,40,,,,
11001110,11001,1,1,11001109,3,90,,,,
11301001,11301,1,3,1,1,11301101,,,,
11301002,11301,1,3,2,1,11301101,,,,
11301003,11301,1,1,11301104,3,150000,,,,
11301004,11301,1,1,11301104,3,250000,,,,
11301005,11301,1,1,11301102,3,5,,,,
11301006,11301,1,1,11301102,3,5,,,,
11301007,11301,1,1,11301103,3,3,,,,
11301008,11301,1,1,11301103,3,6,,,,
11301009,11301,1,1,11301105,3,1,,,,
11301010,11301,1,1,11301105,3,3,,,,
11301011,11301,1,3,1,3,1,,,,
11301012,11301,1,1,11301106,3,1,,,,
11301013,11301,1,1,11301108,3,5,,,,
11301014,11301,1,1,11301108,3,15,,,,
11301015,11301,1,1,11301107,3,25,,,,
11301016,11301,1,1,11301109,3,180,,,,
11301017,11301,1,1,11301107,3,35,,,,
11301101,11301,1,3,1,1,11301101,,,,
11301102,11301,1,3,2,1,11301101,,,,
11301103,11301,1,1,11301104,3,150000,,,,
11301104,11301,1,1,11301104,3,250000,,,,
11301105,11301,1,1,11301102,3,5,,,,
11301106,11301,1,1,11301102,3,5,,,,
11301107,11301,1,1,11301103,3,3,,,,
11301108,11301,1,1,11301103,3,6,,,,
11301109,11301,1,1,11301105,3,1,,,,
11301110,11301,1,1,11301105,3,3,,,,
11301111,11301,1,3,1,3,1,,,,
11301112,11301,1,1,11301106,3,1,,,,
11301113,11301,1,1,11301108,3,5,,,,
11301114,11301,1,1,11301108,3,15,,,,
11301115,11301,1,1,11301107,3,25,,,,
11301116,11301,1,1,11301109,3,180,,,,
11301117,11301,1,1,11301107,3,35,,,,
11302001,11302,1,1,11302101,3,2,,,,
11302002,11302,1,1,11302101,3,4,,,,
11302003,11302,1,1,11302103,3,150000,,,,
11302004,11302,1,1,11302103,3,250000,,,,
11302005,11302,1,1,11302104,3,1,,,,
11302006,11302,1,1,11302104,3,3,,,,
11302007,11302,1,1,11302102,3,30,,,,
11302008,11302,1,1,11302102,3,50,,,,
11302009,11302,1,3,1,3,1,,,,
11302010,11302,1,1,11302105,3,1,,,,
11302011,11302,1,1,11302106,3,70,,,,
11302012,11302,1,1,11302106,3,85,,,,
11302013,11302,1,1,11302106,3,100,,,,
11302014,11302,1,1,11302107,3,60,,,,
11302101,11302,1,1,11302101,3,2,,,,
11302102,11302,1,1,11302101,3,4,,,,
11302103,11302,1,1,11302103,3,150000,,,,
11302104,11302,1,1,11302103,3,250000,,,,
11302105,11302,1,1,11302104,3,1,,,,
11302106,11302,1,1,11302104,3,3,,,,
11302107,11302,1,1,11302102,3,30,,,,
11302108,11302,1,1,11302102,3,50,,,,
11302109,11302,1,3,1,3,1,,,,
11302110,11302,1,1,11302105,3,1,,,,
11302111,11302,1,1,11302106,3,70,,,,
11302112,11302,1,1,11302106,3,85,,,,
11302113,11302,1,1,11302106,3,100,,,,
11302114,11302,1,1,11302107,3,60,,,,
11303001,11303,1,1,11303101,3,1,,,,
11303002,11303,1,1,11303102,3,3,,,,
11303003,11303,1,1,11303102,3,5,,,,
11303004,11303,1,1,11303103,3,1,,,,
11303005,11303,1,1,11303103,3,1,,,,
11303006,11303,1,1,11303105,3,150000,,,,
11303007,11303,1,1,11303105,3,250000,,,,
11303008,11303,1,1,11303106,3,1,,,,
11303009,11303,1,1,11303106,3,3,,,,
11303010,11303,1,1,11303104,3,10,,,,
11303011,11303,1,1,11303104,3,20,,,,
11303012,11303,1,3,1,3,1,,,,
11303013,11303,1,1,11303107,3,1,,,,
11303014,11303,1,1,11303108,3,30,,,,
11303015,11303,1,1,11303108,3,40,,,,
11303016,11303,1,1,11303108,3,50,,,,
11303017,11303,1,1,11303108,3,60,,,,
11303018,11303,1,1,11303109,3,180,,,,
11303101,11303,1,1,11303101,3,1,,,,
11303102,11303,1,1,11303102,3,3,,,,
11303103,11303,1,1,11303102,3,5,,,,
11303104,11303,1,1,11303103,3,1,,,,
11303105,11303,1,1,11303103,3,1,,,,
11303106,11303,1,1,11303105,3,150000,,,,
11303107,11303,1,1,11303105,3,250000,,,,
11303108,11303,1,1,11303106,3,1,,,,
11303109,11303,1,1,11303106,3,3,,,,
11303110,11303,1,1,11303104,3,10,,,,
11303111,11303,1,1,11303104,3,20,,,,
11303112,11303,1,3,1,3,1,,,,
11303113,11303,1,1,11303107,3,1,,,,
11303114,11303,1,1,11303108,3,30,,,,
11303115,11303,1,1,11303108,3,40,,,,
11303116,11303,1,1,11303108,3,50,,,,
11303117,11303,1,1,11303108,3,60,,,,
11303118,11303,1,1,11303109,3,180,,,,
11401001,11401,1,1,11401104,3,1,,,,
11401002,11401,1,1,11401107,3,1,,,,
11401003,11401,1,1,11401106,3,5,,,,
11401004,11401,1,1,11401105,3,4,,,,
11402001,11402,1,1,11402104,3,1,,,,
11402002,11402,1,1,11402107,3,1,,,,
11402003,11402,1,1,11402105,3,7,,,,
11402004,11402,1,1,11402106,3,3,,,,
11403001,11403,1,1,11403104,3,1,,,,
11403002,11403,1,1,11403108,3,1,,,,
11403003,11403,1,1,11403107,3,5,,,,
11403004,11403,1,1,11403105,3,6,,,,
11403005,11403,1,1,11403106,3,3,,,,
11404001,11404,1,1,11404104,3,1,,,,
11404002,11404,1,1,11404108,3,1,,,,
11404003,11404,1,1,11404105,3,3,,,,
11404004,11404,1,1,11404106,3,2,,,,
11404005,11404,1,1,11404107,3,5,,,,
