ID	类型	细分类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活间隔时间	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	结算倒计时	失败后退出等待时间	主动退出倒计时	结算显示1	结算显示2	结算显示3	结算显示4	结算后是否拦截主动复活	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	城市ID	地城状态
1112	1	0	1			20036		1	35	0	1	34			154			0	99			0	10	10	3						0	0	0		1	1
1113	1	0	1			20103		1	28		1	27			96			10	99			230500	999	30	3						0	0	0		1	1
1114	1	0	1			20104		1	28		1	27			98			10	99			0	999	30	3						0	0	0		2	1
1115	1	0	1			20105		1	28		1	27			107			10	99			230501	999	30	3						0	0	0		2	1
1116	1	0	1			20037		1	30		1	29			148			10	99			230052	999	30	3						0	0	0		1	1
1117	1	0	1			20111		1	30		1	29			167			10	99			0	999	30	3						0	0	0		3	1
1118	1	0	1			20112		1	30		1	29			170			0	0			0	999	30	3						0	0	0		3	1
1119	1	0	1			20113		1	30		1	29			189			10	99			0	999	30	3						0	0	0		3	1
1120	1	0	1			1062		1	35	0	1	34			176			10	99			230054	999	30	3						0	0	0		3	1
1121	1	0	1			20116		1	35	0	1	34			177			10	99			0	999	30	3						0	0	0		3	1
1122	1	0	1			20117		1	30		1	29			198			0	0			0	999	30	3						0	0	0		3	1
1123	1	0	1			1065		1	30		1	29			190			0	0			0	999	30	3						0	0	0		3	1
1124	1	0	1			20118		1	31		1	30			194			0	0			0	999	30	3						0	0	0		3	1
1125	1	0	1			20119		1	35		1	34			167			10	99			230055	999	30	3						0	0	0		3	1
1126	1	0	1			20120		1	35		1	34			210			0	0			0	999	30	3						0	0	0		2	1
1127	1	0	1			20121		1	35		1	34			208			10	99			0	999	30	3						0	0	0		2	1
1128	1	0	1			20123		1	35	0	1	34			213			0	0			230056	999	30	3						0	0	0		3	1
1129	1	0	1			20122		1	35	0	1	34			216			10	99			0	999	30	3						0	0	0		3	1
1130	1	0	1			20126		1	35	0	1	34			228			10	99			0	999	30	3						0	0	0		3	1
1131	1	0	1			20127		1	35	0	1	34			215			10	99			0	999	30	3						0	0	0		2	1
1132	1	0	1			20128		1	35	0	1	34			213			10	99			0	999	30	3						0	0	0		2	1
1133	1	0	1			20129		1	35	0	1	34			237			10	99			0	999	30	3						0	0	0		2	1
1134	1	0	1			20131		1	35	0	1	34			232			10	99			230057	999	30	3						0	0	0		2	1
1135	1	0	1			50067		1	35	0	1	34			215			10	99			0	999	30	3						0	0	0		1	2
1136	1	0	1			1071		1	35	0	1	34			230			10	99			230058	999	30	3						0	0	0		3	1
1137	27	0	1			20133		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1138	27	0	1			20135		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0	1728:100	102	1
1139	27	0	1			20134		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1140	27	0	1			20136		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1141	27	0	1			20137		1	30		1	29			51			10	999			0	999	0	1						0	0	0		102	1
1142	27	0	1			20138		1	30		1	29			51			10	999			0	999	0	1						0	0	0		102	1
1143	27	0	1			20139		1	30		1	29			51			10	999			0	999	0	1						0	0	0		102	1
1144	27	0	1			20140		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0	1728:100	102	1
1145	27	0	1			20141		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1146	27	0	1			20142		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0	1728:100	102	1
1147	27	0	1			20143		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1148	27	0	1			20144		1	30	1	1	29			51			10	999			0	999	0	1						0	0	0		102	1
1149	1	0	1			20132		1	35		1	34			235			10	99			0	999	30	1						0	0	0		4	1
1150	1	0	1			20149		1	35		1	34			236			10	10			230059	999	30	3						0	0	0		4	1
1151	1	0	1			20145		1	30		1	29			243			10	10			0	999	30	3						0	0	0		4	1
1152	1	0	1			20146		1	30		1	29			244			10	10			0	999	30	3						0	0	0		4	1
1153	1	0	1			20147		1	30		1	29			245			10	10			0	999	30	3						0	0	0		4	1
1154	1	0	1			20148		1	30		1	29			236			10	10			0	999	30	3						0	0	0		4	1
1155	1	0	1			20150		1	35		1	34			238			10	10			0	999	30	1						0	0	0		4	1
1156	1	0	1			20151		1	35		1	34			257			10	99			0	999	30	3						0	0	0		4	1
1157	1	0	1			20157		1	35		1	34			258			10	99			0	999	30	3						0	0	0		4	1
1158	2	0	1			20159		1	28		24	27			246			10	99			230214	120	30	3						0	0	0		4	1
1159	2	0	1			20160		1	30		28	29			251			10	99			230215	120	30	3						0	0	0	1743:100	4	1
1160	2	0	1			20161		1	32		32	31			252			10	99			230216	120	30	3						0	0	0	1744:100	4	1
1161	1		1			20158		1	35		1	34			267	1165		10	10			0	5	30	3						0	0	0		4	1
1162	32		1			20162		1	10		1	9			107			9999	999			0	0	0	0						0	0	0		4	1
1163	34	0	1			47103		1	28		1	27			107			10	99			0	999	30	3						0	0	0		4	2
1164	1		1			20163		1	35		1	34			265	1167		10	10			0	5	30	3						0	0	0		4	1
1165	1	0	1			20164		1	35		1	34			256			10	10			0	999	30	3						0	0	0		4	1
1166	1	0	1			20165		1	35		1	34			256			10	10			0	999	30	3						0	0	0		4	1
1167	1	0	1			20168		1	35	0	1	34			266			0	99			0	999	30	3						0	0	0		4	1
2000	1	0	1			20016		1	10	0	1	9			21			10	10			230008	999	30	3	1					0	0	0		1	1
2001	1	0				20017		1	26	0	1	25			1	2002		0	0			0	5	30	3						0	0	0		1	1
2002	1	0				20018		1	26	0	1	25			26			0	0			0	99	30	3				4		0	0	0		1	1
2003	1	0	1			20019		1	23	0	1	22			25			10	10			230011	999	30	3						0	0	0		1	1
2004	1	0				20020		1	10	0	1	9			27			0	0			0	999	30	3						0	0	0		1	1
2006	1	0	1			1016		1	15	0	1	14			37			10	10			230009	999	30	3						0	0	0		1	1
2007	1	0	1			1015		1	15	0	1	3			35	2006		10	10			0	5	30	3						0	0	0		1	1
2008	1	0				1024		1	35	0	1	34			36			10	10			230018	999	30	30						0	0	0		1	1
2009	2	0				50016		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		1	2
2010	1	0				1024		1	45	0	1	44			36			10	10			0	120	30	30						0	0	0		1	2
2011	1	0				1024		1	60	0	1	59			36			10	10			0	120	30	30						0	0	0		1	2
2012	1	0				20026		1	60	0	1	59			36			10	10			230019	999	30	30						0	0	0		1	1
2013	1	0				1024		1	80	0	1	79			36			10	10			0	120	30	30						0	0	0		1	2
2014	1	0				20027		1	80	0	1	79			36			10	10			230020	999	30	30						0	0	0		1	1
2015	1	0				1024		1	90	0	1	89			36			10	10			0	120	30	30						0	0	0		1	2
2016	1	0				20028		1	90	0	1	89			36			10	10			230021	999	30	30						0	0	0		1	1
2020	7	4		1001		20025		1	40	31	25	39			63			0	0			0	999	30	30						0	0	0		1	1
2021	7	4		1001		20025		1	50	41	30	49			63			0	0			0	999	30	30						0	0	0		1	1
2022	7	4		1001		20025		1	60	51	35	59			63			0	0			0	999	30	30						0	0	0		1	1
2023	7	4		1001		20025		1	70	61	40	69			63			0	0			0	999	30	30						0	0	0		1	1
2024	7	4		1001		20025		1	80	71	45	79			63			0	0			0	999	30	30						0	0	0		1	1
2025	7	4		1001		20025		1	90	81	50	89			63			0	0			0	999	30	30						0	0	0		1	1
2026	2	0				20152		1	90	0	1	89			173			0	10			0	999	30	30						0	0	0		4	2
2099	2	0				50015		1	10	1	1	9			25			10				0	999	30	3						0	0	0		1	2
2100	2	0				50028		1	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2101	2	0	1			50041		1	36	1	1	35			75			10	99			0	120	30	3						0	0	0		1	2
2102	2	0				50042		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2103	2	0				50045		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2104	2	0				50046		1	35	26	1	34			29			10	99			0	999	30	3						0	0	0	1364:100	1	2
2105	2	0				50047		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2106	2	0				50048		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2107	2	0				50049		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2108	2	0				50052		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2109	2	0				50054		2	1	1	1	0			75			10	99			0	120	30	3						0	0	0		1	2
2110	2	0				50055		1	1	1	1	0			75			10	99			0	120	30	3						0	0	0		3	2
2111	2	0				50056		1	85	76	1	84			195			10	99			0	120	30	3						0	0	0		3	2
2112	22	0				45050		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2113	22	0				45051		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2114	22	0				45052		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2115	22	0				45053		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2116	22	0				45054		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2117	2	0				50067		1	1	1	1	0			75			10	99			0	999	30	3						0	0	0		1	2
2118	2	0				50070		1	1	1	1	0			75			10	99			0	999	30	3						0	0	0		3	2
2119	22	0				45055		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2120	22	0				45056		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2121	22	0				45057		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2122	22	0				45058		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2123	22	0				45059		1	85	76	1	84			195			10	99			0	120	30	30						0	0	0		2	1
2124	2	0				50074		1	1	1	1	0			195			10	99			0	120	30	3						0	0	0		1	2
2125	2	0				50075		1	1	1	1	0			195			10	99			0	120	30	3						0	0	0		1	2
2126	2	0				51006		1	1	1	1	0			75			10	99			0	999	30	3						0	0	0		3	2
2150	20	0				35820		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1674:100	2	1
2151	20	0				35821		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1674:100	2	1
2152	20	0				35822		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1674:100	2	1
2153	20	0				35823		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1674:100	2	1
2154	20	0				35824		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1675:100	2	1
2155	20	0				35825		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1675:100	2	1
2156	20	0				35826		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1675:100	2	1
2157	20	0				35827		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1675:100	2	1
2158	20	0				35828		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1676:100	2	1
2159	20	0				35829		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1676:100	2	1
2160	20	0				35830		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1676:100	2	1
2161	20	0				35831		1	1	1	1	0			207			0	99			0	99999	30	30						0	0	0	1676:100	2	1
2169	27	0	1			50078		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2170	27	0	1			50080		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2171	27	0	1			50079		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2172	27	0	1			50081		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2173	27	0	1			50082		1	30		1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2174	27	0	1			50083		1	30		1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2175	27	0	1			50084		1	30		1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2176	27	0	1			50085		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2177	27	0	1			50086		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2178	27	0	1			50087		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2179	27	0	1			50088		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2180	27	0	1			50089		1	30	1	1	29			51			0	999			0	999	30	30	1					0	0	0		1	2
2181	8	0				51009		1	80	1	1	79			213			10	99			0	999	999	999						0	0	0		4	2
3001	2	0			1	30001	1	1	10	1	1	9			13			10	10			0	120	30	3	3	1				0	0	0		1	2
3004	2	0				40007		1	35	26	21	34			20			10	3			230003	999	30	30	3	1				0	0	0		1	1
3005	2	0				50020		1	15	1	1	14			29			5	100			0	60	30	3	1	3				0	0	0		1	2
3006	2	0				50007		1	15	6	1	14			29			5	100			0	60	30	3	1	3				0	0	0		1	2
3007	2	0				50011		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		1	2
3008	2	0				50012		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		1	2
3009	2	0				50013		1	10	1	1	9			29			5	100			0	60	30	3	1	3				0	0	0		1	2
3010	2	0				40021		2	35		1	34			29			10	99			0	999	30	3						0	0	0	1370:100	1	2
3011	17	0				35801		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1612:100	3	1
3012	17	0				35802		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1613:100	3	1
3013	17	0				35803		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1614:100	3	1
3014	17	0				35804		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1615:100	3	1
3015	17	0				35805		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1616:100	3	1
3016	17	0				35806		1	1	1	1	0			75			0	99			0	999	30	3						0	0	0	1617:100	3	1
3017	18	0				47001		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1632:100	3	1
3018	18	0				47002		1	1	1	1	0			201			10	99			0	99999	30	3						0	0	0	1622:100	3	1
3019	18	0				47003		1	1	1	1	0			202			10	99			0	99999	30	3						0	0	0	1624:100	3	1
3020	18	0				47004		1	1	1	1	0			200			10	99			0	99999	30	3						0	0	0	1620:100	3	1
3021	18	0				47005		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1621:100	3	1
3022	18	0				47006		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1623:100	3	1
3023	18	0				47007		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1625:100	3	1
3024	18	0				47008		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1626:100	3	1
3025	18	0				47009		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1639:100	3	1
3026	18	0				47010		1	1	1	1	0			195			10	99			0	99999	30	3						0	0	0	1640:100	3	1
3027	17	0				35807		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3028	17	0				35808		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3029	17	0				35809		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
3030	17	0				35810		1	1	1	1	0			75			0	99			0	999	30	30						0	0	0	1683:100	3	1
