对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]4类型	[触发条件]4参数1	[触发条件]4参数2	[触发条件]5类型	[触发条件]5参数1	[触发条件]5参数2	优先级	后续对话ID	初始台词ID	台词装饰ID	演员NpcID	专属父任务ID	额外加载标识ID	标识屏蔽NpcID	[完成执行]1类型	[完成执行]1参数1	[完成执行]1参数2
6156504	2	1																			1		615650401		1565						
6156505	2	1		1	39403	3															1		615650501		1565						
6158901	2	1																			3	6158902,6158903	615890101		1589						
6158902	2	1																			1	41740,41741,7093001	615890201		1589						
41740	2	1																			1		615890205		1589						
41741	2	1																			1		615890209		1589						
6158903	2	1																			1		615890301		1589						
6159101	2	1																			3	8159101,6159102,6159103	615910101		1591						
6159102	2	1																			1		615910201		1591						
6159103	2	1																			1		615910301		1591						
8159101	2	1		10	1404	1															2	8159102;8159103;8159104;8159105;8159106;8159107;8159108	815910101		1591						
8159102	2	1		39																	1		815910201		1591						
8159103	2	1		40																	1		815910301		1591						
8159104	2	1		40																	1		815910401		1591						
8159105	2	1		40																	1		815910501		1591						
8159106	2	1		40																	1		815910601		1591						
8159107	2	1		40																	1		815910701		1591						
8159108	2	1		40																	1		815910801		1591						
6159201	2	1																			3	6159202,6159203	615920101		1592						
6159202	2	1																			1		615920201		1592						
6159203	2	1																			1		615920301		1592						
6154901	2	1																			3	6154903,6154904	615490101		1549						
6154903	2	1																			1	41735,41736,6154905	615490301		1549						
41735	2	1																			1		615490304		1549						
41736	2	1																			1	7092501	615490309		1549						
6154905	2	1																			1		615490313		1549						
6154904	2	1																			1		615490401		1549						
6153301	2	1																			3	6153304,6153305,6153306	615330101		1533						
6153304	2	1																			1		615330401		1533						
6153305	2	1																			1		615330501		1533						
6153306	2	1																			1		615330601		1533						
6153701	2	1		21	1																3	2006101,2006104,2006105,2006109,2006110,2006113,8153701,6153710,6153702,6153703,6153704	615370101		1537						
6153702	2	1		21	1																1		615370201		1537						
6153703	2	1		21	1																1		615370301		1537						
6153704	2	1		21	1																1		615370401		1537						
6153705	2	1		21	0																3	2006101,2006104,2006105,2006109,2006110,2006113,8153705,6153710,6153706,6153707,6153709	615370501		1537						
6153706	2	1		21	0																1	7091901	615370601		1537						
6153707	2	1		21	0																1		615370701		1537						
6153709	2	1		21	0																1		615370901		1537						
6153710	2	1		21	1																1		615371001		1537						
6153711	2	1	1	1	1100519	3		21	1												4	2006101,2006104,2006105,2006109,2006110,2006113,8153701,6153710,6153712,6153703,6153704	615371101		1537						
6153712	2	1	1	1	1100519	3		21	1												1		615371201		1537						
6153713	2	1	1	1	1100519	3		21	0												4	2006101,2006104,2006105,2006109,2006110,2006113,8153705,6153710,6153714,6153707,6153709	615371301		1537						
6153714	2	1	1	1	1100519	3		21	0												1		615371401		1537						
8153701	2	1		10	1404	1															2	8153702;8153703;8153704;8153706;8153707;8153708;8153709;8153710;8153711	815370101		1537						
8153702	2	1		39																	1		815370201		1537						
8153703	2	1		40																	1		815370301		1537						
8153704	2	1		40																	1		815370401		1537						
8153705	2	1		10	1404	1															1		815370501		1537						
8153706	2	1		40																	1		815370601		1537						
8153707	2	1		40																	1		815370701		1537						
8153708	2	1		40																	1		815370801		1537						
8153709	2	1		40																	1		815370901		1537						
8153710	2	1		40																	1		815371001		1537						
8153711	2	1		40																	1		815371101		1537						
6156301	2	1																			3	6156303,6156304,7093701	615630101		1563						
6156302	2	1																			1		615630201		1563						
6156303	2	1	2	1	41802	3		1	41805	3											1		615630301		1563						
6156304	2	1																			1		615630401		1563						
6155901	2	1																			3	6155903,7093401,6155906,6155905	615590101		1559						
6155902	2	1		1	30904	3															4	6155904,7093401,6155906,6155905	615590201		1559						
6155903	2	1																			1		615590301		1559						
6155904	2	1																			1		615590401		1559						
6155905	2	1																			1		615590501		1559						
6155906	2	1																			1		615590601		1559						
6159501	2	1																			1		615950101		1595						
6159601	2	1																			1		615960101		1596						
6158101	2	1																			3	6158102,6158103,6158104	615810101		1581						
6158102	2	1																			1		615810201		1581						
6158103	2	1																			1	41742,41743,7093201	615810301		1581						
41742	2	1																			1		615810306		1581						
41743	2	1																			1		615810310		1581						
6158104	2	1																			1		615810401		1581						
6158301	2	1																			3	6158302,6158303,6158304	615830101		1583						
6158302	2	1																			1	7093301	615830201		1583						
6158303	2	1																			1		615830301		1583						
6158304	2	1																			1		615830401		1583						
6158501	2	1																			3	6158502,6158503,6158504	615850101		1585						
6158502	2	1																			1		615850201		1585						
6158503	2	1																			1		615850301		1585						
6158504	2	1																			1		615850401		1585						
6158701	2	1																			3	2003901,2003907,2003908,2003909,2003910,2003911,2003912,2003913,2003914,2003915,6158706,6158702,6158703,6158704,99603,99811	615870101		1587						
6158702	2	1																			1		615870201		1587						
6158703	2	1																			1	41739,7092901	615870301		1587						
41739	2	1																			1		615870305		1587						
6158704	2	1																			1		615870401		1587						
6158705	2	1		10	30	1															1		615870501		1587						
6158706	2	1		10	30	1															1		615870601		1587						
40150	2	1																					4015140101		1401						
40151	2	1		21	1																		4015140301		1403						
40152	2	1		21	0																		4015140401		1404						
40153	2	1		44	2001401	0															3	6140501,46413,41715,41716	4015140501		1405						
41715	2	1		44	2001401	0															1		4015140502		1405						
41716	2	1		44	2001401	0															1		4015140505		1405						
6140501	2	1	1	1	39403	3		44	2001401	0											1		614050101		1405						
6140502	2	1	1	33	24800	1	1	44	2001401	0											4	6140503,6140504,6140505	614050201		1405						
6140503	2	1		44	2001401	0															1		614050301		1405						
6140504	2	1		44	2001401	0															1		614050401		1405						
6140505	2	1		44	2001401	0															1		614050501		1405						
6009301	2	1																			5	6009302,6009303	4015140501		93						
6009302	2	1																			1		4015140502		93						
6009303	2	1																			1		4015140505		93						
40154	2	1		44	2001401	0															3		4015140801		1408						
6140801	2	1	1	33	24800	1	1	44	2001401	0											5	6140802,6140804,6140805	614080101		1408						
6140802	2	1		44	2001401	0															1	6140803	614080201		1408						
6140803	2	1		44	2001401	0															1		614080301		1408						
6140804	2	1		44	2001401	0															1		614080401		1408						
6140805	2	1		44	2001401	0															1		614080501		1408						
6140901	2	1		1	35901	2															4	6140902,46111,46110,40215,40216,40217	614090101		1409						
6140902	2	1		1	35901	2															1		614090201		1409						
40155	2	1		21	1																3	6140903,46111,46110,40215,40216,40217	4015140901		1409						
40215	2	1																			1	7090601	4015140902		1409						
40216	2	1																			1		4015140903		1409						
40217	2	1																			1		4015140904		1409						
40156	2	1		21	0																3	6141001,6141002,6141003	4015141001		1409						
6140903	2	1	1	1	35901	3		41	39403	1											1		614090301		1409						
6141001	2	1		1	39403	3															1		614100101		1409						
6141002	2	1																			1		4015141002		1409						
6141003	2	1																			1		4015141004		1409						
40157	2	1		21	1																3	46113,46105,40221,40223	4015141101		1411						
40221	2	1																			1		4015141102		1411						
40222	2	1																			1		4015141103		1411						
40223	2	1																			1		4015141104		1411						
40230	2	1	1	21	1			44	20013	1											4	40231,40232,40233	4015141118		1411						
40231	2	1																			1		4015141120		1411						
40232	2	1																			1		4015141126		1411						
40233	2	1																			1		4015141135		1411						
40158	2	1		21	0																3	6141101,40227,40229	4015141201		1412						
40227	2	1																			1		4015141202		1412						
40229	2	1																			1		4015141204		1412						
40234	2	1	1	21	0			44	20013	1											4	40235,40236	4015141216		1412						
40235	2	1																			1		4015141217		1412						
40236	2	1																			1		4015141222		1412						
6141101	2	1	1	1	35901	3		41	39403	1											1		614110101		1412						
40159	2	1		21	1																3	6141301,46114,46106,40224,40225,40226	4015141301		1413						
40224	2	1																			1		4015141302		1413						
40225	2	1																			1		4015141303		1413						
40226	2	1																			1		4015141304		1413						
40160	2	1		21	0																3		4015141401		1413						
6141301	2	1		1	39403	3															1		614130101		1413						
6146701	2	1																			3	6146704,6146702,6146703,7090501	4015146701		1467						
6146702	2	1																			1		4015146702		1467						
6146703	2	1																			1		4015146705		1467						
6146704	2	1	1	1	35901	3		41	39403	1											1		614670401		1467						
6141702	2	1		1	35901	2															4	46411,6141701,6141704,41712,6141703,41713,41714	614170201		1417						
6141703	2	1		1	35901	2															1		614170301		1417						
6141705	2	1	1	1	35901	3		41	39403	1											1		614170501		1417						
40162	2																				3	46411,7082106,6141701,41712,6141704,6141705,8141701,41713,41714	4015141701		1417						
6141701	2		1	10	37	1		27	0												1		614170101		1417						
6141704	2		1	10	37	1		27	1												1		614170401		1417						
41712	2			10	1003	1															1		4015141702		1417						
8141701	2			10	1404	1															2	8141702;8141703;8141704	814170101		1417						
41713	2																				1		4015141714		1417						
41714	2																				1		4015141705		1417						
8141702	2			39																	1		814170201		1417						
8141703	2			40																	1		814170301		1417						
8141704	2			40																	1		814170401		1417						
40163	2																				2	2051735,2051714,2051716,2051732,4112103,4114303,4114603,4114903,4115203,4115503,4115803,7081003,7081004,2000601,2000604,2002601,2002602,2002604,2001601,2001602,2006112,46417,1010005,41701,6141901,41702,41703	4015141901		1419						
41701	2	1		10	1005	1															1		4015141902		1419						
41702	2	1																			1	41717,41718,7090301	4015141916		1419						
41703	2	1																			1		4015141905		1419						
6141901	2	1	1	1	35901	3		41	39403	1											1		614190101		1419						
41717	2	1																			1		4015141903		1419						
41718	2	1																			1		4015141904		1419						
40164	2	1																			3	6142104,6142103,6142101,6142102	4015142101		1421						
6142101	2	1																			1	41723,41724	4015142103		1421						
41723	2	1																			1		4015142104		1421						
41724	2	1																			1	7091101	4015142105		1421						
6142102	2	1																			1		4015142106		1421						
6142103	2	1	1	1	35901	3		41	39403	1											1		614210301		1421						
6142104	2	1		1	39403	3															1		614210401		1421						
40165	2	1																			3	6142301,6142302,6142303,46406,41704,41705,41706	4015142351		1423						
41704	2	1		10	1004	1															1		4015142302		1423						
41705	2	1																			1		4015142313		1423						
41706	2	1																			1		4015142305		1423						
6142301	2	1		19	1																1		614230101		1423						
6142302	2	1		19	2																1		614230201		1423						
6142303	2	1		19	3																1		614230301		1423						
6142304	2	1		19	3																1		614230401		1423						
40166	2	1																			3	2074004,2074005,2074006,2074007,7081008,7081011,7081012,1010061,6142502,6142503,6142504,46410,41710,41711	4015142501		1425						
6142501	2	1																			1		614250101		1425						
41710	2	1																			1	41725,41726,41727	4015142519		1425						
41725	2	1																			1	7090401	4015142502		1425						
41726	2	1																			1		4015142503		1425						
41727	2	1																			1		4015142504		1425						
41711	2	1																			1		4015142505		1425						
6142502	2	1																			1		614250201		1425						
6142503	2	1	1	1	35901	3		41	39403	1											1		614250301		1425						
6142504	2	1		1	39403	3															1		614250401		1425						
40167	2	1																			3	6142701,6142702,6142703	4015142701		1427						
6142702	2	1																			1		4015142702		1427						
6142703	2	1																			1		4015142705		1427						
6142701	2	1	1	1	35901	3		41	39403	1											1		614270101		1427						
40168	2	1		21	1																3	6142903,6142904,6142901,6142902	4015142901		1429						
6142901	2	1																			1	41719,41720,7090701	4015142902		1429						
41719	2	1																			1		4015142903		1429,1430						
41720	2	1																			1		4015142904		1429,1430						
6142902	2	1																			1		4015142905		1429						
6142903	2	1	1	1	35901	3		41	39403	1											1		614290301		1429						
6142904	2	1		1	39403	3															1		614290401		1429						
40169	2	1		21	0																3	6143003,6143004,6143001,6143002	4015143001		1430						
6143001	2	1																			1	41719,41720,7090701	4015143002		1430						
6143002	2	1																			1		4015143005		1430						
6143003	2	1	1	1	35901	3		41	39403	1											1		614300301		1430						
6143004	2	1		1	39403	3															1		614300401		1430						
40170	2	1																			3	6143106,6143107,6143108	4015143101		1431						
6143107	2	1																			1	41721,41722	4015143102		1431						
41721	2	1																			1		4015143103		1431						
41722	2	1																			1	7091001	4015143104		1431						
6143108	2	1																			1		4015143105		1431						
6143101	2	1		1	48713	3															4	6143106,6143102,6143105	614310101		1431						
6143102	2	1																			1	6143103,6143104	614310201		1431						
6143103	2	1																			1		614310301		1431						
6143104	2	1																			1		614310401		1431						
6143105	2	1																			1		614310501		1431						
6143106	2	1		1	39403	3															1		614310601		1431						
6143302	2	1		1	35901	2															5		614330201		1433						
6143303	2	1		1	35901	2															5		614330301		1433						
6143304	2	1		1	35901	2															5		614330401		1433						
6143305	2	1		1	46618	3															4	4008878,6143310,6143309,6143306,6143307,6143308	614330501		1433						
6143306	2	1		1	46618	3															1		614330601		1433						
6143307	2	1		1	46618	3															1		614330701		1433						
6143308	2	1		1	46618	3															1		614330801		1433						
40171	2	1																			3	4008878,6143310,6143309,6143311,6143312,6143313	4015143301		1433						
6143309	2	1	1	1	35901	3		41	39403	1											1		614330901		1433						
6143310	2	1		1	39403	3															1		614331001		1433						
6143311	2	1																			1		4015143302		1433						
6143312	2	1																			1		4015143303		1433						
6143313	2	1																			1		4015143304		1433						
40172	2																				1		4015143501		1435						
40192	2																				2	7224301,7224302,2051702,2051710,46407,41707,6143505,6143501,41708,41709	4015143551		1435						
41707	2	1	1	10	1002	1		1	35901	3											1		4015143502		1435						
41708	2	1																			1	6143502,6143503,6143504	4015143516		1435						
41709	2	1																			1		4015143505		1435						
6143501	2		2	41	35901	1		1	35901	2											1		614350101		1435						
6143502	2			1	35901	3															1		4015143503		1435						
6143503	2																				1		4015143504		1435						
6143504	2																				1		4015143518		1435						
40189	2	1																			3	6146501,6146503,6146502,40190,40191,40193	4015146501		1465						
40190		1																			1		4019001		1465						
40191		1																			1		4019101		1465						
40193		1																			1		4019301		1465						
6146501	2	1																			1		614650101		1465						
6146502	2	1	1	1	35901	3		41	39403	1											1		614650201		1465						
6146503	2	1		1	39403	3															1		614650301		1465						
40198	2	1		1	35901	2															3		4015146961		1469						
40206	2	1																			3	40209,40205,40210	4015148003		1479						
40207	2	1																			1	40211	4015148005		1479						
40208	2	1																			1	40212	4015148010		1479						
40209	2	1																			1	40213	4015148015		1479						
40210	2	1																			1	40214	4015148020		1479						
40211	2	1																			1		4015148006		1479						
40212	2	1																			1	7092801	4015148011		1479						
40213	2	1																			1	40207,40208	4015148016		1479						
40214	2	1																			1		4015148021		1479						
40205	2	1																			1		4015148022		1479						
2000201	2	1																			3		4012000201		20002						
40173	2	1																			2	46418,41603,41605,41604	4015146901		1469						
41601	2	1																			1		4015146903		1469						
41602	2	1																			1		4015146930		1469						
41603	2	1																			1		4015146920		1469						
41604	2	1																			1		4015146906		1469						
41605	2	1																			1		4015146972		1469						
6145301	2	1																			3	6145305,6145302,6145303,6145304	4015145301		1453						
6145302	2	1																			1		4015145302		1453						
6145303	2	1																			1		4015145304		1453						
6145304	2	1																			1		4015145305		1453						
6145305	2	1	1	1	35901	3		41	39403	1											1		614530501		1453						
6145101	2	1																			3	6145104,6145102,6145103	4015145101		1451						
6145102	2	1																			1		4015145102		1451						
6145103	2	1																			1		4015145104		1451						
6145104	2	1	1	1	35901	3		41	39403	1											1		614510401		1451						
6143704	2	1		1	35901	2															4		614370401		1437						
6143705	2	1		1	35901	2															4		614370501		1437						
6143706	2	1		1	35901	2															4		614370601		1437						
6143701	2	1																			3	6143707,6143708,46419,6143702,6143703	614370101		1437						
6143702	2	1																			1		614370201		1437						
6143703	2	1																			1		614370301		1437						
6143707	2	1	1	1	35901	3		41	39403	1											1		614370701		1437						
6143708	2	1		1	39403	3															1		614370801		1437						
6143901	2	1																			3	6143905,6143908,6143906,6143907	4015143901		1439						
6143902	2	1		1	35901	2															4		614390201		1439						
6143903	2	1		1	35901	2															4		614390301		1439						
6143904	2	1		1	35901	2															4		614390401		1439						
6143905	2	1		1	39403	3															1		614390501		1439						
6143906	2	1																			1		4015143902		1439						
6143907	2	1																			1		4015143905		1439						
6143908	2	1		1	1012009	3															1	6143909	614390801		1439						
6143909	2	1		1	1012009	3															1		614390901		1439						
6144102	2	1		1	35901	2															4		614410201		1441						
6144103	2	1		1	35901	2															4		614410301		1441						
6144104	2	1		1	35901	2															4		614410401		1441						
6144101	2	1																			3		4015144101		1441						
6160301	2	1		21	1																3	6160303,6160304,6160305	616030101		1603						
6160302	2	1		21	0																3	6160303,6160306,6160307	616030201		1603						
6160303	2	1	1	1	35901	3		41	39403	1											1		616030301		1603						
6160304	2	1																			1		616030102		1603						
6160305	2	1																			1		616030113		1603						
6160306	2	1																			1		616030202		1603						
6160307	2	1																			1		616030215		1603						
6147701	2	1																			3	6147705,6147702,6147703,6147704	4015147701		1477						
6147702	2	1																			1		4015147702		1477						
6147703	2	1																			1		4015147703		1477						
6147704	2	1																			1		4015147704		1477						
6147705	2	1		1	39403	3															1		614770501		1477						
6147501	2	1																			3	6147504,6147502,6147503	614750101		1475						
6147502	2	1																			1		614750201		1475						
6147503	2	1																			1		614750301		1475						
6147504	2	1	1	1	35901	3		41	39403	1											1		614750401		1475						
6145501	2	1																			3	46414,6145502,6145503	614550101		1455						
6145502	2	1																			1		614550201		1455						
6145503	2	1																			1		614550301		1455						
6147101	2	1																			3	6147105,2004207,6147102,6147103,6147104	614710101		1471						
6147102	2	1																			1		614710201		1471						
6147103	2	1																			1	7090801	614710301		1471						
6147104	2	1																			1		614710401		1471						
6147105	2	1		1	39403	3															1		614710501		1471						
6147301	2	1																			3	6147302,6147303,6147304	614730101		1473						
6147302	2	1																			1		614730201		1473						
6147303	2	1																			1		614730301		1473						
6147304	2	1																			1		614730401		1473						
6146101	2	1																			3	6146105,6146104,46415,6146102,6146103	614610101		1461						
6146102	2	1																			1		614610201		1461						
6146103	2	1																			1		614610301		1461						
6146104	2	1	1	1	35901	3		41	39403	1											1		614610401		1461						
6146105	2	1		1	39403	3															1		614610501		1461						
6146301	2	1																			3	6146305,46416,6146302,6146303,6146304	614630101		1463						
6146302	2	1																			1		614630201		1463						
6146303	2	1																			1		614630301		1463						
6146304	2	1																			1		614630401		1463						
6146305	2	1		1	39403	3															1		614630501		1463						
6151201	2	1																			3	1050205,2211101,2010136,2010137,2010138,2010139,2010140,2010141,2010142,6151202,6151203	615120101		1512						
6151202	2	1																			1		615120201		1512						
6151203	2	1																			1		615120301		1512						
6144504	2	1		1	35901	2															4		614450401		1445						
6144505	2	1		1	35901	2															4		614450501		1445						
6144506	2	1		1	35901	2															4		614450601		1445						
6144501	2	1																			3	6144502,6144503	614450101		1445						
6144502	2	1																			1		614450201		1445						
6144503	2	1																			1		614450301		1445						
6144704	2	1		1	35901	2															4		614470401		1447						
6144705	2	1		1	35901	2															4		614470501		1447						
6144706	2	1		1	35901	2															4		614470601		1447						
6144701	2	1																			3	6144702,6144703	614470101		1447						
6144702	2	1																			1		614470201		1447						
6144703	2	1																			1		614470301		1447						
6144904	2	1		1	35901	2															4		614490401		1449						
6144905	2	1		1	35901	2															4		614490501		1449						
6144906	2	1		1	35901	2															4		614490601		1449						
6144901	2	1																			3	6144902,6144903	614490101		1449						
6144902	2	1																			1		614490201		1449						
6144903	2	1																			1		614490301		1449						
6145704	2	1		1	35901	2															4		614570401		1457						
6145705	2	1		1	35901	2															4		614570501		1457						
6145706	2	1		1	35901	2															4		614570601		1457						
6145701	2	1																			3	6145702,6145703	614570101		1457						
6145702	2	1																			1		614570201		1457						
6145703	2	1																			1		614570301		1457						
6145904	2	1		1	35901	2															4		614590401		1459						
6145905	2	1		1	35901	2															4		614590501		1459						
6145906	2	1		1	35901	2															4		614590601		1459						
6145901	2	1																			3	6145902,6145903	614590101		1459						
6145902	2	1																			1		614590201		1459						
6145903	2	1																			1		614590301		1459						
6159701	2	1																			3	6159702,6159703,6159704	615970101		1597						
6159702	2	1																			1	7093501	615970201		1597						
6159703	2	1																			1		615970301		1597						
6159704	2	1																			1		615970401		1597						
6159801	2	1																			3	6159802,6159803,6159804,7093601	615980101		1598						
6159802	2	1																			1		615980201		1598						
6159803	2	1																			1		615980301		1598						
6159804	2	1																			1		615980401		1598						
6159901	2	1		46	2002901	2																	615990101		1599						
6160001	2	1		46	2002901	2																	615990101		1600						
6160101	2	1																			3	6160105,6160102,6160103,6160104	616010101		1601						
6160102	2	1																			1		616010201		1601						
6160103	2	1																			1		616010301		1601						
6160104	2	1																			1		616010401		1601						
6160105	2	1	1	1	35901	3		41	39403	1											1		616010501		1601						
6160201	2	1																			3	6160205,6160202,6160203,6160204	616020101		1602						
6160202	2	1																			1		616020201		1602						
6160203	2	1																			1		616020301		1602						
6160204	2	1																			1		616020401		1602						
6160205	2	1		1	39403	3															1		616020501		1602						
6144305	2	1		1	35901	2															4		614430501		1443						
6144306	2	1		1	35901	2															4		614430601		1443						
6144307	2	1		1	35901	2															4		614430701		1443						
6144301	2	1																			3	6144302,6144303,6144304	614430101		1443						
6144302	2	1																			1		614430201		1443						
6144303	2	1																			1		614430301		1443						
6144304	2	1																			1		614430401		1443						
6160401	2	1																			3	6160405,6160402,6160403,6160404	616040101		1604						
6160402	2	1																			1	41728,7091201	616040201		1604						
41728	2	1																			1		616040204		1604						
6160403	2	1																			1		616040301		1604						
6160404	2	1																			1		616040401		1604						
6160405	2	1	1	1	35901	3		41	39403	1											1		616040501		1604						
6160501	2	1																			3	4141434,6160506,6160505,6160502,6160503,6160504	616050101		1605						
6160502	2	1																			1		616050201		1605						
6160503	2	1																			1	7091301	616050301		1605						
6160504	2	1																			1		616050401		1605						
6160505	2	1	1	1	35901	3		41	39403	1											1		616050501		1605						
6160506	2	1		1	39403	3															1		616050601		1605						
6160601	2	1																			3	6160610,6160609,6160602,6160605	616060101		1606						
6160602	2	1																			1	6160603,6160604	616060201		1606						
6160603	2	1																			1		616060301		1606						
6160604	2	1																			1		616060401		1606						
6160605	2	1																			1		616060501		1606						
6160606	2	1		1	1050211	3															1		616060601		1606						
6160607	2	1		1	1050211	3															4	6160610,6160608,6160605	616060701		1606						
6160608	2	1		1	1050211	3															1	6160603,6160606	616060801		1606						
6160609	2	1		1	39403	3															1		616060901		1606						
