SetBundleListID	LinkType	GroupList	提示Group	提示半径	领奖方式	掉落组ID	动态等级ID	默认Activate	active后自动追踪	默认显示mark	是否大地图显示黄圈	始终显示黄圈
20150126	0	133302260	133302260					1		1		
20150127	0	133302183	133302183					1		1		
20150128	0	133302567	133302567	100				0		0		
20150129	0	133315233	133315233	100				0		0		
20150130	0	133302571	133302571	100				0		0		
20150131	0	133302572	133302572	100				0		0		
20150132	0	133302574	133302574	50				0		0		
20150133	0	133302576	133302576	50				0		0		
20150134	0	133302577	133302577	50				0		0		
20150135	0	133302581	133302581	100				0		0		
20150136	0	133302580	133302580	100				0		0		
20150137	0	133302579	133302579	100				0		0		
20150138	0	133302578	133302578	100				0		0		
20150139	0	133302568	133302568	100				0		0		
50910101	0	133315072	133315072	180				1		0	1	
50910102	0	133301019	133301019	150				1		0	1	
50910103	0	133304053	133304053	170				1		0	1	
50910104	0	133304231	133304231	170				1		0	1	
50910105	0	133302232	133302232	160				1		0	1	
50910106	0	133303053	133303053	180				1		0	1	
20160101	0	133002075	133002075	80				1		0		
20160102	0	133002100	133002100	0				0		1		
20160103	0	133002081	133002081	60				1		0		1
20160104	0	133002082	133002082	60				0		0		1
20160105	0	133002099	133002099	60				0		0		1
20160106	0	133002068	133002068	60				1		0		
20160107	0	133003050	133003050	50			27	1		1		
20160108	0	133003054,133003088	133003054	50			27	1		1		
20160109	0	133003057,133003089	133003057	50			27	1		1		
20160110	0	133003082,133003091	133003082	50			27	1		1		
20160111	0	133003085,133003093	133003085	50			27	1		1		
20160112	0	133001184	133001184	50			27	1		1		
20160113	0	133001185,133001187	133001187	50			27	1		1		
20160114	0	133001188,133001192	133001192	50			27	1		1		
20160115	0	133001218,133001195	133001195	50			27	1		1		
20160116	0	133001219,133001196	133001196	50			27	1		1		
20160117	0	133001189	133001189	50			27	1		1		
20160118	0	133001179,133001190	133001190	50			27	1		1		
20160119	0	133001180,133001191	133001191	50			27	1		1		
20160120	0	133001181,133001178	133001178	50			27	1		1		
20160121	0	133001182,133001220	133001220	50			27	1		1		
50960101	0	133304447	133304447	160				1		1		
50960102	0	133309546	133309546	160				1		1		
50960103	0	133303490,133303637	133303490	160				1		1		
50960104	0	133310321,133310403,133310404,133310379	133310321	160				1		1		
50960105	0	133310348	133310348	160				1		1		
50960106	0	133302272	133302272	140				1		1		
51080101	0	133302697	133302697	20				0		1		
51080102	0	133104291	133104291	20				0		1		
51080103	0	133304564	133304564	20				0		1		
51080104	0	133220418	133220418	20				0		1		
51080105	0	133108183	133108183	20				0		1		
51080106	0	133315311	133315311	20				0		1		
51080107	0	133302698	133302698	20				0		1		
51080108	0	133007073	133007073	20				0		1		
51080109	0	133310019	133310019	20				0		1		
51080110	0	133220483	133220483	20				0		1		
51080111	0	133003101	133003101	20				0		1		
51080112	0	133303644	133303644	20				0		1		
51080113	0	133310083	133310083	20				0		1		
51080114	0	133104278	133104278	20				0		1		
20170101	0	133302690	133302690	75				1		1		
20170102	0	133304506	133304506	60				1		1		
20170103	0	133315305	133315305	75				1		1		
20170104	0	133303635	133303635	75				1		1		
20170105	0	133301512	133301512	70				1		1		
51120101	0	133004079	133004079	0				1		1		
51120102	0	133113010	133113010	0				1		1		
51120103	0	133304579	133304579	0				1		1		
51120104	0	133303668	133303668	0				1		1		
51120105	0	133310376	133310376	0				1		1		
