排期id	开始时间	结束时间	活动id	允许快速开启	快速开启前置父任务ID组	[条件]组合	[条件]1类型	[条件]1参数	[条件]2类型	[条件]2参数	[条件]3类型	[条件]3参数	[条件]4类型	[条件]4参数	活动归属版本
5002033	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							2.8.0
5002034	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.0.0
5002035	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.0.0
5002036	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.1.0
5002037	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.1.0
5002038	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.2.0
5002039	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.2.0
5002040	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.3.0
5002041	2020-12-07 04:00:00	2020-12-21 04:00:00	5002			1	2	2010001							3.3.0
5003001	2020-05-18 04:00:00	2020-07-18 04:00:00	5003			1	1	11							1.0.0
2001001	2020-06-24 04:00:00	2020-08-18 04:00:00	2001				1	19							1.1.0
5004001	2020-06-24 04:00:00	2020-08-18 04:00:00	5004												1.0.0
5005001	2020-06-02 04:00:00	2020-07-09 04:00:00	5005				1	15	2	38406					1.0.0
5001002	2020-06-02 04:00:00	2020-07-09 04:00:00	5001				1	19	2	38406					0.9.5
5006001	2020-09-01 04:00:00	2020-09-08 04:00:00	5006												1.1.0
5007001	2020-08-05 04:00:00	2021-08-12 04:00:00	5007				1	19							1.1.0
5001003	2020-06-02 04:00:00	2020-07-09 04:00:00	5001				1	19	2	38406					1.0.0
3001001	2020-06-02 04:00:00	2021-07-09 04:00:00	3001				1	19							1.2.0
5008001	2020-12-14 04:00:00	2020-12-21 04:00:00	5008												1.1.0
5009001	2020-11-30 04:00:00	2020-12-07 04:00:00	5009												1.1.0
5010001	2020-11-30 04:00:00	2020-12-07 04:00:00	5010												1.1.0
5011001	2020-08-05 04:00:00	2021-08-12 04:00:00	5011				1	19	2	35001					1.2.0
5012001	2021-01-06 04:00:00	2021-01-13 04:00:00	5012			1	1	11							1.2.0
5012002	2021-01-06 04:00:00	2021-01-13 04:00:00	5012			1	1	11							1.4.0
5012003	2021-01-06 04:00:00	2021-01-13 04:00:00	5012			1	1	11							2.3.0
5012004	2021-01-06 04:00:00	2021-01-13 04:00:00	5012			1	1	11							2.6.0
5012005	2021-01-06 04:00:00	2021-01-13 04:00:00	5012			1	1	11							3.2.0
5014001	2020-08-05 04:00:00	2021-08-12 04:00:00	5014				1	19							1.2.0
5015001	2020-08-05 04:00:00	2021-08-12 04:00:00	5015												1.2.0
5016001	2020-08-05 04:00:00	2021-08-12 04:00:00	5016				1	19							1.3.0
5017001	2020-08-05 04:00:00	2021-08-12 04:00:00	5017				1	19							1.3.0
2002001	2020-08-05 04:00:00	2021-08-12 04:00:00	2002				1	22							1.3.0
6002001	2020-11-30 04:00:00	2020-12-21 04:00:00	6002												1.3.0
6003001	2020-11-30 04:00:00	2020-12-21 04:00:00	6003				1	4							1.4.0
5018001	2021-02-23 04:00:00	2021-03-02 04:00:00	5018												1.3.0
5019001	2021-02-23 04:00:00	2021-03-02 04:00:00	5019				1	19							1.4.0
2003001	2020-12-23 04:00:00	2121-03-02 04:00:00	2003				1	19							1.4.0
5020001	2020-12-23 04:00:00	2121-03-02 04:00:00	5020				1	19							1.4.0
5021001	2020-12-23 04:00:00	2121-03-02 04:00:00	5021				1	25							1.4.0
2004001	2021-01-01 04:00:00	2121-08-12 04:00:00	2004				1	19							1.5.0
5022001	2121-01-01 04:00:00	2121-04-13 04:00:00	5022				1	19							1.5.0
5023001	2121-01-01 04:00:00	2121-04-13 04:00:00	5023				1	19							1.5.0
5024001	2121-01-01 04:00:00	2121-04-13 04:00:00	5024				1	19							1.5.0
5025001	2121-01-01 04:00:00	2121-04-13 04:00:00	5025												1.5.0
5026001	2121-01-01 04:00:00	2121-04-13 04:00:00	5026				2	2003004							1.5.0
5027001	2121-01-01 04:00:00	2121-04-13 04:00:00	5027												1.5.0
2005001	2121-01-01 04:00:00	2121-04-13 04:00:00	2005				1	20							1.6.0
5028001	2121-01-01 04:00:00	2121-04-13 04:00:00	5028				1	25							1.5.0
5029001	2121-01-01 04:00:00	2121-04-13 04:00:00	5029												1.5.0
5030001	2121-01-01 04:00:00	2121-04-13 04:00:00	5030				1	20							1.6.0
5031001	2121-01-01 04:00:00	2121-04-13 04:00:00	5031				1	19							1.6.0
5032001	2121-01-01 04:00:00	2121-04-13 04:00:00	5032				1	20							1.6.0
5033001	2121-01-01 04:00:00	2121-08-12 04:00:00	5033				1	20							1.6.0
6005001	2121-01-01 04:00:00	2121-08-12 04:00:00	6005				1	29	2	800311					1.6.0
6006001	2121-01-01 04:00:00	2121-08-12 04:00:00	6006				1	29							2.0.0
5034001	2121-01-01 04:00:00	2121-08-12 04:00:00	5034				1	29							2.0.0
5035001	2020-08-05 04:00:00	2021-08-12 04:00:00	5035				1	29							2.0.0
2006001	2121-01-01 04:00:00	2121-04-13 04:00:00	2006				1	29							2.0.0
5036001	2121-01-01 04:00:00	2121-04-13 04:00:00	5036				1	29							2.0.0
5037001	2121-01-01 04:00:00	2121-04-13 04:00:00	5037				1	29							2.0.0
5038001	2121-01-01 04:00:00	2121-04-13 04:00:00	5038												2.0.0
5039001	2121-01-01 04:00:00	2121-04-13 04:00:00	5039												2.0.0
5040001	2121-01-01 04:00:00	2121-10-20 04:00:00	5040				1	29							2.1.0
5041001	2121-01-01 04:00:00	2121-10-20 04:00:00	5041				1	29							2.1.0
2007001	2121-01-01 04:00:00	2121-10-20 04:00:00	2007				1	27							2.1.0
5042001	2121-01-01 04:00:00	2121-04-13 04:00:00	5042				1	29							2.1.0
5043001	2121-01-01 04:00:00	2121-04-13 04:00:00	5043				1	29							2.1.0
5044001	2121-01-01 04:00:00	2121-04-13 04:00:00	5044				1	29							2.1.0
5045001	2121-01-01 04:00:00	2121-04-13 04:00:00	5045												2.1.0
5046001	2121-01-01 04:00:00	2121-04-13 04:00:00	5046												2.1.0
5047001	2121-01-01 04:00:00	2121-04-13 04:00:00	5047				1	29							2.2.0
5048001	2020-12-23 04:00:00	2121-03-02 04:00:00	5048				1	25							2.2.0
2008001	2121-01-01 04:00:00	2121-04-13 04:00:00	2008				1	29							2.2.0
5049001	2020-12-23 04:00:00	2121-03-02 04:00:00	5049				1	29							2.2.0
5050001	2121-01-01 04:00:00	2121-10-20 04:00:00	5050				1	29							2.2.0
2009001	2121-01-01 04:00:00	2121-10-20 04:00:00	2009				1	19							2.3.0
5051001	2121-01-01 04:00:00	2121-10-20 04:00:00	5051				1	29							2.3.0
5052001	2121-01-01 04:00:00	2121-10-20 04:00:00	5052												2.2.0
5053001	2021-01-01 04:00:00	2121-10-20 04:00:00	5053				1	19							2.3.0
5054001	2021-01-01 04:00:00	2121-04-13 04:00:00	5054				1	19							2.3.0
2010001	2021-01-01 04:00:00	2121-04-13 04:00:00	2010				1	27							2.4.0
5023002	2121-01-01 04:00:00	2121-04-13 04:00:00	5023				1	19							2.4.0
5055001	2021-01-01 04:00:00	2121-10-20 04:00:00	5055				1	29							2.4.0
5056001	2121-01-01 04:00:00	2121-04-13 04:00:00	5056				1	25							2.3.0
5057001	2121-01-01 04:00:00	2121-04-13 04:00:00	5057				1	25							2.4.0
5058001	2021-01-01 04:00:00	2121-10-20 04:00:00	5058				1	29							2.4.0
5059001	2121-01-01 04:00:00	2121-04-13 04:00:00	5059												2.3.0
5060001	2121-01-01 04:00:00	2121-04-13 04:00:00	5060				1	29							2.3.0
5061001	2121-01-01 04:00:00	2121-04-13 04:00:00	5061				1	29							2.4.0
2011001	2021-01-01 04:00:00	2121-07-13 04:00:00	2011				1	29							2.5.0
5040002	2121-01-01 04:00:00	2121-10-20 04:00:00	5040				1	29							2.5.0
5062001	2021-01-01 04:00:00	2121-10-20 04:00:00	5062				1	27							2.5.0
5063001	2121-01-01 04:00:00	2121-04-13 04:00:00	5063				1	27							2.4.0
5064001	2121-01-01 04:00:00	2121-04-13 04:00:00	5064				1	29							2.4.0
5065001	2121-01-01 04:00:00	2121-04-13 04:00:00	5065				1	27							2.5.0
5066001	2121-01-01 04:00:00	2121-04-13 04:00:00	5066				1	19							2.6.0
5067001	2121-01-01 04:00:00	2121-04-13 04:00:00	5067				1	27							2.6.0
2012001	2121-01-01 04:00:00	2121-04-13 04:00:00	2012	1	12035,12042,12024		1	29							2.6.0
5068001	2121-01-01 04:00:00	2121-04-13 04:00:00	5068				1	29							2.6.0
5069001	2121-01-01 04:00:00	2121-04-13 04:00:00	5069												2.5.0
5070001	2121-01-01 04:00:00	2121-04-13 04:00:00	5070												2.5.0
5071001	2121-01-01 04:00:00	2121-04-13 04:00:00	5071				1	27							2.6.0
5072001	2121-01-01 04:00:00	2121-10-20 04:00:00	5072				1	29							2.7.0
5073001	2121-01-01 04:00:00	2121-04-13 04:00:00	5073				1	25							2.7.0
5074001	2121-01-01 04:00:00	2121-04-13 04:00:00	5074				1	25							2.8.0
5075001	2121-01-01 04:00:00	2121-04-13 04:00:00	5075				1	27							2.6.0
5076001	2121-01-01 04:00:00	2121-10-20 04:00:00	5076				1	29							2.5.0
5077001	2121-01-01 04:00:00	2121-04-13 04:00:00	5077				1	29							2.6.0
5078001	2121-01-01 04:00:00	2121-04-13 04:00:00	5078												2.6.0
5079001	2121-01-01 04:00:00	2121-04-13 04:00:00	5079				1	27							2.7.0
5080001	2121-01-01 04:00:00	2121-04-13 04:00:00	5080				1	29							2.7.0
2013001	2121-01-01 04:00:00	2121-04-13 04:00:00	2013	1	12042,12026,11008		1	27							2.7.0
5081001	2121-01-01 04:00:00	2121-04-13 04:00:00	5081												2.7.0
2014001	2121-01-01 04:00:00	2121-04-13 04:00:00	2014	1	10502		1	31							2.8.0
5082001	2121-01-01 04:00:00	2121-04-13 04:00:00	5082				1	17							2.8.0
5083001	2121-01-01 04:00:00	2121-04-13 04:00:00	5083				1	31							2.8.0
5084001	2121-01-01 04:00:00	2121-04-13 04:00:00	5084				1	31							2.8.0
5085001	2121-01-01 04:00:00	2121-04-13 04:00:00	5085				1	24							2.8.0
5086001	2121-01-01 04:00:00	2121-04-13 04:00:00	5086				1	19							3.0.0
5087001	2021-01-01 04:00:00	2121-04-13 04:00:00	5087				1	19							3.0.0
2015001	2121-01-01 04:00:00	2121-10-20 04:00:00	2015	1	3004		1	19							3.0.0
5088001	2121-01-01 04:00:00	2121-04-13 04:00:00	5088												2.8.0
5089001	2121-01-01 04:00:00	2121-04-13 04:00:00	5089				1	19							3.0.0
5090001	2121-01-01 04:00:00	2121-04-13 04:00:00	5090				1	19							3.0.0
5091001	2121-01-01 04:00:00	2121-04-13 04:00:00	5091				1	19							3.0.0
5092001	2121-01-01 04:00:00	2121-04-13 04:00:00	5092												3.0.0
5093001	2121-01-01 04:00:00	2121-04-13 04:00:00	5093				1	19							3.0.0
2016001	2121-01-01 04:00:00	2121-10-20 04:00:00	2016				1	20							3.1.0
5094001	2121-01-01 04:00:00	2121-10-20 04:00:00	5094				1	29							3.1.0
5095001	2121-01-01 04:00:00	2121-10-20 04:00:00	5095				1	19							3.1.0
5096001	2121-01-01 04:00:00	2121-10-20 04:00:00	5096	1	3006		1	29							3.1.0
5097001	2121-01-01 04:00:00	2121-04-13 04:00:00	5097				1	25							3.5.0
5098001	2121-01-01 04:00:00	2121-04-13 04:00:00	5098				1	50							3.2.0
2017001	2121-01-01 04:00:00	2121-04-13 04:00:00	2017	1	12031,3026		1	29							3.2.0
5099001	2021-01-01 04:00:00	2121-04-13 04:00:00	5099				1	19							3.2.0
5100001	2121-01-01 04:00:00	2121-10-20 04:00:00	5100												3.1.0
5101001	2121-01-01 04:00:00	2121-10-20 04:00:00	5101												3.1.0
5102001	2121-01-01 04:00:00	2121-10-20 04:00:00	5102				1	19							3.1.0
5103001	2121-01-01 04:00:00	2121-10-20 04:00:00	5103				1	19							3.1.0
5104001	2121-01-01 04:00:00	2121-10-20 04:00:00	5104				1	19							3.1.0
5105001	2121-01-01 04:00:00	2121-10-20 04:00:00	5105				1	34							3.1.0
5106001	2121-01-01 04:00:00	2121-10-20 04:00:00	5106				1	19							3.2.0
5107001	2121-01-01 04:00:00	2121-10-20 04:00:00	5107				1	19							3.2.0
5108001	2121-01-01 04:00:00	2121-04-13 04:00:00	5108	1	12013,11012		1	29							3.2.0
5109001	2121-01-01 04:00:00	2121-10-20 04:00:00	5109				1	34							3.2.0
5110001	2121-01-01 04:00:00	2121-10-20 04:00:00	5110				1	19							3.3.0
5111001	2121-01-01 04:00:00	2121-04-13 04:00:00	5111				1	19							3.3.0
5112001	2121-01-01 04:00:00	2121-04-13 04:00:00	5112				1	19							3.3.0
5113001	2121-01-01 04:00:00	2121-10-20 04:00:00	5113												3.2.0
5114001	2021-01-01 04:00:00	2121-04-13 04:00:00	5114				1	19							3.3.0
2018001	2021-01-01 04:00:00	2121-04-13 04:00:00	2018	1	12026		1	29							3.3.0
5115001	2021-01-01 04:00:00	2121-04-13 04:00:00	5115				1	39							3.3.0
5116001	2021-01-01 04:00:00	2121-04-13 04:00:00	5116				1	19							3.4.0
2019001	2021-01-01 04:00:00	2121-04-13 04:00:00	2019	1	11015,11026		1	29							3.4.0
5117001	2021-01-01 04:00:00	2121-04-13 04:00:00	5117	1	12042		1	29							3.4.0
5118001	2021-01-01 04:00:00	2121-04-13 04:00:00	5118	1	1031		1	29							3.4.0
