GameID	groupID	[关卡挑战]1challengeID	[关卡挑战]1rewardId	[关卡挑战]2challengeID	[关卡挑战]2rewardId	[关卡挑战]3challengeID	[关卡挑战]3rewardId	条件1类型	条件1参数1	条件1参数2	条件2类型	条件2参数1	条件2参数2	牌桌	是否不分包下载
2135		1	4230115		0		0								
2141		1	4230116		0		0								
2142		1	4230117		0		0								
2143		1	4230118		0		0								
2144		1	4230119		0		0								
2145		1	4230120		0		0								
2151		1	4230121		0		0								
2152		1	4230122		0		0								
2153		1	4230123		0		0								
2154		1	4230124		0		0								
2155		1	4230125		0		0								
2171		1	4230131		0		0								
2172		1	4230132		0		0								
2173		1	4230133		0		0								
2174		1	4230134		0		0								
2175		1	4230135		0		0								
2181		1	4230136		0		0								
2182		1	4230137		0		0								
2183		1	4230138		0		0								
2184		1	4230139		0		0								
2185		1	4230140		0		0								
2191		1	4230141		0		0								
2192		1	4230142		0		0								
2193		1	4230143		0		0								
2194		1	4230144		0		0								
2195		1	4230145		0		0								
2201		1	4230146		0		0								
2202		1	4230147		0		0								
2203		1	4230148		0		0								
2204		1	4230149		0		0								
2205		1	4230150		0		0								
2211		1	4230151		0		0								
2212		1	4230152		0		0								
2213		1	4230153		0		0								
2214		1	4230154		0		0								
2215		1	4230155		0		0								
1011		1	4230001		0		0								
1012		1	4230002		0		0								
1013		1	4230003		0		0								
1014		1	4230004		0		0								
1015		1	4230005		0		0								
1021		1	4230006		0		0								
1022		1	4230007		0		0								
1023		1	4230008		0		0								
1024		1	4230009		0		0								
1025		1	4230010		0		0								
1031		1	4230011		0		0								
1032		1	4230012		0		0								
1033		1	4230013		0		0								
1034		1	4230014		0		0								
1035		1	4230015		0		0								
1041		1	4230016		0		0								
1042		1	4230017		0		0								
1043		1	4230018		0		0								
1044		1	4230019		0		0								
1045		1	4230020		0		0								
1051		1	4230021		0		0								
1052		1	4230022		0		0								
1053		1	4230023		0		0								
1054		1	4230024		0		0								
1055		1	4230025		0		0								
1061		1	4230026		0		0								
1062		1	4230027		0		0								
1063		1	4230028		0		0								
1064		1	4230029		0		0								
1065		1	4230030		0		0								
1071		1	4230031		0		0								
1072		1	4230032		0		0								
1073		1	4230033		0		0								
1074		1	4230034		0		0								
1075		1	4230035		0		0								
1081		1	4230036		0		0								
1082		1	4230037		0		0								
1083		1	4230038		0		0								
1084		1	4230039		0		0								
1085		1	4230040		0		0								
1091		1	4230041		0		0								
1092		1	4230042		0		0								
1093		1	4230043		0		0								
1094		1	4230044		0		0								
1095		1	4230045		0		0								
1101		1	4230046		0		0								
1102		1	4230047		0		0								
1103		1	4230048		0		0								
1104		1	4230049		0		0								
1105		1	4230050		0		0								
