地城ID	[总分]1战力类型	[总分]1分数	[总分]2战力类型	[总分]2分数	[总分]3战力类型	[总分]3分数	[总分]4战力类型	[总分]4分数
5259	1	49440	2	25520	3	18960	4	27840
5260	1	67432	2	38992	3	58520	4	52032
5261	1	90036	2	57256	3	111240	4	101748
5262	1	34428	2	15312	3	13760	4	12000
5263	1	49440	2	25520	3	18960	4	27840
5264	1	67432	2	38992	3	58520	4	52032
5265	1	90036	2	57256	3	111240	4	101748
4340	1	16592	2	5616	3	3980	4	12000
4341	1	32680	2	14204	3	12400	4	12000
4342	1	54512	2	29200	3	24220	4	27840
4343	1	87532	2	51124	3	93740	4	82392
4350	1	16592	2	5616	3	3980	4	12000
4351	1	32680	2	14204	3	12400	4	12000
4352	1	54512	2	29200	3	24220	4	27840
4353	1	87532	2	51124	3	93740	4	82392
4360	1	16592	2	5616	3	3980	4	12000
4361	1	32680	2	14204	3	12400	4	12000
4362	1	54512	2	29200	3	24220	4	27840
4363	1	87532	2	51124	3	93740	4	82392
4400	1	34428	2	15312	3	13760	4	12000
4401	1	49440	2	25520	3	18960	4	27840
4402	1	67432	2	38992	3	58520	4	52032
4403	1	90036	2	57256	3	111240	4	101748
4410	1	34428	2	15312	3	13760	4	12000
4411	1	49440	2	25520	3	18960	4	27840
4412	1	67432	2	38992	3	58520	4	52032
4413	1	90036	2	57256	3	111240	4	101748
4420	1	34428	2	15312	3	13760	4	12000
4421	1	49440	2	25520	3	18960	4	27840
4422	1	67432	2	38992	3	58520	4	52032
4423	1	90036	2	57256	3	111240	4	101748
4370	1	16592	2	5616	3	3980	4	12000
4371	1	32680	2	14204	3	12400	4	12000
4372	1	54512	2	29200	3	24220	4	27840
4373	1	87532	2	51124	3	93740	4	82392
4374	1	16592	2	5616	3	3980	4	12000
4375	1	32680	2	14204	3	12400	4	12000
4376	1	54512	2	29200	3	24220	4	27840
4377	1	87532	2	51124	3	93740	4	82392
4378	1	16592	2	5616	3	3980	4	12000
4379	1	32680	2	14204	3	12400	4	12000
4380	1	54512	2	29200	3	24220	4	27840
4381	1	87532	2	51124	3	93740	4	82392
4430	1	34428	2	15312	3	13760	4	12000
4431	1	49440	2	25520	3	18960	4	27840
4432	1	67432	2	38992	3	58520	4	52032
4433	1	90036	2	57256	3	111240	4	101748
4440	1	34428	2	15312	3	13760	4	12000
4441	1	49440	2	25520	3	18960	4	27840
4442	1	67432	2	38992	3	58520	4	52032
4443	1	90036	2	57256	3	111240	4	101748
4450	1	34428	2	15312	3	13760	4	12000
4451	1	49440	2	25520	3	18960	4	27840
4452	1	67432	2	38992	3	58520	4	52032
4453	1	90036	2	57256	3	111240	4	101748
3310	1	45640	2	16688	3	9240	4	24000
3410	1	45640	2	16688	3	9240	4	24000
3510	1	45640	2	16688	3	9240	4	24000
3311	1	70624	2	31760	3	27520	4	24000
3411	1	70624	2	31760	3	27520	4	24000
3511	1	70624	2	31760	3	27520	4	24000
3312	1	79672	2	37720	3	30240	4	24000
3412	1	79672	2	37720	3	30240	4	24000
3512	1	79672	2	37720	3	30240	4	24000
3313	1	89096	2	44144	3	33520	4	38520
3413	1	89096	2	44144	3	33520	4	38520
3513	1	89096	2	44144	3	33520	4	38520
3341	1	109024	2	53928	3	59320	4	81192
3441	1	109024	2	53928	3	59320	4	81192
3541	1	109024	2	53928	3	59320	4	81192
3342	1	119536	2	61480	3	117040	4	104064
3442	1	119536	2	61480	3	117040	4	104064
3542	1	119536	2	61480	3	117040	4	104064
3343	1	132632	2	71160	3	134560	4	129576
3443	1	132632	2	71160	3	134560	4	129576
3543	1	132632	2	71160	3	134560	4	129576
3344	1	143944	2	79744	3	166600	4	129576
3444	1	143944	2	79744	3	166600	4	129576
3544	1	143944	2	79744	3	166600	4	129576
3371	1	150912	2	83304	3	187480	4	129576
3471	1	155624	2	86944	3	187480	4	164784
3571	1	160400	2	90656	3	187480	4	164784
3375	1	170120	2	98312	3	187480	4	164784
3475	1	177560	2	104240	3	187480	4	164784
3575	1	180072	2	110344	3	222480	4	203496
3373	1	180072	2	114512	3	222480	4	203496
3473	1	180072	2	114512	3	222480	4	203496
3573	1	197096	2	136720	3	264280	4	245712
3374	1	197096	2	136720	3	264280	4	245712
3474	1	197096	2	136720	3	264280	4	245712
3574	1	197096	2	136720	3	264280	4	291456
3376	1	150912	2	83304	3	187480	4	129576
3476	1	155624	2	86944	3	187480	4	164784
3576	1	160400	2	90656	3	187480	4	164784
3377	1	170120	2	98312	3	187480	4	164784
3477	1	177560	2	104240	3	187480	4	164784
3577	1	180072	2	110344	3	222480	4	203496
3378	1	180072	2	114512	3	222480	4	203496
3478	1	180072	2	114512	3	222480	4	203496
3578	1	197096	2	136720	3	264280	4	245712
3379	1	197096	2	136720	3	264280	4	245712
3479	1	197096	2	136720	3	264280	4	245712
3579	1	197096	2	136720	3	264280	4	291456
3380	1	197096	2	136720	3	264280	4	245712
3480	1	197096	2	136720	3	264280	4	245712
3580	1	197096	2	136720	3	264280	4	291456
3381	1	180072	2	114512	3	222480	4	203496
3481	1	180072	2	114512	3	222480	4	203496
3581	1	197096	2	136720	3	264280	4	245712
3382	1	197096	2	136720	3	264280	4	245712
3482	1	197096	2	136720	3	264280	4	245712
3582	1	197096	2	136720	3	264280	4	291456
3383	1	150912	2	83304	3	187480	4	129576
3483	1	155624	2	86944	3	187480	4	164784
3583	1	160400	2	90656	3	187480	4	164784
3384	1	170120	2	98312	3	187480	4	164784
3484	1	177560	2	104240	3	187480	4	164784
3584	1	180072	2	110344	3	222480	4	203496
3385	1	180072	2	114512	3	222480	4	203496
3485	1	180072	2	114512	3	222480	4	203496
3585	1	197096	2	136720	3	264280	4	245712
3386	1	197096	2	136720	3	264280	4	245712
3486	1	197096	2	136720	3	264280	4	245712
3586	1	197096	2	136720	3	264280	4	291456
3387	1	150912	2	83304	3	187480	4	129576
3487	1	155624	2	86944	3	187480	4	164784
3587	1	160400	2	90656	3	187480	4	164784
3388	1	170120	2	98312	3	187480	4	164784
3488	1	177560	2	104240	3	187480	4	164784
3588	1	180072	2	110344	3	222480	4	203496
3389	1	180072	2	114512	3	222480	4	203496
3489	1	180072	2	114512	3	222480	4	203496
3589	1	197096	2	136720	3	264280	4	245712
3390	1	197096	2	136720	3	264280	4	245712
3490	1	197096	2	136720	3	264280	4	245712
3590	1	197096	2	136720	3	264280	4	291456
3391	1	180072	2	114512	3	222480	4	203496
3491	1	180072	2	114512	3	222480	4	203496
3591	1	197096	2	136720	3	264280	4	245712
3392	1	197096	2	136720	3	264280	4	245712
3492	1	197096	2	136720	3	264280	4	245712
3592	1	197096	2	136720	3	264280	4	291456
3393	1	180072	2	114512	3	222480	4	203496
3493	1	180072	2	114512	3	222480	4	203496
3593	1	197096	2	136720	3	264280	4	245712
3394	1	197096	2	136720	3	264280	4	245712
3494	1	197096	2	136720	3	264280	4	245712
3594	1	197096	2	136720	3	264280	4	291456
3395	1	180072	2	114512	3	222480	4	203496
3495	1	180072	2	114512	3	222480	4	203496
3595	1	197096	2	136720	3	264280	4	245712
3396	1	197096	2	136720	3	264280	4	245712
3496	1	197096	2	136720	3	264280	4	245712
3596	1	197096	2	136720	3	264280	4	291456
3397	1	180072	2	114512	3	222480	4	203496
3497	1	180072	2	114512	3	222480	4	203496
3597	1	197096	2	136720	3	264280	4	245712
3398	1	197096	2	136720	3	264280	4	245712
3498	1	197096	2	136720	3	264280	4	245712
3598	1	197096	2	136720	3	264280	4	291456
3399	1	180072	2	114512	3	222480	4	203496
3499	1	180072	2	114512	3	222480	4	203496
3599	1	197096	2	136720	3	264280	4	245712
3400	1	197096	2	136720	3	264280	4	245712
3500	1	197096	2	136720	3	264280	4	245712
3600	1	197096	2	136720	3	264280	4	291456
3401	1	180072	2	114512	3	222480	4	203496
3501	1	180072	2	114512	3	222480	4	203496
3601	1	197096	2	136720	3	264280	4	245712
3402	1	197096	2	136720	3	264280	4	245712
3502	1	197096	2	136720	3	264280	4	245712
3602	1	197096	2	136720	3	264280	4	291456
3403	1	180072	2	114512	3	222480	4	203496
3503	1	180072	2	114512	3	222480	4	203496
3603	1	197096	2	136720	3	264280	4	245712
3404	1	197096	2	136720	3	264280	4	245712
3504	1	197096	2	136720	3	264280	4	245712
3604	1	197096	2	136720	3	264280	4	291456
3405	1	180072	2	114512	3	222480	4	203496
3505	1	180072	2	114512	3	222480	4	203496
3605	1	197096	2	136720	3	264280	4	245712
3406	1	197096	2	136720	3	264280	4	245712
3506	1	197096	2	136720	3	264280	4	245712
3606	1	197096	2	136720	3	264280	4	291456
3407	1	150912	2	83304	3	187480	4	129576
3507	1	155624	2	86944	3	187480	4	164784
3607	1	160400	2	90656	3	187480	4	164784
3408	1	170120	2	98312	3	187480	4	164784
3508	1	177560	2	104240	3	187480	4	164784
3608	1	180072	2	110344	3	222480	4	203496
3409	1	180072	2	114512	3	222480	4	203496
3509	1	180072	2	114512	3	222480	4	203496
3609	1	197096	2	136720	3	264280	4	245712
3100	1	197096	2	136720	3	264280	4	245712
3200	1	197096	2	136720	3	264280	4	245712
3300	1	197096	2	136720	3	264280	4	291456
3101	1	180072	2	114512	3	222480	4	203496
3201	1	180072	2	114512	3	222480	4	203496
3301	1	197096	2	136720	3	264280	4	245712
3102	1	197096	2	136720	3	264280	4	245712
3202	1	197096	2	136720	3	264280	4	245712
3302	1	197096	2	136720	3	264280	4	291456
3103	1	180072	2	114512	3	222480	4	203496
3203	1	180072	2	114512	3	222480	4	203496
3303	1	197096	2	136720	3	264280	4	245712
3104	1	197096	2	136720	3	264280	4	245712
3204	1	197096	2	136720	3	264280	4	245712
3304	1	197096	2	136720	3	264280	4	291456
