角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	冒险等级要求
12	1		20000	104101	1	0	0	100024	3	112005	3	40	1	681.15456	7	42.75	4	13.3038	6	0	15
12	2		40000	104102	3	0	2	100024	10	112005	15	50	1	1165.1328	7	73.125	4	22.7565	6	0.06	25
12	3		60000	104102	6	0	4	100024	20	112006	12	60	1	1810.43712	7	113.625	4	35.3601	6	0.12	30
12	4		80000	104103	3	0	8	100024	30	112006	18	70	1	2294.41536	7	144	4	44.8128	6	0.12	35
12	5		100000	104103	6	0	12	100024	45	112007	12	80	1	2778.3936	7	174.375	4	54.2655	6	0.18	40
12	6		120000	104104	6	0	20	100024	60	112007	24	90	1	3262.37184	7	204.75	4	63.7182	6	0.24	50
14	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	3	0	0
14	1		20000	104121	1	0	0	100025	3	112008	3	40	1	613.039104	7	41.895	4	9.97785	3	0	15
14	2		40000	104122	3	113012	2	100025	10	112008	15	50	1	1048.61952	7	71.6625	4	17.067375	3	0.06	25
14	3		60000	104122	6	113012	4	100025	20	112009	12	60	1	1629.393408	7	111.3525	4	26.520075	3	0.12	30
14	4		80000	104123	3	113012	8	100025	30	112009	18	70	1	2064.973824	7	141.12	4	33.6096	3	0.12	35
14	5		100000	104123	6	113012	12	100025	45	112010	12	80	1	2500.55424	7	170.8875	4	40.699125	3	0.18	40
14	6		120000	104124	6	113012	20	100025	60	112010	24	90	1	2936.134656	7	200.655	4	47.78865	3	0.24	50
15	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
15	1		20000	104161	1	0	0	100056	3	112035	3	40	1	728.835379	7	49.59	4	13.96899	23	0	15
15	2		40000	104162	3	113010	2	100056	10	112035	15	50	1	1246.692096	7	84.825	4	23.894325	23	0.0667	25
15	3		60000	104162	6	113010	4	100056	20	112036	12	60	1	1937.167718	7	131.805	4	37.128105	23	0.1333	30
15	4		80000	104163	3	113010	8	100056	30	112036	18	70	1	2455.024435	7	167.04	4	47.05344	23	0.1333	35
15	5		100000	104163	6	113010	12	100056	45	112037	12	80	1	2972.881152	7	202.275	4	56.978775	23	0.2	40
15	6		120000	104164	6	113010	20	100056	60	112037	24	90	1	3490.737869	7	237.51	4	66.90411	23	0.2667	50
16	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
16	1		20000	104111	1	0	0	100055	3	112032	3	40	1	866.428842	7	52.326	4	22.34932	20	0	15
16	2		40000	104112	3	113011	2	100055	10	112032	15	50	1	1482.049335	7	89.505	4	38.2291	20	0.048	25
16	3		60000	104112	6	113011	4	100055	20	112033	12	60	1	2302.876659	7	139.077	4	59.40214	20	0.096	30
16	4		80000	104113	3	113011	8	100055	30	112033	18	70	1	2918.497152	7	176.256	4	75.28192	20	0.096	35
16	5		100000	104113	6	113011	12	100055	45	112034	12	80	1	3534.117645	7	213.435	4	91.1617	20	0.144	40
16	6		120000	104114	6	113011	20	100055	60	112034	24	90	1	4149.738138	7	250.614	4	107.04148	20	0.192	50
20	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	30	0	0
20	1		20000	104141	1	0	0	100021	3	112005	3	40	1	749.270016	7	47.025	4	14.63418	30	0	15
20	2		40000	104142	3	113002	2	100021	10	112005	15	50	1	1281.64608	7	80.4375	4	25.03215	30	0.075	25
20	3		60000	104142	6	113002	4	100021	20	112006	12	60	1	1991.480832	7	124.9875	4	38.89611	30	0.15	30
20	4		80000	104143	3	113002	8	100021	30	112006	18	70	1	2523.856896	7	158.4	4	49.29408	30	0.15	35
20	5		100000	104143	6	113002	12	100021	45	112007	12	80	1	3056.23296	7	191.8125	4	59.69205	30	0.225	40
20	6		120000	104144	6	113002	20	100021	60	112007	24	90	1	3588.609024	7	225.225	4	70.09002	30	0.3	50
21	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
21	1		20000	104111	1	0	0	100055	3	112011	3	40	1	592.604467	7	37.62	4	13.96899	6	0	15
21	2		40000	104112	3	113011	2	100055	10	112011	15	50	1	1013.665536	7	64.35	4	23.894325	6	0.06	25
21	3		60000	104112	6	113011	4	100055	20	112012	12	60	1	1575.080294	7	99.99	4	37.128105	6	0.12	30
21	4		80000	104113	3	113011	8	100055	30	112012	18	70	1	1996.141363	7	126.72	4	47.05344	6	0.12	35
21	5		100000	104113	6	113011	12	100055	45	112013	12	80	1	2417.202432	7	153.45	4	56.978775	6	0.18	40
21	6		120000	104114	6	113011	20	100055	60	112013	24	90	1	2838.263501	7	180.18	4	66.90411	6	0.24	50
22	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
22	1		20000	104151	1	0	0	100023	3	112002	3	40	1	702.951702	7	44.631	4	17.56018	23	0	15
22	2		40000	104152	3	113001	2	100023	10	112002	15	50	1	1202.417385	7	76.3425	4	30.03715	23	0.08	25
22	3		60000	104152	6	113001	4	100023	20	112003	12	60	1	1868.371629	7	118.6245	4	46.67311	23	0.16	30
22	4		80000	104153	3	113001	8	100023	30	112003	18	70	1	2367.837312	7	150.336	4	59.15008	23	0.16	35
22	5		100000	104153	6	113001	12	100023	45	112004	12	80	1	2867.302995	7	182.0475	4	71.62705	23	0.24	40
22	6		120000	104154	6	113001	20	100023	60	112004	24	90	1	3366.768678	7	213.759	4	84.10402	23	0.32	50
23	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
23	1		20000	104111	1	0	0	100027	3	112002	3	40	1	681.15456	7	41.895	4	14.102028	28	0	15
23	2		40000	104112	3	113011	2	100027	10	112002	15	50	1	1165.1328	7	71.6625	4	24.12189	28	24	25
23	3		60000	104112	6	113011	4	100027	20	112003	12	60	1	1810.43712	7	111.3525	4	37.481706	28	48	30
23	4		80000	104113	3	113011	8	100027	30	112003	18	70	1	2294.41536	7	141.12	4	47.501568	28	48	35
23	5		100000	104113	6	113011	12	100027	45	112004	12	80	1	2778.3936	7	170.8875	4	57.52143	28	72	40
23	6		120000	104114	6	113011	20	100027	60	112004	24	90	1	3262.37184	7	200.655	4	67.541292	28	96	50
24	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	41	0	0
24	1		20000	104141	1	0	0	100028	3	112035	3	40	1	817.385472	7	40.6125	4	14.102028	41	0	15
24	2		40000	104142	3	113002	2	100028	10	112035	15	50	1	1398.15936	7	69.46875	4	24.12189	41	0.06	25
24	3		60000	104142	6	113002	4	100028	20	112036	12	60	1	2172.524544	7	107.94375	4	37.481706	41	0.12	30
24	4		80000	104143	3	113002	8	100028	30	112036	18	70	1	2753.298432	7	136.8	4	47.501568	41	0.12	35
24	5		100000	104143	6	113002	12	100028	45	112037	12	80	1	3334.07232	7	165.65625	4	57.52143	41	0.18	40
24	6		120000	104144	6	113002	20	100028	60	112037	24	90	1	3914.846208	7	194.5125	4	67.541292	41	0.24	50
25	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
25	1		20000	104121	1	0	0	100029	3	112005	3	40	1	640.285286	7	47.4525	4	12.63861	6	0	15
25	2		40000	104122	3	113012	2	100029	10	112005	15	50	1	1095.224832	7	81.16875	4	21.618675	6	0.06	25
25	3		60000	104122	6	113012	4	100029	20	112006	12	60	1	1701.810893	7	126.12375	4	33.592095	6	0.12	30
25	4		80000	104123	3	113012	8	100029	30	112006	18	70	1	2156.750438	7	159.84	4	42.57216	6	0.12	35
25	5		100000	104123	6	113012	12	100029	45	112007	12	80	1	2611.689984	7	193.55625	4	51.552225	6	0.18	40
25	6		120000	104124	6	113012	20	100029	60	112007	24	90	1	3066.62953	7	227.2725	4	60.53229	6	0.24	50
26	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
26	1		20000	104151	1	0	0	100031	3	112002	3	40	1	850.081128	7	53.352	4	23.307148	20	0	15
26	2		40000	104152	3	113016	2	100031	10	112002	15	50	1	1454.08614	7	91.26	4	39.86749	20	0.048	25
26	3		60000	104152	6	113016	4	100031	20	112003	12	60	1	2259.426156	7	141.804	4	61.947946	20	0.096	30
26	4		80000	104153	3	113016	8	100031	30	112003	18	70	1	2863.431168	7	179.712	4	78.508288	20	0.096	35
26	5		100000	104153	6	113016	12	100031	45	112004	12	80	1	3467.43618	7	217.62	4	95.06863	20	0.144	40
26	6		120000	104154	6	113016	20	100031	60	112004	24	90	1	4071.441192	7	255.528	4	111.628972	20	0.192	50
27	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
27	1		20000	104171	1	0	0	100030	3	112032	3	40	1	613.039104	7	35.91	4	13.3038	45	0	15
27	2		40000	104172	3	113009	2	100030	10	112032	15	50	1	1048.61952	7	61.425	4	22.7565	45	0.06	25
27	3		60000	104172	6	113009	4	100030	20	112033	12	60	1	1629.393408	7	95.445	4	35.3601	45	0.12	30
27	4		80000	104173	3	113009	8	100030	30	112033	18	70	1	2064.973824	7	120.96	4	44.8128	45	0.12	35
27	5		100000	104173	6	113009	12	100030	45	112034	12	80	1	2500.55424	7	146.475	4	54.2655	45	0.18	40
27	6		120000	104174	6	113009	20	100030	60	112034	24	90	1	2936.134656	7	171.99	4	63.7182	45	0.24	50
29	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	40	0	0
29	1		20000	104111	1	0	0	100025	3	112008	3	40	1	686.603988	7	41.04	4	20.75294	40	0	15
29	2		40000	104112	3	113011	2	100025	10	112008	15	50	1	1174.45419	7	70.2	4	35.49845	40	0.072	25
29	3		60000	104112	6	113011	4	100025	20	112009	12	60	1	1824.921126	7	109.08	4	55.15913	40	0.144	30
29	4		80000	104113	3	113011	8	100025	30	112009	18	70	1	2312.771328	7	138.24	4	69.90464	40	0.144	35
29	5		100000	104113	6	113011	12	100025	45	112010	12	80	1	2800.62153	7	167.4	4	84.65015	40	0.216	40
29	6		120000	104114	6	113011	20	100025	60	112010	24	90	1	3288.471732	7	196.56	4	99.39566	40	0.288	50
30	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
30	1		20000	104171	1	0	0	100058	3	112002	3	40	1	980.8628	7	49.248	4	16.762	45	0	15
30	2		40000	104172	3	113009	2	100058	10	112002	15	50	1	1677.7917	7	84.24	4	28.6718	45	0.072	25
30	3		60000	104172	6	113009	4	100058	20	112003	12	60	1	2607.0302	7	130.896	4	44.5516	45	0.144	30
30	4		80000	104173	3	113009	8	100058	30	112003	18	70	1	3303.959	7	165.888	4	56.4614	45	0.144	35
30	5		100000	104173	6	113009	12	100058	45	112004	12	80	1	4000.8879	7	200.88	4	68.3713	45	0.216	40
30	6		120000	104174	6	113009	20	100058	60	112004	24	90	1	4697.8168	7	235.872	4	80.2811	45	0.288	50
31	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
31	1		20000	104141	1	0	0	100055	3	112011	3	40	1	575.575603	7	37.1925	4	15.29937	6	0	15
31	2		40000	104142	3	113002	2	100055	10	112011	15	50	1	984.537216	7	63.61875	4	26.169975	6	0.06	25
31	3		60000	104142	6	113002	4	100055	20	112012	12	60	1	1529.819366	7	98.85375	4	40.664115	6	0.12	30
31	4		80000	104143	3	113002	8	100055	30	112012	18	70	1	1938.780979	7	125.28	4	51.53472	6	0.12	35
31	5		100000	104143	6	113002	12	100055	45	112013	12	80	1	2347.742592	7	151.70625	4	62.405325	6	0.18	40
31	6		120000	104144	6	113002	20	100055	60	112013	24	90	1	2756.704205	7	178.1325	4	73.27593	6	0.24	50
32	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
32	1		20000	104111	1	0	0	100024	3	112035	3	40	1	776.516198	7	48.3075	4	11.97342	23	0	15
32	2		40000	104112	3	113011	2	100024	10	112035	15	50	1	1328.251392	7	82.63125	4	20.48085	23	0.0667	25
32	3		60000	104112	6	113011	4	100024	20	112036	12	60	1	2063.898317	7	128.39625	4	31.82409	23	0.1333	30
32	4		80000	104113	3	113011	8	100024	30	112036	18	70	1	2615.63351	7	162.72	4	40.33152	23	0.1333	35
32	5		100000	104113	6	113011	12	100024	45	112037	12	80	1	3167.368704	7	197.04375	4	48.83895	23	0.2	40
32	6		120000	104114	6	113011	20	100024	60	112037	24	90	1	3719.103898	7	231.3675	4	57.34638	23	0.2667	50
33	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	42	0	0
33	1		20000	104121	1	0	0	100033	3	112032	3	40	1	874.602699	7	54.378	4	20.114388	42	0	15
33	2		40000	104122	3	113012	2	100033	10	112032	15	50	1	1496.030933	7	93.015	4	34.40619	42	0.072	25
33	3		60000	104122	6	113012	4	100033	20	112033	12	60	1	2324.601911	7	144.531	4	53.461926	42	0.144	30
33	4		80000	104123	3	113012	8	100033	30	112033	18	70	1	2946.030144	7	183.168	4	67.753728	42	0.144	35
33	5		100000	104123	6	113012	12	100033	45	112034	12	80	1	3567.458378	7	221.805	4	82.04553	42	0.216	40
33	6		120000	104124	6	113012	20	100033	60	112034	24	90	1	4188.886611	7	260.442	4	96.337332	42	0.288	50
34	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	9	0	0
34	1		20000	104171	1	0	0	100022	3	112005	3	40	1	756.081562	7	50.0175	4	11.97342	9	0	15
34	2		40000	104172	3	113009	2	100022	10	112005	15	50	1	1293.297408	7	85.55625	4	20.48085	9	0.075	25
34	3		60000	104172	6	113009	4	100022	20	112006	12	60	1	2009.585203	7	132.94125	4	31.82409	9	0.15	30
34	4		80000	104173	3	113009	8	100022	30	112006	18	70	1	2546.80105	7	168.48	4	40.33152	9	0.15	35
34	5		100000	104173	6	113009	12	100022	45	112007	12	80	1	3084.016896	7	204.01875	4	48.83895	9	0.225	40
34	6		120000	104174	6	113009	20	100022	60	112007	24	90	1	3621.232742	7	239.5575	4	57.34638	9	0.3	50
35	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	26	0	0
35	1		20000	104161	1	0	0	100034	3	112008	3	40	1	825.559557	7	61.56	4	19.15656	26	0	15
35	2		40000	104162	3	113010	2	100034	10	112008	15	50	1	1412.141347	7	105.3	4	32.7678	26	0.0554	25
35	3		60000	104162	6	113010	4	100034	20	112009	12	60	1	2194.250401	7	163.62	4	50.91612	26	0.1108	30
35	4		80000	104163	3	113010	8	100034	30	112009	18	70	1	2780.832192	7	207.36	4	64.52736	26	0.1108	35
35	5		100000	104163	6	113010	12	100034	45	112010	12	80	1	3367.413982	7	251.1	4	78.1386	26	0.1662	40
35	6		120000	104164	6	113010	20	100034	60	112010	24	90	1	3953.995773	7	294.84	4	91.74984	26	0.2215	50
36	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
36	1		20000	104161	1	0	0	100058	3	112005	3	40	1	687.966106	7	40.6125	4	13.96899	6	0	15
36	2		40000	104162	3	113010	2	100058	10	112005	15	50	1	1176.784128	7	69.46875	4	23.894325	6	0.06	25
36	3		60000	104162	6	113010	4	100058	20	112006	12	60	1	1828.541491	7	107.94375	4	37.128105	6	0.12	30
36	4		80000	104163	3	113010	8	100058	30	112006	18	70	1	2317.359514	7	136.8	4	47.05344	6	0.12	35
36	5		100000	104163	6	113010	12	100058	45	112007	12	80	1	2806.177536	7	165.65625	4	56.978775	6	0.18	40
36	6		120000	104164	6	113010	20	100058	60	112007	24	90	1	3294.995558	7	194.5125	4	66.90411	6	0.24	50
37	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
37	1		20000	104161	1	0	0	100031	3	112038	3	40	1	653.90856	7	42.066	4	22.34932	22	0	15
37	2		40000	104162	3	113010	2	100031	10	112038	15	50	1	1118.5278	7	71.955	4	38.2291	22	0.096	25
37	3		60000	104162	6	113010	4	100031	20	112039	12	60	1	1738.02012	7	111.807	4	59.40214	22	0.192	30
37	4		80000	104163	3	113010	8	100031	30	112039	18	70	1	2202.63936	7	141.696	4	75.28192	22	0.192	35
37	5		100000	104163	6	113010	12	100031	45	112040	12	80	1	2667.2586	7	171.585	4	91.1617	22	0.288	40
37	6		120000	104164	6	113010	20	100031	60	112040	24	90	1	3131.87784	7	201.474	4	107.04148	22	0.384	50
38	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	45	0	0
38	1		20000	104171	1	0	0	100023	3	112008	3	40	1	882.776556	7	58.482	4	16.76199	45	0	15
38	2		40000	104172	3	113009	2	100023	10	112008	15	50	1	1510.01253	7	100.035	4	28.671825	45	0.072	25
38	3		60000	104172	6	113009	4	100023	20	112009	12	60	1	2346.327162	7	155.439	4	44.551605	45	0.144	30
38	4		80000	104173	3	113009	8	100023	30	112009	18	70	1	2973.563136	7	196.992	4	56.46144	45	0.144	35
38	5		100000	104173	6	113009	12	100023	45	112010	12	80	1	3600.79911	7	238.545	4	68.371275	45	0.216	40
38	6		120000	104174	6	113009	20	100023	60	112010	24	90	1	4228.035084	7	280.098	4	80.28111	45	0.288	50
39	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	46	0	0
39	1		20000	104161	1	0	0	100056	3	112011	3	40	1	599.416	7	37.62	4	13.3038	46	0	15
39	2		40000	104162	3	113010	2	100056	10	112011	15	50	1	1025.3169	7	64.35	4	22.7565	46	0.06	25
39	3		60000	104162	6	113010	4	100056	20	112012	12	60	1	1593.1847	7	99.99	4	35.3601	46	0.12	30
39	4		80000	104163	3	113010	8	100056	30	112012	18	70	1	2019.0855	7	126.72	4	44.8128	46	0.12	35
39	5		100000	104163	6	113010	12	100056	45	112013	12	80	1	2444.9864	7	153.45	4	54.2655	46	0.18	40
39	6		120000	104164	6	113010	20	100056	60	112013	24	90	1	2870.8872	7	180.18	4	63.7182	46	0.24	50
41	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	23	0	0
41	1		20000	104121	1	0	0	100025	3	112038	3	40	1	694.777845	7	43.605	4	19.15656	23	0	15
41	2		40000	104122	3	113012	2	100025	10	112038	15	50	1	1188.435788	7	74.5875	4	32.7678	23	0.08	25
41	3		60000	104122	6	113012	4	100025	20	112039	12	60	1	1846.646377	7	115.8975	4	50.91612	23	0.16	30
41	4		80000	104123	3	113012	8	100025	30	112039	18	70	1	2340.30432	7	146.88	4	64.52736	23	0.16	35
41	5		100000	104123	6	113012	12	100025	45	112040	12	80	1	2833.962262	7	177.8625	4	78.1386	23	0.24	40
41	6		120000	104124	6	113012	20	100025	60	112040	24	90	1	3327.620205	7	208.845	4	91.74984	23	0.32	50
42	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
42	1		20000	104141	1	0	0	100058	3	112038	3	40	1	874.602699	7	53.352	4	21.55113	22	0	15
42	2		40000	104142	3	113002	2	100058	10	112038	15	50	1	1496.030933	7	91.26	4	36.863775	22	0.096	25
42	3		60000	104142	6	113002	4	100058	20	112039	12	60	1	2324.601911	7	141.804	4	57.280635	22	0.192	30
42	4		80000	104143	3	113002	8	100058	30	112039	18	70	1	2946.030144	7	179.712	4	72.59328	22	0.192	35
42	5		100000	104143	6	113002	12	100058	45	112040	12	80	1	3567.458378	7	217.62	4	87.905925	22	0.288	40
42	6		120000	104144	6	113002	20	100058	60	112040	24	90	1	4188.886611	7	255.528	4	103.21857	22	0.384	50
43	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	44	0	0
43	1		20000	104151	1	0	0	100024	3	112038	3	40	1	578.981376	7	44.0325	4	10.64304	44	0	15
43	2		40000	104152	3	113001	2	100024	10	112038	15	50	1	990.36288	7	75.31875	4	18.2052	44	0.06	25
43	3		60000	104152	6	113001	4	100024	20	112039	12	60	1	1538.871552	7	117.03375	4	28.28808	44	0.12	30
43	4		80000	104153	3	113001	8	100024	30	112039	18	70	1	1950.253056	7	148.32	4	35.85024	44	0.12	35
43	5		100000	104153	6	113001	12	100024	45	112040	12	80	1	2361.63456	7	179.60625	4	43.4124	44	0.18	40
43	6		120000	104154	6	113001	20	100024	60	112040	24	90	1	2773.016064	7	210.8925	4	50.97456	44	0.24	50
44	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
44	1		20000	104111	1	0	0	100034	3	112035	3	40	1	701.589197	7	50.0175	4	15.565446	6	0	15
44	2		40000	104112	3	113011	2	100034	10	112035	15	50	1	1200.086784	7	85.55625	4	26.625105	6	0.06	25
44	3		60000	104112	6	113011	4	100034	20	112036	12	60	1	1864.750234	7	132.94125	4	41.371317	6	0.12	30
44	4		80000	104113	3	113011	8	100034	30	112036	18	70	1	2363.247821	7	168.48	4	52.430976	6	0.12	35
44	5		100000	104113	6	113011	12	100034	45	112037	12	80	1	2861.745408	7	204.01875	4	63.490635	6	0.18	40
44	6		120000	104114	6	113011	20	100034	60	112037	24	90	1	3360.242995	7	239.5575	4	74.550294	6	0.24	50
45	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
45	1		20000	104161	1	0	0	100022	3	112032	3	40	1	769.704653	7	44.46	4	15.033294	6	0	15
45	2		40000	104162	3	113010	2	100022	10	112032	15	50	1	1316.600064	7	76.05	4	25.714845	6	0.06	25
45	3		60000	104162	6	113010	4	100022	20	112033	12	60	1	2045.793946	7	118.17	4	39.956913	6	0.12	30
45	4		80000	104163	3	113010	8	100022	30	112033	18	70	1	2592.689357	7	149.76	4	50.638464	6	0.12	35
45	5		100000	104163	6	113010	12	100022	45	112034	12	80	1	3139.584768	7	181.35	4	61.320015	6	0.18	40
45	6		120000	104164	6	113010	20	100022	60	112034	24	90	1	3686.480179	7	212.94	4	72.001566	6	0.24	50
46	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
46	1		20000	104111	1	0	0	100029	3	112038	3	40	1	1038.079839	7	58.482	4	7.103891	22	0	15
46	2		40000	104112	3	113016	2	100029	10	112038	15	50	1	1775.662883	7	100.035	4	12.151393	22	0.096	25
46	3		60000	104112	6	113016	4	100029	20	112039	12	60	1	2759.10694	7	155.439	4	18.881394	22	0.192	30
46	4		80000	104113	3	113016	8	100029	30	112039	18	70	1	3496.689984	7	196.992	4	23.928896	22	0.192	35
46	5		100000	104113	6	113016	12	100029	45	112040	12	80	1	4234.273028	7	238.545	4	28.976398	22	0.288	40
46	6		120000	104114	6	113016	20	100029	60	112040	24	90	1	4971.856071	7	280.098	4	34.023899	22	0.384	50
47	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
47	1		20000	104151	1	0	0	101206	3	112035	3	40	1	890.950413	7	53.865	4	19.795112	28	0	15
47	2		40000	104152	3	113022	2	101206	10	112035	15	50	1	1523.994128	7	92.1375	4	33.86006	28	28.8	25
47	3		60000	104152	6	113022	4	101206	20	112036	12	60	1	2368.052414	7	143.1675	4	52.613324	28	57.6	30
47	4		80000	104153	3	113022	8	101206	30	112036	18	70	1	3001.096128	7	181.44	4	66.678272	28	57.6	35
47	5		100000	104153	6	113022	12	101206	45	112037	12	80	1	3634.139843	7	219.7125	4	80.74322	28	86.4	40
47	6		120000	104154	6	113022	20	101206	60	112037	24	90	1	4267.183557	7	257.985	4	94.808168	28	115.2	50
48	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	40	0	0
48	1		20000	104111	1	0	0	100028	3	112035	3	40	1	585.792922	7	36.765	4	15.033294	40	0	15
48	2		40000	104112	3	113016	2	100028	10	112035	15	50	1	1002.014208	7	62.8875	4	25.714845	40	0.06	25
48	3		60000	104112	6	113016	4	100028	20	112036	12	60	1	1556.975923	7	97.7175	4	39.956913	40	0.12	30
48	4		80000	104113	3	113016	8	100028	30	112036	18	70	1	1973.19721	7	123.84	4	50.638464	40	0.12	35
48	5		100000	104113	6	113016	12	100028	45	112037	12	80	1	2389.418496	7	149.9625	4	61.320015	40	0.18	40
48	6		120000	104114	6	113016	20	100028	60	112037	24	90	1	2805.639782	7	176.085	4	72.001566	40	0.24	50
49	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	20	0	0
49	1		20000	104111	1	0	0	101205	3	112008	3	40	1	678.430131	7	41.04	4	21.55113	20	0	15
49	2		40000	104112	3	113024	2	101205	10	112008	15	50	1	1160.472593	7	70.2	4	36.863775	20	0.048	25
49	3		60000	104112	6	113024	4	101205	20	112009	12	60	1	1803.195874	7	109.08	4	57.280635	20	0.096	30
49	4		80000	104113	3	113024	8	101205	30	112009	18	70	1	2285.238336	7	138.24	4	72.59328	20	0.096	35
49	5		100000	104113	6	113024	12	101205	45	112010	12	80	1	2767.280797	7	167.4	4	87.905925	20	0.144	40
49	6		120000	104114	6	113024	20	101205	60	112010	24	90	1	3249.323259	7	196.56	4	103.21857	20	0.192	50
