ID,效果JSON文件,[技能费用]1类型,[技能费用]1值,[技能费用]2类型,[技能费用]2值,[技能标签列表]1,[技能标签列表]2,使用后获得充能,阻塞技能AI的卡牌ID,技能是否隐藏,隐藏横幅提示,阻塞技能AI的卡牌列表,阻塞技能AI的卡牌数量,阻塞技能AI的召唤物数,此技能不计AI技能次数,统计伤害
87,Effect_Enchant_Grass,,,,,,,,,,,,,,,
91,_ElementShell_Ice,,,,,,,,,,,,,,,
92,_ElementShell_Water,,,,,,,,,,,,,,,
93,_ElementShell_Fire,,,,,,,,,,,,,,,
94,_ElementShell_Elec,,,,,,,,,,,,,,,
95,_ElementShell_Wind,,,,,,,,,,,,,,,
96,_ElementShell_Rock,,,,,,,,,,,,,,,
97,_ElementShell_Grass,,,,,,,,,,,,,,,
101,Reaction_101,,,,,,,,,,,,,,,
102,Reaction_102,,,,,,,,,,,,,,,
103,Reaction_103,,,,,,,,,,,,,,,
104,Reaction_104,,,,,,,,,,,,,,,
105,Reaction_105,,,,,,,,,,,,,,,
106,Reaction_106,,,,,,,,,,,,,,,
107,Reaction_107,,,,,,,,,,,,,,,
108,Reaction_108,,,,,,,,,,,,,,,
109,Reaction_109,,,,,,,,,,,,,,,
110,Reaction_110,,,,,,,,,,,,,,,
111,Reaction_111,,,,,,,,,,,,,,,
112,Reaction_111,,,,,,,,,,,,,,,
113,Reaction_111,,,,,,,,,,,,,,,
114,Reaction_111,,,,,,,,,,,,,,,
115,Reaction_115,,,,,,,,,,,,,,,
116,Reaction_116,,,,,,,,,,,,,,,
117,Reaction_117,,,,,,,,,,,,,,,
1061,Reaction_1061,,,,,,,,,,,,,,,
1151,Reaction_1151,,,,,,,,,,,,,,,
1161,Reaction_1161,,,,,,,,,,,,,,,
1171,Reaction_1171,,,,,,,,,,,,,,,
13010111,Story_30101_1,,,,,,,0,,,,,,,,
13010211,Story_30102_1,,,,,,,0,,,,,,,,
13010311,Story_30103_1,,,,,,,0,,,,,,,,
13010411,Story_30104_1,,,,,,,0,,,,,,,,
13010511,Story_30105_1,,,,,,,0,,,,,,,,
11011,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,
11012,Char_Skill_11012,11,3,,,2,,1,111012,,,111012,1,,,
11013,Char_Skill_11013,11,5,,,1,,1,,,,,,,,
11014,Char_Skill_11014,11,3,1,2,3,,0,111011,,,111011,1,4,,
1110111,Char_Skill_11013_Ex_1,,,,,,,,,,,,,,,
2110111,Char_Skill_11013_Talent_1,,,,,,,0,,,,,,,,
11021,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,
11022,Char_Skill_11022,11,3,,,2,,1,111021,,,111021,1,,,
11023,Char_Skill_11023,11,3,1,3,3,,0,111023,,,111023,1,4,,
1110231,Char_Skill_11023_Ex_1,,,,,,,,,,,,,,,
2110211,Char_Skill_11022_Talent_1,,,,,,,0,,,,,,,,
11031,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,
11032,Char_Skill_11032,11,3,,,2,,1,,,,,,,,
11033,Char_Skill_11033,11,4,1,2,3,,0,111031,,,111031,1,,,
1110311,Char_Skill_11033_Ex_1,,,,,,,,,,,,,,,
2110311,Char_Skill_11032_Talent_1,,,,,,,0,,,,,,,,
2110312,Char_Skill_11032_Talent_2,,,,,,,0,,,,,,,,
11041,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,
11042,Char_Skill_11042,11,3,,,2,,1,111041,,,111041,1,,,
11043,Effect_Damage_Ice_7,11,3,1,3,3,,0,,,,,,,,
1110411,Char_Skill_11042_Ex_1,,,,,,,,,,,,,,,
1110421,Char_Skill_11042_Ex_2,,,,,,,,,,,,,,,
2110411,Char_Skill_11042_Talent_1,,,,,,,0,,,,,,,,
11051,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,
11052,Effect_Damage_Ice_3,11,3,,,2,,1,,,,,,,,
11053,Char_Skill_11053,11,3,1,3,3,,0,111051,,,111051,1,4,,
11054,Char_Skill_11054,,,,,4,,0,,,,,,,,
1110511,Char_Skill_11053_Ex_1,,,,,,,,,,,,,,,
1110521,Char_Skill_11054_Ex_1,,,,,,,,,,,,,,,
1110522,Char_Skill_11054_Ex_2,,,,,,,,,,,,,,,
2110511,Char_Skill_11054_Talent_1,,,,,,,0,,,,,,,,
12011,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,
12012,Char_Skill_12012,12,3,,,2,,1,112011,,,112011,1,4,,
12013,Char_Skill_12013,12,3,1,3,3,,0,112022,,,112022,1,,,
1120111,Char_Skill_12012_Ex_1,,,,,,,0,,,,,,,,
2120111,Char_Skill_12012_Talent_1,,,,,,,0,,,,,,,,
2120112,Char_Skill_12012_Talent_2,,,,,,,0,,,,,,,,
12021,Effect_Damage_Physic_2,12,1,10,2,1,,1,,,,,,,,
12022,Char_Skill_12022,12,3,,,2,,1,112021,,,112021,1,,,
12023,Char_Skill_12023,12,3,1,2,3,,0,112022,,,112022,1,,,
1120221,Char_Skill_12023_Ex_1,,,,,,,0,,,,,,,,
2120211,Char_Skill_12022_Talent_1,,,,,,,0,,,,,,,,
12031,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,
12032,Char_Skill_12032,12,3,,,2,,1,112031,,,112031,1,4,,
12033,Char_Skill_12033,12,3,1,3,3,,0,112032,,,112032,1,,,
12034,Char_Skill_12034,,,,,4,,0,,,,,,,,
1120311,Char_Skill_12032_Ex_1,,,,,,,0,,,,,,,,
1120321,Char_Skill_12033_Ex_1,,,,,,,0,,,,,,,,
2120311,Char_Skill_12033_Talent_1,,,,,,,0,,,,,,,,
2120312,Char_Skill_12033_Talent_2,,,,,,,0,,,,,,,,
13011,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,
13012,Char_Skill_13012,13,3,,,2,,1,,,,,,,,
13013,Char_Skill_13013,13,4,1,3,3,,0,,,,,,,,
1130111,Char_Skill_13013_Ex_1,,,,,,,0,,,,,,,,
2130111,Char_Skill_13012_Talent_1,,,,,,,0,,,,,,,,
2130112,Char_Skill_13012_Talent_2,,,,,,,0,,,,,,,,
13021,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,
13022,Char_Skill_13022,13,3,,,2,,1,113021,,,113021,1,4,,
13023,Char_Skill_13023,13,4,1,2,3,,0,113022,,,113022,1,,,
1130211,Char_Skill_13022_Ex_1,,,,,,,0,,,,,,,,
1130221,Char_Skill_13023_Ex_1,,,,,,,0,,,,,,,,
2130211,Char_Skill_13022_Talent_1,,,,,,,0,,,,,,,,
13031,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,
13032,Effect_Damage_Fire_3,13,3,,,2,,1,,,,,,,,
13033,Char_Skill_13033,13,4,1,2,3,,0,113031,,,113031,1,,,
1130311,Char_Skill_13033_Ex_1,,,,,,,0,,,,,,,,
1130312,Char_Skill_13033_Ex_2,,,,,,,0,,,,,,,,
2130311,Char_Skill_13033_Talent_1,,,,,,,0,,,,,,,,
13051,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,
13052,Char_Skill_13052,13,1,,,2,,,113051,,,113051,1,,1,
13053,Char_Skill_13053,13,3,1,2,3,,0,113052,,,113052,1,,,
1130511,Char_Skill_13052_Ex_1,,,,,,,0,,,,,,,,
1130512,Char_Skill_13052_Ex_2,,,,,,,0,,,,,,,,
1130513,Char_Skill_13052_Ex_3,,,,,,,0,,,,,,,,
1130521,Char_Skill_13053_Ex_1,,,,,,,0,,,,,,,,
2130511,Char_Skill_13052_Talent_1,,,,,,,0,,,,,,,,
14011,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,
14012,Char_Skill_14012,14,3,,,2,,1,114011,,,114011,1,4,,
14013,Char_Skill_14013,14,3,1,3,3,,0,,,,,,,,
1140111,Char_Skill_14012_Ex_1,,,,,,,0,,,,,,,,
1140121,Char_Skill_14012_Ex_2,,,,,,,0,,,,,,,,
2140111,Char_Skill_14012_Talent_1,,,,,,,0,,,,,,,,
14021,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,
14022,Char_Skill_14022,14,3,,,2,,1,,,,,,,,
14023,Char_Skill_14023,14,3,1,3,3,,0,,,,,,,,
1140211,Char_Skill_14023_Ex_1,,,,,,,0,,,,,,,,
2140211,Char_Skill_14022_Talent_1,,,,,,,0,,,,,,,,
2140212,Char_Skill_14022_Talent_2,,,,,,,0,,,,,,,,
14031,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,
14032,Char_Skill_14032,14,3,,,2,,1,114031,,,114031,1,,,
14033,Char_Skill_14033,14,4,1,3,3,,0,,,,,,,,
1140311,Char_Skill_14032_Ex_1,,,,,,,0,,,,,,,,
1140321,Char_Skill_14032_Ex_2,,,,,,,0,,,,,,,,
1140341,Char_Skill_14032_Ex_3,,,,,,,0,,,,,,,,
2140311,Char_Skill_14032_Talent_1,,,,,,,0,,,,,,,,
14041,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,
14042,Effect_Damage_Elec_3,14,3,,,2,,1,,,,,,,,
14043,Effect_Damage_Elec_4,14,4,1,2,3,,0,,,,,,,,
14044,Char_Skill_14044,,,,,,,0,,,,,,,,
1140411,Char_Skill_14044_Ex_1,,,,,,,0,,,,,,,,
1140412,Char_Skill_14044_Ex_2,,,,,,,0,,,,,,,,
1140413,Char_Skill_14044_Ex_3,,,,,,,0,,,,,,,,
2140411,Char_Skill_14042_Talent_1,,,,,,,0,,,,,,,,
15011,Effect_Damage_Wind_1,17,1,10,2,1,,1,,,,,,,,
15012,Char_Skill_15012,17,3,,,2,,1,,,,,,,,
15013,Char_Skill_15013,17,3,1,2,3,,0,115011,,,115011,1,4,,
1150111,Char_Skill_15013_Ex_1,,,,,,,,,,,,,,,
1150112,Char_Skill_15013_Ex_2,,,,,,,,,,,,,,,
1150121,Char_Skill_15013_Ex_3,,,,,,,,,,,,,,,
2150111,Char_Skill_15013_Talent_1,,,,,,,0,,,,,,,,
15021,Effect_Damage_Physic_2,17,1,10,2,1,,1,,,,,,,,
15022,Char_Skill_15022,17,3,,,2,,1,,,,,,,,
15023,Char_Skill_15023,17,4,1,3,3,,0,115021,,,115021,1,4,,
1150211,Char_Skill_15023_Ex_1,,,,,,,,,,,,,,,
2150211,Char_Skill_15023_Talent_1,,,,,,,0,,,,,,,,
2150212,Char_Skill_15023_Talent_2,,,,,,,0,,,,,,,,
16011,Effect_Damage_Rock_1,15,1,10,2,1,,1,,,,,,,,
16012,Char_Skill_16012,15,3,,,2,,1,116011,,,116011,1,,,
16013,Char_Skill_16013,15,3,1,3,3,,0,,,,,,,,
2160111,Char_Skill_16012_Talent_1,,,,,,,0,,,,,,,,
2160112,Char_Skill_16012_Talent_2,,,,,,,0,,,,,,,,
16021,Effect_Damage_Physic_2,15,1,10,2,1,,1,,,,,,,,
16022,Char_Skill_16022,15,3,,,2,,1,116021,,,116021,1,,,
16023,Char_Skill_16023,15,4,1,2,3,,0,116022,,,116022,1,,,
1160211,Char_Skill_16022_Ex_1,,,,,,,,,,,,,,,
1160212,Char_Skill_16022_Ex_2,,,,,,,,,,,,,,,
1160221,Char_Skill_16023_Ex_1,,,,,,,,,,,,,,,
1160222,Char_Skill_16023_Ex_2,,,,,,,,,,,,,,,
2160211,Char_Skill_16022_Talent_1,,,,,,,0,,,,,,,,
17011,Effect_Damage_Physic_2,16,1,10,2,1,,1,,,,,,,,
17012,Char_Skill_17012,16,3,,,2,,1,,,,,,,,
17013,Char_Skill_17013,16,3,1,2,3,,0,117011,,,117011,1,4,,
1170111,Char_Skill_17013_Ex_1,,,,,,,,,,,,,,,
1170121,Char_Skill_17013_Ex_2,,,,,,,,,,,,,,,
2170111,Char_Skill_17013_Talent_1,,,,,,,0,,,,,,,,
22011,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,2
22012,Char_Skill_22012,12,3,,,2,,1,,,,122011#122012#122013,3,4,,4
22013,Char_Skill_22013,12,5,,,2,,1,,,,122011#122012#122013,2,3,,8
22014,Char_Skill_22014,12,3,1,3,3,,0,,,,,,,,8
1220111,Char_Skill_22012_Ex_1,,,,,,,0,,,,,,,,
1220121,Char_Skill_22012_Ex_2,,,,,,,0,,,,,,,,
1220131,Char_Skill_22012_Ex_3,,,,,,,0,,,,,,,,
2220111,Char_Skill_22014_Talent_1,,,,,,,0,,,,,,,,
22021,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,2
22022,Char_Skill_22022,12,3,,,2,,1,,,,,,,,4
22023,Effect_Damage_Water_6,12,4,1,2,3,,0,,,,,,,,7
1220211,Char_Skill_22022_Ex_1,,,,,,,0,,,,,,,,
1220212,Char_Skill_22022_Ex_2,,,,,,,0,,,,,,,,
1220221,Char_Skill_22022_Ex_3,,,,,,,0,,,,,,,,
2220211,Char_Skill_22022_Talent_1,,,,,,,0,,,,,,,,
23011,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,3
23012,Char_Skill_23012,13,3,,,2,,1,,,,,,,,3
23013,Effect_Damage_Fire_5,13,3,1,2,3,,0,,,,,,,,6
23014,Char_Skill_23014,,,,,4,,0,,,,,,,,
1230111,Char_Skill_23012_Ex_1,,,,,,,0,,,,,,,,
1230112,Char_Skill_23012_Ex_2,,,,,,,0,,,,,,,,
1230121,Char_Skill_23012_Ex_3,,,,,,,0,,,,,,,,
2230111,Char_Skill_23012_Talent_1,,,,,,,0,,,,,,,,
25011,Effect_Damage_Physic_2,17,1,10,2,1,,1,,,,,,,,2
25012,Char_Skill_25012,17,3,,,2,,1,125011,,,125011,1,4,,4
25013,Char_Skill_25013,11,3,,,2,,1,125012,,,125012,1,4,,4
25014,Effect_Damage_Wind_6,17,3,1,3,3,,0,,,,,,,,8
1250111,Char_Skill_25012_Ex_1,,,,,,,,,,,,,,,
1250112,Char_Skill_25012_Ex_2,,,,,,,,,,,,,,,
1250121,Char_Skill_25013_Ex_1,,,,,,,,,,,,,,,
1250122,Char_Skill_25013_Ex_2,,,,,,,,,,,,,,,
1250131,Char_Skill_25010_Ex_1,,,,,,,,,,,,,,,
2250111,Char_Skill_25012_Talent_1,,,,,,,0,,,,,,,,
26011,Effect_Damage_Physic_2,15,1,10,2,1,,1,,,,,,,,3
26012,Effect_Damage_Physic_3,15,3,,,2,,1,,,,,,,,4
26013,Effect_Damage_Physic_5,15,3,1,2,3,,0,,,,,,,,6
26014,Char_Skill_26014,,,,,4,,0,,,,,,,,
1260111,Char_Skill_26014_Ex_1,,,,,,,,,,,,,,,
1260112,Char_Skill_26014_Ex_2,,,,,,,,,,,,,,,
2260111,Char_Skill_26014_Talent_1,,,,,,,0,,,,,,,,
2260112,Char_Skill_26014_Talent_2,,,,,,,0,,,,,,,,
27011,Effect_Damage_Physic_2,16,1,10,2,1,,1,,,,,,,,2
27012,Char_Skill_27012,16,3,,,2,,1,,,,,,,,4
27013,Char_Skill_27013,16,3,1,2,3,,0,,,,,,,,5
27014,Char_Skill_27014,,,,,4,,0,,,,,,,,
1270111,Char_Skill_27014_Ex_1,,,,,,,,,,,,,,,
1270112,Char_Skill_27014_Ex_2,,,,,,,,,,,,,,,
1270113,Char_Skill_27014_Ex_3,,,,,,,,,,,,,,,
1270114,Char_Skill_27014_Ex_4,,,,,,,,,,,,,,,
1270115,Char_Skill_27014_Ex_5,,,,,,,,,,,,,,,
2270111,Char_Skill_27012_Talent_1,,,,,,,0,,,,,,,,
30011,Effect_Damage_Physic_1,10,2,,,1,,1,,,,,,,,1
30012,Effect_Damage_Physic_2,10,3,,,2,,1,,,,,,,,2
30013,Effect_Damage_Physic_4,3,3,1,2,3,,0,,,,,,,,4
30021,Effect_Damage_Physic_1,10,2,,,1,,1,,,,,,,,1
30022,Effect_Damage_Physic_5,3,3,1,2,3,,0,,,,,,,,5
30023,Char_Skill_30023,,,,,4,,0,,,,,,,,
30031,Effect_Damage_Physic_2,10,3,,,1,,1,,,,,,,,2
30032,Effect_Damage_Physic_3,3,3,,,2,,1,,,,,,,,3
30033,Char_Skill_30033,3,3,1,2,3,,0,,,,,,,,6
30034,Effect_Damage_Physic_6,,,,,3,,0,,1,,,,,,
30035,Char_Skill_30035,,,,,3,,0,,1,,,,,,
30036,Char_Skill_30036,,,,,4,,0,,,,,,,,
1300311,Char_Skill_30033_Ex_1,,,,,,,0,,,,,,,,
1300321,Char_Skill_30033_Ex_2,,,,,,,0,,,,,,,,
31011,Effect_Damage_Physic_2,11,1,10,2,1,,1,,,,,,,,2
31012,Effect_Damage_Physic_3,11,3,,,2,,1,,,,,,,,3
31013,Effect_Damage_Physic_5,11,3,1,2,3,,0,,,,,,,,5
31014,Char_Skill_31014,,,,,4,,0,,,,,,,,
31015,Char_Skill_31015,,,,,4,,0,,1,,,,,,
31021,Effect_Damage_Ice_1,11,1,10,2,1,,1,,,,,,,,2
31022,Effect_Damage_Ice_4,11,3,1,2,3,,0,,,,,,,,5
31023,Char_Skill_30023,,,,,4,,0,,,,,,,,
31031,Effect_Damage_Ice_1,11,1,10,2,1,,1,,,,,,,,2
31032,Effect_Damage_Ice_3,11,3,,,2,,1,,,,,,,,4
31033,Effect_Damage_Ice_5,11,3,1,2,3,,0,,,,,,,,6
31034,Char_Skill_31034,,,,,4,,0,,,,,,,,
31035,Char_Skill_31035,,,,,4,,0,,1,,,,,,
32011,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,2
32012,Char_Skill_32012,12,3,,,2,,1,,,,,,,,4
32013,Char_Skill_32013,12,4,1,3,3,,0,,,,,,,,8
32014,Char_Skill_32014,,,,,4,,0,,,,,,,,
32015,Char_Skill_32015,,,,,4,,0,,1,,,,,,
32016,Char_Skill_32016,,,,,4,,0,,,,,,,,
32021,Effect_Damage_Physic_1,10,2,,,1,,1,,,,,,,,2
32022,Char_Skill_32022,12,3,,,2,,1,132021,,,132021,1,4,,4
32023,Effect_Damage_Water_5,12,3,1,2,3,,0,,,,,,,,6
1320111,Char_Skill_32012_Ex_1,,,,,,,0,,,,,,,,
1320211,Char_Skill_32022_Ex_1,,,,,,,0,,,,,,,,
32031,Effect_Damage_Physic_2,12,1,10,2,1,,1,,,,,,,,2
32032,Char_Skill_32032,12,3,,,2,,1,,,,,,,,3
32033,Char_Skill_32033,12,3,1,3,3,,0,,,,,,,,4
32034,Char_Skill_32034,,,,,4,,0,,,,,,,,
32035,Char_Skill_32035,,,,,4,,0,,1,,,,,,
32041,Effect_Damage_Water_1,12,1,10,2,1,,1,,,,,,,,2
32042,Effect_Damage_Water_4,12,3,1,2,3,,0,,,,,,,,5
32043,Char_Skill_32043,,,,,4,,0,,,,,,,,
33011,Effect_Damage_Fire_1,13,1,10,2,1,,1,,,,,,,,2
33012,Effect_Damage_Fire_3,13,3,,,2,,1,,,,,,,,4
33013,Char_Skill_33013,13,4,1,3,3,,0,,,,,,,,8
33014,Char_Skill_33014,,,,,4,,0,,,,,,,,
33015,Char_Skill_33015,,,,,4,,0,,1,,,,,,
33016,Char_Skill_33016,,,,,4,,0,,,,,,,,
33021,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,4
33022,Effect_Damage_Physic_3,13,3,,,2,,1,,,,,,,,5
33023,Effect_Damage_Physic_5,13,3,1,2,3,,0,,,,,,,,7
33024,Char_Skill_33024,,,,,4,,0,,,,,,,,
33031,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,4
33032,Effect_Damage_Physic_3,13,3,,,2,,1,,,,,,,,5
33033,Char_Skill_33033,13,3,1,2,3,,0,,,,,,,,7
33034,Char_Skill_33034,,,,,4,,0,,,,,,,,
33035,Char_Skill_33035,,,,,4,,0,,,,,,,,
33036,Effect_Damage_Physic_6,,,,,3,,0,,1,,,,,,
33037,Char_Skill_33037,,,,,3,,0,,1,,,,,,
1330321,Char_Skill_33035_Ex_1,,,,,,,0,,,,,,,,
1330331,Char_Skill_33033_Ex_1,,,,,,,0,,,,,,,,
1330341,Char_Skill_33033_Ex_2,,,,,,,0,,,,,,,,
33041,Effect_Damage_Fire_1,13,1,10,2,1,,1,,,,,,,,2
33042,Effect_Damage_Fire_2,13,2,,,2,,1,,,,,,,,3
33043,Effect_Damage_Fire_4,13,3,1,2,3,,0,,,,,,,,5
33051,Effect_Damage_Physic_2,13,1,10,2,1,,1,,,,,,,,2
33052,Char_Skill_33052,13,3,,,2,,1,,,,,,,,4
34011,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,4
34012,Effect_Damage_Physic_3,14,3,,,2,,1,,,,,,,,5
34013,Char_Skill_34013,14,3,1,2,3,,0,,,,,,,,7
34014,Char_Skill_34014,,,,,4,,0,,,,,,,,
34015,Char_Skill_34015,,,,,4,,0,,,,,,,,
34016,Effect_Damage_Physic_6,,,,,3,,0,,1,,,,,,
34017,Char_Skill_34017,,,,,3,,0,,1,,,,,,
1340121,Char_Skill_34015_Ex_1,,,,,,,0,,,,,,,,
1340131,Char_Skill_34013_Ex_1,,,,,,,0,,,,,,,,
1340141,Char_Skill_34013_Ex_2,,,,,,,0,,,,,,,,
34021,Effect_Damage_Elec_1,14,1,10,2,1,,1,,,,,,,,2
34022,Effect_Damage_Elec_4,14,3,1,2,3,,0,,,,,,,,5
34023,Char_Skill_30023,,,,,4,,0,,,,,,,,
34031,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,4
34032,Effect_Damage_Physic_3,14,3,,,2,,1,,,,,,,,5
34033,Effect_Damage_Physic_5,14,3,1,2,3,,0,,,,,,,,7
34034,Char_Skill_34034,,,,,4,,0,,,,,,,,
34051,Effect_Damage_Physic_2,14,1,10,2,1,,1,,,,,,,,2
34052,Effect_Damage_Elec_3,14,3,,,2,,1,,,,,,,,4
34061,Effect_Damage_Elec_1,14,1,10,2,1,,1,,,,,,,,2
34062,Effect_Damage_Elec_4,14,3,1,2,3,,0,,,,,,,,5
34063,Char_Skill_34063,,,,,4,,0,,,,,,,,
35011,Effect_Damage_Physic_1,10,2,,,1,,1,,,,,,,,1
35012,Char_Skill_35012,17,3,,,2,,1,135011,,,135011,1,4,,4
35013,Effect_Damage_Wind_5,17,3,1,2,3,,0,,,,,,,,6
1350111,Char_Skill_35012_Ex_1,,,,,,,,,,,,,,,
35021,Effect_Damage_Physic_2,17,1,10,2,1,,1,,,,,,,,2
35022,Char_Skill_35022,17,3,,,2,,1,,,,,,,,2
35023,Char_Skill_35023,17,3,1,2,3,,0,135021,,,135021,1,,,5
35024,Char_Skill_35024,,,,,4,,0,,1,1,,,,,
35025,Char_Skill_35025,,,,,2,,0,,1,,,,,,
1350211,Char_Skill_35022_Ex_1,,,,,,,,,,,,,,,
1350212,Char_Skill_35022_Ex_2,,,,,,,,,,,,,,,
1350213,Char_Skill_35022_Ex_3,,,,,,,,,,,,,,,
1350214,Char_Skill_35022_Ex_4,,,,,,,,,,,,,,,
37011,Effect_Damage_Grass_1,16,1,10,2,1,,1,,,,,,,,2
37012,Effect_Damage_Grass_3,16,3,,,2,,1,,,,,,,,4
37013,Effect_Damage_Grass_5,16,3,1,2,3,,0,,,,,,,,6
37014,Char_Skill_37014,,,,,4,,0,,,,,,,,
1370111,Char_Skill_37014_Ex_1,,,,,,,,,,,,,,,
1370112,Char_Skill_37014_Ex_2,,,,,,,,,,,,,,,
1370121,Char_Skill_37014_Ex_3,,,,,,,,,,,,,,,
1370131,Char_Skill_37014_Ex_4,,,,,,,,,,,,,,,
1370141,Char_Skill_37014_Ex_5,,,,,,,,,,,,,,,
37031,Effect_Damage_Physic_1,10,2,,,1,,1,,,,,,,,2
37032,Char_Skill_37032,16,3,,,2,,1,137031,,,137031,1,,,4
37033,Effect_Damage_Grass_5,16,3,1,2,3,,0,,,,,,,,6
1370311,Char_Skill_37032_Ex_1,,,,,,,,,,,,,,,
3110001,Effect_Weapon_Dmg_1,,,,,,,0,,,,,,,,
3110002,Effect_Dice_On_E,,,,,,,0,,,,,,,,
3110003,Effect_Db1_On_A,,,,,,,0,,,,,,,,
3112031,Card_Weapon_3112031,,,,,,,0,,,,,,,,
3113031,Card_Weapon_3113031,,,,,,,0,,,,,,,,
3114021,Card_Weapon_3114021,,,,,,,0,,,,,,,,
3115031,Card_Weapon_3115031,,,,,,,0,,,,,,,,
3120011,Card_Reliquary_3120011,,,,,,,0,,,,,,,,
3120021,Card_Reliquary_3120021,,,,,,,0,,,,,,,,
3120031,Card_Reliquary_3120031,,,,,,,0,,,,,,,,
3120041,Card_Reliquary_3120041,,,,,,,0,,,,,,,,
3120051,Card_Reliquary_3120051,,,,,,,0,,,,,,,,
3120061,Card_Reliquary_3120061,,,,,,,0,,,,,,,,
3121011,Effect_Cost_Ice_1,,,,,,,0,,,,,,,,
3121021,Effect_Fix_Ice_2,,,,,,,0,,,,,,,,
3122011,Effect_Cost_Water_1,,,,,,,0,,,,,,,,
