父任务ID,合集ID,父任务组,任务类型,启用模式,Lua脚本路径,推荐等级,可重复,任务奖励RewardID,章节ID,事件ID,关联活动ID,活动类型,VideoKey
390,1003,1003,0,1,Actor/Quest/MQ390,,,100390,1003,,,,
393,1003,1003,0,1,Actor/Quest/MQ393,,,100393,1003,,,,
394,1003,1003,0,1,Actor/Quest/MQ394,,,100394,1003,,,,
398,1003,1003,0,1,Actor/Quest/MQ398,,,100398,1003,,,,
399,,1003,0,1,,,,100399,1003,,,,
400,1003,1003,0,1,Actor/Quest/MQ400,,,,,,,,
396,1003,1003,0,1,Actor/Quest/MQ396,,,100396,1003,,,,
303,,,7,1,,,,,,,,,
318,,,7,1,Actor/Quest/IQ318,,,,,,,,
407,,,7,1,Actor/Quest/SQ407,,,,,,,,
408,,,7,1,Actor/Quest/SQ408,,,,,,,,
409,,,7,1,Actor/Quest/SQ409,,,,,,,,
416,,,7,1,Actor/Quest/SQ416,,,,,,,,
418,,,7,,,,,,,,,,
419,,,7,1,Actor/Quest/MQ419,,,,,,,,
420,,,7,1,Actor/Quest/MQ420,,,,,,,,
421,,,7,1,Actor/Quest/MQ421,,,,,,,,
422,,,7,1,Actor/Quest/MQ422,,,,,,,,
423,,,7,1,,,,,,,,,
424,8001,,2,1,Actor/Quest/SQ424,,,,,,,,
425,,,7,1,Actor/Quest/SQ425,,,,,,,,
426,,,7,1,Actor/Quest/SQ426,,,,,,,,
428,,,7,1,Actor/Quest/SQ428,,,,,,,,
429,,,7,1,Actor/Quest/SQ429,,,,,,,,
451,2005,2005,2,1,Actor/Quest/LQ451,,,100451,2005,,,,
452,2005,2005,2,1,Actor/Quest/LQ452,,,100452,2005,,,,
453,2005,2005,2,1,Actor/Quest/LQ453,,,100453,2005,,,,
454,2005,2005,2,1,Actor/Quest/LQ454,,,100454,2005,,,,
461,2001,2001,2,1,Actor/Quest/LQ461,,,100461,2001,,,,
462,2001,2001,2,1,Actor/Quest/LQ462,,,100462,2001,,,,
463,2001,2001,2,1,Actor/Quest/LQ463,,,100463,2001,,,,
464,2002,2002,2,1,Actor/Quest/LQ464,,,100464,2002,,,,
465,2002,2002,2,1,Actor/Quest/LQ465,,,100465,2002,,,,
466,2002,2002,2,1,Actor/Quest/LQ466,,,100466,2002,,,,
491,,2002,7,1,Actor/Quest/IQ491,,,,2002,,,,
467,,,7,1,Actor/Quest/IQ467,,,100467,,,,,
468,,,5,1,,,,,,,,,
469,,,7,1,Actor/Quest/IQ469,,,,,,,,
470,,,7,1,Actor/Quest/IQ470,,,100470,,,,,
471,,,7,1,Actor/Quest/IQ471,,,,,,,,
481,2003,2003,2,1,Actor/Quest/LQ481,,,100481,2003,,,,
480,2003,2003,2,1,Actor/Quest/LQ480,,,100480,2003,,,,
482,,2003,2,1,Actor/Quest/LQ482,,,,2003,,,,
427,2003,2003,2,1,Actor/Quest/SQ427,,,100427,2003,,,,
484,2003,2003,2,1,Actor/Quest/LQ484,,,100484,2003,,,,
485,2003,2003,2,1,Actor/Quest/LQ485,,,100485,2003,,,,
486,2006,2006,2,1,Actor/Quest/LQ486,,,100486,2006,,,,
487,2006,2006,2,1,Actor/Quest/LQ487,,,100487,2006,,,,
488,2006,2006,2,1,Actor/Quest/LQ488,,,100488,2006,,,,
489,2006,2006,2,1,Actor/Quest/LQ489,,,100489,2006,,,,
490,2006,2006,2,1,Actor/Quest/LQ490,,,100490,2006,,,,
492,2006,2006,2,1,,,,,2006,,,,
500,,,7,1,,,1,,,,,,
501,,,7,1,,,1,,,,,,
502,,,7,1,,,1,,,,,,
503,,,7,1,,,1,,,,,,
504,,,7,1,,,1,,,,,,
505,,,7,1,,,1,,,,,,
506,,,7,1,,,1,,,,,,
507,,,7,1,,,1,,,,,,
508,,,7,1,,,1,,,,,,
509,,,7,1,,,1,,,,,,
515,,,7,1,,,1,,,,,,
516,,,7,1,,,1,,,,,,
517,,,7,1,,,1,,,,,,
518,,,7,1,,,1,,,,,,
519,,,7,1,,,1,,,,,,
520,,,7,1,,,1,,,,,,
521,,,7,1,,,1,,,,,,
522,,,7,1,,,1,,,,,,
523,,,7,1,,,1,,,,,,
524,,,7,1,,,1,,,,,,
990,,,7,1,Actor/Quest/SQ990,,,,,,,,
991,,,7,1,Actor/Quest/SQ991,,,,,,,,
992,,,7,1,Actor/Quest/SQ992,,,,,,,,
993,,,7,1,Actor/Quest/SQ993,,,,,,,,
994,,,7,1,Actor/Quest/SQ994,,,,,,,,
995,,,7,1,,,,,,,,,
996,,,7,1,Actor/Quest/SQ996,,,,,,,,
997,,,7,1,Actor/Quest/SQ997,,,,,,,,
998,,,7,,Actor/Quest/SQ998,,,,,,,,
999,,,7,,Actor/Quest/SQ999,,,,,,,,
1000,1004,1101,0,1,Actor/Quest/MQ1000,,,101000,1101,,,,
1001,1004,1101,0,1,Actor/Quest/MQ1001,,,,1101,,,,
1002,1004,1101,0,1,Actor/Quest/MQ1002,,,101002,1101,,,,
1003,1004,1101,0,1,Actor/Quest/MQ1003,,,101003,1101,,,,
1004,1004,1101,0,1,,,,,1101,,,,
1005,4003,,0,1,,,,,,,,,
1006,4003,,0,1,,,,,,,,,
1007,1004,,0,1,Actor/Quest/MQ1007,,,,,,,,
1008,1004,1101,0,1,Actor/Quest/MQ1008,,,101008,1101,,,,
1009,1004,1101,0,1,Actor/Quest/MQ1009,,,101009,1101,,,,
1018,1004,1101,0,1,Actor/Quest/MQ1018,,,101018,1101,,,,
1010,1005,1101,0,1,Actor/Quest/MQ1010,,,101010,1102,,,,
1011,1005,1101,0,1,Actor/Quest/MQ1011,,,101011,1102,,,,
1012,1005,1101,0,1,Actor/Quest/MQ1012,,,101012,1102,,,,
1014,1005,1101,0,1,Actor/Quest/MQ1014,,,101014,1102,,,,
1013,1005,1101,0,1,Actor/Quest/MQ1013,,,101013,1102,,,,
1015,1005,1101,0,1,Actor/Quest/MQ1015,,,101015,1102,,,,
1016,1005,1101,0,1,Actor/Quest/MQ1016,,,101016,1102,,,,
1017,1005,,0,1,Actor/Quest/MQ1017,,,,,,,,
1020,1006,1101,0,1,Actor/Quest/MQ1020,,,101020,1103,,,,
1021,1006,1101,0,1,Actor/Quest/MQ1021,,,101021,1103,,,,
1022,1006,1101,0,1,Actor/Quest/MQ1022,,,101022,1103,,,,
1023,1006,1101,0,1,Actor/Quest/MQ1023,,,101023,1103,,,,
1024,1006,1101,0,1,Actor/Quest/MQ1024,,,101024,1103,,,,
1025,1006,1101,0,1,Actor/Quest/MQ1025,,,101025,1103,,,,
1026,,,0,1,,,,,,,,,
10100,2004,2004,2,1,Actor/Quest/LQ10100,,,110100,2004,,,,
10101,2004,2004,2,1,Actor/Quest/LQ10101,,,110101,2004,,,,
10110,2013,2013,2,1,Actor/Quest/LQ10110,,,110110,2013,,,,
10111,2013,2013,2,1,Actor/Quest/LQ10111,,,110111,2013,,,,
10112,2013,2013,2,1,Actor/Quest/LQ10112,,,110112,2013,,,,
10113,2013,2013,2,1,Actor/Quest/LQ10113,,,110113,2013,,,,
10114,2013,2013,2,1,Actor/Quest/LQ10114,,,,,,,,
10200,2009,2009,2,1,Actor/Quest/LQ10200,,,110200,2009,,,,
10201,2009,2009,2,1,Actor/Quest/LQ10201,,,110201,2009,,,,
10202,2009,2009,2,1,Actor/Quest/LQ10202,,,110202,2009,,,,
10203,2009,2009,2,1,Actor/Quest/LQ10203,,,,,,,,
10300,8001,,2,1,,,,,,,,,
11000,2007,2007,2,1,Actor/Quest/LQ11000,,,111000,2007,,,,
11001,2007,2007,2,1,Actor/Quest/LQ11001,,,111001,2007,,,,
11002,2007,2007,2,1,Actor/Quest/LQ11002,,,111002,2007,,,,
11003,2007,2007,2,1,Actor/Quest/LQ11003,,,111003,2007,,,,
11004,2007,2007,2,1,Actor/Quest/LQ11004,,,111004,2007,,,,
11005,2007,2007,2,1,Actor/Quest/LQ11005,,,111005,2007,,,,
11006,8001,,2,1,,,,,,,,,
11007,8001,,2,1,,,,,,,,,
12000,2008,2008,2,1,Actor/Quest/LQ12000,,,112000,2008,,,,
12001,2008,2008,2,1,Actor/Quest/LQ12001,,,112001,2008,,,,
12002,2008,2008,2,1,Actor/Quest/LQ12002,,,112002,2008,,,,
12003,2008,2008,2,1,Actor/Quest/LQ12003,,,112003,2008,,,,
11100,2011,2011,2,1,Actor/Quest/LQ11100,,,111100,2011,,,,
11101,2011,2011,2,1,Actor/Quest/LQ11101,,,111101,2011,,,,
11102,2011,2011,2,1,Actor/Quest/LQ11102,,,111102,2011,,,,
11103,2011,2011,2,1,Actor/Quest/LQ11103,,,111103,2011,,,,
11104,2011,2011,2,1,Actor/Quest/LQ11104,,,,,,,,
20000,,,7,,Actor/Quest/IQ20000,,,,,,,,
20001,,,5,,Actor/Quest/IQ20001,,1,500011,,20500,,,
20005,,,5,,Actor/Quest/IQ20005,,1,,,20400,,,
20006,,,5,,Actor/Quest/IQ20006,,1,501000,,20300,,,
20007,,,5,,Actor/Quest/IQ20007,,1,,,20100,,,
20008,,,5,,Actor/Quest/IQ20008,,1,,,20200,,,
20009,,,5,,Actor/Quest/IQ20009,,1,0#500001,,20700,,,
20010,,,5,,Actor/Quest/IQ20010,,1,0#500001,,20701,,,
20016,,,5,,Actor/Quest/IQ20016,,1,501001,,20301,,,
20011,,,5,,Actor/Quest/IQ20011,,1,500009,,20501,,,
20012,,,5,,Actor/Quest/IQ20012,,1,500010,,20502,,,
20013,,,5,,Actor/Quest/IQ20013,,1,500012,,20503,,,
20015,,,5,,Actor/Quest/IQ20015,,1,0#500001,,20702,,,
20017,,,5,,Actor/Quest/IQ20017,,1,,,20101,,,
20018,,,5,,Actor/Quest/IQ20018,,1,,,20102,,,
20019,,,5,,Actor/Quest/IQ20019,,1,,,20403,,,
20023,,,5,,Actor/Quest/IQ20023,,1,,,22600,,,
20025,,,5,,Actor/Quest/IQ20025,,1,,,20401,,,
20026,,,5,,Actor/Quest/IQ20026,,1,501002,,20302,,,
20027,,,5,,Actor/Quest/IQ20027,,1,,,20201,,,
20028,,,5,,Actor/Quest/IQ20028,,1,,,20202,,,
20035,,,5,,Actor/Quest/IQ20035,,1,,,20402,,,
20036,,,5,,Actor/Quest/IQ20036,,1,500011,,21000,,,
20037,,,5,,Actor/Quest/IQ20037,,1,,,21100,,,
20038,,,5,,Actor/Quest/IQ20038,,1,,,20900,,,
20039,,,5,,Actor/Quest/IQ20039,,1,500031#500032#500033,,21200,,,
20040,,,5,,Actor/Quest/IQ20040,,1,500013,,20600,,,
20041,,,5,,,,1,,,21300,,,
20042,,,5,,Actor/Quest/IQ20042,,1,,,21400,,,
20043,,,5,,Actor/Quest/IQ20043,,1,500004,,21500,,,
20044,,,5,,,,1,,,21600,,,
20047,,,5,,Actor/Quest/IQ20047,,1,,,21800,,,
20048,,,5,,Actor/Quest/IQ20048,,1,0#500014,,21700,,,
20049,,,5,,Actor/Quest/IQ20049,,1,,,21900,,,
20050,,,5,,,,1,,,21601,,,
20051,,,5,,Actor/Quest/IQ20051,,1,500001#500015#500016#500017#500018#500019#500020#500021#500022#500023#500024#500025#500026#500027#500028#500029#500030,,22000,,,
20053,,,5,,,,1,,,21602,,,
20054,,,5,,Actor/Quest/IQ20054,,1,500011#500001#500004#500018#500003,,22100,,,
20058,,,5,,Actor/Quest/IQ20058,,1,500100#500101,,22200,,,
20059,,,5,,Actor/Quest/IQ20059,,1,500102#500103#500104,,22900,,,
20060,,,5,,Actor/Quest/IQ20060,,1,,,22500,,,
20061,,,5,,Actor/Quest/IQ20061,,1,,,22700,,,
20062,,,5,,Actor/Quest/IQ20062,,1,500035#500036,,22400,,,
20063,,,5,,Actor/Quest/IQ20063,,1,,,22800,,,
20064,,,5,,Actor/Quest/IQ20064,,1,,,22400,,,
20065,,,5,,,,1,,,21603,,,
20066,,,5,,,,1,,,21604,,,
20102,,,5,,Actor/Quest/IQ20102,,1,,,23000,,,
20103,,,5,,Actor/Quest/IQ20103,,1,,,23300,,,
22000,,,5,,Actor/Quest/IQ22000,,1,,,26100,,,
22001,,,5,,Actor/Quest/IQ22001,,1,,,26200,,,
22002,,,5,,Actor/Quest/IQ22002,,1,,,26300,,,
22003,,,5,,Actor/Quest/IQ22003,,1,,,26400,,,
22004,,,5,,Actor/Quest/IQ22004,,1,,,26500,,,
22005,,,5,,Actor/Quest/IQ22005,,1,,,26800,,,
22006,,,5,,Actor/Quest/IQ22006,,1,,,26801,,,
22007,,,5,,Actor/Quest/IQ22007,,1,,,26802,,,
22008,,,5,,Actor/Quest/IQ22008,,1,,,27000,,,
22100,,,5,,,,1,,,25300,,,
22101,,,5,,,,1,,,25301,,,
22102,,,5,,,,1,,,25302,,,
22103,,,5,,,,1,,,25400,,,
22104,,,5,,,,1,,,25401,,,
22105,,,5,,,,1,,,25402,,,
22106,,,5,,Actor/Quest/IQ22106,,1,,,25100,,,
22107,,,5,,Actor/Quest/IQ22107,,1,,,25200,,,
22108,,,5,,,,1,,,25000,,,
22109,,,5,,,,1,,,25001,,,
22110,,,5,,,,1,,,25002,,,
22111,,,7,,,,,122111,,,,,
22112,,,5,,Actor/Quest/IQ22112,,1,,,26600,,,
22113,,,5,,Actor/Quest/IQ22113,,1,,,26700,,,
22115,,,5,,Actor/Quest/IQ22115,,1,,,28100,,,
22116,,,5,,Actor/Quest/IQ22116,,1,,,28200,,,
22117,,,5,,Actor/Quest/IQ22117,,1,,,28300,,,
22300,,,5,,Actor/Quest/IQ22300,,1,0#500105#500106,,25500,,,
22301,,,5,,Actor/Quest/IQ22301,,1,500107#500108#500109,,25600,,,
22302,,,5,,Actor/Quest/IQ22302,,1,,,25700,,,
22303,,,5,,Actor/Quest/IQ22303,,1,500110,,25800,,,
22304,,,5,,Actor/Quest/IQ22304,,1,500111,,25900,,,
22305,,,5,,Actor/Quest/IQ22305,,1,500112#500113#500114#500115#500116#500117#500118#500119#500120#500121#500122#500123#500124#500125,,26000,,,
22306,,,5,,Actor/Quest/IQ22306,,1,500111,,25901,,,
22307,,,5,,Actor/Quest/IQ22307,,1,500111,,25902,,,
20030,,,7,1,Actor/Quest/IQ20030,,,120030,,,,,
20031,,,7,,Actor/Quest/IQ20031,,,120031,,,,,
20032,,,7,,Actor/Quest/IQ20032,,,,,,,,
20500,,,7,1,Actor/Quest/IQ20500,,,,,,,,
20501,,,7,,Actor/Quest/IQ20501,,,,,,,,
20502,,,7,,Actor/Quest/IQ20502,,,,,,,,
20503,,,7,1,Actor/Quest/IQ20503,,,,,,,,
20504,,,7,1,Actor/Quest/IQ20504,,,,,,,,
20505,,,7,1,Actor/Quest/IQ20505,,,,,,,,
20506,,,7,1,Actor/Quest/IQ20506,,,,,,,,
20507,,,7,1,Actor/Quest/IQ20507,,,,,,,,
20508,,,7,1,Actor/Quest/IQ20508,,,,,,,,
20509,,,7,1,Actor/Quest/IQ20509,,,,,,,,
20510,,,7,1,,,,,,,,,
20100,,,7,1,,,,120100,,,,,
21001,,,7,,,,,,,,,,
21002,,,7,,,,,,,,,,
21003,,,7,,,,,121003,,,,,
21004,,,7,,Actor/Quest/IQ21004,,,121004,,,,,
21005,,,7,,Actor/Quest/IQ21005,,,,,,,,
21007,,,7,,Actor/Quest/IQ21007,,,121007,,,,,
21008,,,7,,,,,,,,,,
21009,,,7,,,,,121009,,,,,
21010,,,7,1,,,,,,,,,
21011,,,7,1,,,,,,,,,
21012,,,7,1,Actor/Quest/IQ21012,,,,,,,,
21013,,,7,1,,,,,,,,,
21014,,,7,1,Actor/Quest/IQ21014,,,,,,,,
21015,,,7,,Actor/Quest/LQ21015,,,121015,,,,,
21016,,,7,,Actor/Quest/IQ21016,,,,,,,,
21017,,,7,,Actor/Quest/IQ21017,,,,,,,,
21018,,,7,,Actor/Quest/IQ21018,,,,,,,,
21019,,,7,,Actor/Quest/LQ21019,,,,,,,,
21020,,,7,,,,,121020,,,,,
21021,,,7,,Actor/Quest/WQ21021,,,121021,,,,,
21022,,,7,,Actor/Quest/WQ21022,,,121022,,,,,
21023,,,7,,Actor/Quest/WQ21023,,,121023,,,,,
21024,,,7,,Actor/Quest/WQ21024,,,121024,,,,,
21025,,,7,1,,,,121025,,,,,
70005,,,7,,,,,,,,,,
25000,,,7,1,,,,,,,,,
25001,,,7,1,,,,125001,,,,,
25002,,,7,1,,,,,,,,,
25003,,,7,1,,,,125003,,,,,
25004,,,7,1,,,,,,,,,
25005,,,7,1,,,,125005,,,,,
25006,,,7,1,,,,,,,,,
25007,,,7,1,,,,125007,,,,,
25008,,,7,1,,,,,,,,,
25009,,,7,1,,,,125009,,,,,
25010,,,7,1,,,,,,,,,
25011,,,7,1,,,,125011,,,,,
25012,,,7,1,,,,,,,,,
25013,,,7,1,,,,125013,,,,,
71001,,,7,,,,,,,,,,
71002,,,7,,,,,,,,,,
71004,,,7,,,,,,,,,,
71555,,,7,,Actor/Quest/WQ71555,,,171555,,,,,
71009,,,7,,,,,,,,,,
40001,,10001,3,1,Actor/Quest/EQ40001,,,,10001,,,,
40002,,10001,3,1,Actor/Quest/EQ40002,,,,10002,,,,
40003,,10001,3,1,Actor/Quest/EQ40003,,,,10003,,,,
40004,,10001,3,1,Actor/Quest/EQ40004,,,,10004,,,,
40005,,10001,3,1,Actor/Quest/EQ40005,,,,10005,,,,
40006,,10001,3,1,Actor/Quest/EQ40006,,,,,,,,
40007,,10001,3,1,Actor/Quest/EQ40007,,,,,,,,
40008,,10001,3,1,,,,,,,,,
40009,,10001,3,1,,,,,,,,,
40911,,,3,1,Actor/Quest/EQ40911,,,490014,,,,2,
