商品ID,商店类型,对应物品ID,轮替商品ID,对应物品数量,消耗金币,消耗水晶,消耗创世结晶,[消耗物品]1ID,[消耗物品]1数量,[消耗物品]2ID,[消耗物品]2数量,[消耗物品]3ID,[消耗物品]3数量,[消耗物品]4ID,[消耗物品]4数量,限购数量,[限购条件]1类型,[限购条件]1参数,[限购条件]1数量,刷新类型,刷新参数,提前预览天数,上架时间,下架时间,是否终身限购,前置条件,前置条件参数,条件参数1,条件参数2,前置条件屏蔽显示,最小可见等级,最小队伍等级,最大队伍等级,排序等级,二级页签ID,n选1组ID,显示平台
217053,2000,331029,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217054,2000,331030,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217055,2000,331031,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217056,2000,331032,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217057,2000,331033,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217058,2000,331034,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217059,2000,332000,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217060,2000,332001,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217061,2000,332002,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217062,2000,332003,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217063,2000,332004,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217064,2000,332005,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217066,2000,332007,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217067,2000,332008,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217068,2000,332009,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217069,2000,332010,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217070,2000,332011,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217071,2000,332012,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217072,2000,332013,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217073,2000,332014,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217074,2000,332015,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217075,2000,332016,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217076,2000,332017,,1,,,,107021,700,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217077,2000,332018,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217078,2000,332019,,1,,,,107021,700,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217079,2000,333000,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217080,2000,333001,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217081,2000,333002,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217082,2000,333003,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217083,2000,333004,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217084,2000,333005,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217085,2000,333006,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217086,2000,333007,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217087,2000,333008,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217088,2000,333009,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217089,2000,333010,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217090,2000,333011,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217091,2000,333012,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217092,2000,333013,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,6,,,
217094,2000,333015,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217096,2000,333017,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217097,2000,333018,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217098,2000,333019,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217099,2000,333020,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217100,2000,333021,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217101,2000,333022,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217102,2000,333023,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217103,2000,333024,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217104,2000,333025,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217105,2000,333026,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217106,2000,333027,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217107,2000,333028,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,5,,,
217108,2000,333029,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217109,2000,333030,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217110,2000,333031,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217111,2000,333032,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217112,2000,333033,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217114,2000,333035,,1,,,,107021,500,,,,,,,2,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
217115,2000,333036,,1,,,,107021,500,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,,,,,,1,1,99,4,,,
218001,2001,334000,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218002,2001,334001,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218003,2001,334002,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218004,2001,334003,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218005,2001,334004,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218006,2001,334005,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218007,2001,334006,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218008,2001,334007,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218009,2001,334008,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218011,2001,334010,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218012,2001,334011,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218013,2001,334012,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218014,2001,334013,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218015,2001,334014,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218016,2001,334015,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218017,2001,334016,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218018,2001,334017,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218019,2001,334018,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218020,2001,334019,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218021,2001,334020,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218022,2001,334021,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218023,2001,334022,,1,,,,107021,4000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,1,,,
218047,2001,335000,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218048,2001,335001,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218049,2001,335002,,1,,,,107021,2000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218050,2001,335003,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218051,2001,335004,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218052,2001,335005,,1,,,,107021,2000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218053,2001,335006,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218054,2001,335007,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218055,2001,335008,,1,,,,107021,2000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218056,2001,335009,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218057,2001,335010,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218058,2001,335011,,1,,,,107021,2000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218059,2001,335012,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218060,2001,335013,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218061,2001,335014,,1,,,,107021,2000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218062,2001,335015,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218063,2001,335016,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218064,2001,335017,,1,,,,107021,600,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218065,2001,335018,,1,,,,107021,600,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218066,2001,335019,,1,,,,107021,600,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218067,2001,335020,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218068,2001,335021,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218069,2001,335022,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218070,2001,335023,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218071,2001,335024,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218072,2001,335025,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218073,2001,335026,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218074,2001,335027,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218075,2001,335028,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218076,2001,335029,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218077,2001,335030,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218078,2001,335031,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218079,2001,335032,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218080,2001,335033,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218081,2001,335034,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218082,2001,336000,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218083,2001,336001,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218084,2001,336002,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218085,2001,336003,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218086,2001,336004,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218087,2001,336005,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218088,2001,336006,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218089,2001,336007,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218090,2001,336008,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218091,2001,336009,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218092,2001,336010,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218093,2001,336011,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218094,2001,336012,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218095,2001,336013,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218096,2001,336014,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218097,2001,336015,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218098,2001,336016,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218099,2001,336017,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,5,,,
218100,2001,336018,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218101,2001,336019,,1,,,,107021,1400,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,4,,,
218102,2001,337000,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218103,2001,337001,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218104,2001,337002,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218105,2001,337003,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
218106,2001,337004,,1,,,,107021,1000,,,,,,,1,,,,,,,2019-12-01 00:00:00,2035-01-01 00:00:00,,10,,7,,,1,1,99,6,,,
