ID,观察者WatcherID,消息奖励RewardID,教程ID,图鉴类型,组ID
3012,3012,300001,409,3,
3101,3101,300001,410,3,
3102,3102,300001,411,3,
3103,3103,300001,412,3,
3104,3104,300001,413,3,
3105,3105,300001,414,3,
4001,4001,300001,500,4,
4002,4002,300001,501,4,
4003,4003,300001,502,4,
4004,4004,300001,503,4,
5001,5001,300001,601,3,
5002,5002,300001,602,3,
6001,,,257,999,
6002,,,801,999,
6003,,,802,999,
6004,,,803,999,
6005,,,804,999,
6006,,,805,999,
6007,,,806,999,
6008,,,807,999,
6009,,,808,999,
6010,,,809,999,
6011,,,810,999,
6012,,,813,999,
6013,,,814,999,
6014,,,815,999,
6015,,,816,999,
6016,,,817,999,
6017,,,818,999,
6018,,,820,999,
6019,,,821,999,
6020,,,822,999,
6021,,,823,999,
6022,,,824,999,
6023,,,825,999,
6024,,,826,999,
6025,,,827,999,
6026,,,828,999,
6027,,,829,999,
6028,,,830,999,
6029,1105,300001,817,4,
6030,,,831,999,
6031,,,910,999,
6032,,,832,999,
6033,,,911,999,
6034,,,833,999,
6035,,,834,999,
6036,,,835,999,
6037,,,836,999,
6038,,,837,999,
6039,,,838,999,
6040,,,839,999,
6043,,,842,999,
6044,,,843,999,
6045,,,844,999,
6046,,,845,999,
6047,,,846,999,
6048,,,847,999,
6049,,,848,999,
6050,,,849,999,
6051,,,850,999,
6052,,,851,999,
6053,,,853,999,
6054,,,854,999,
6055,,,855,999,
6056,,,856,999,
6057,,,857,999,
6058,,,858,999,
6059,,,859,999,
6060,,,860,999,
6061,,,861,999,
6062,,,1173,999,
6063,,,869,999,
6064,,,870,999,
6065,,,871,999,
6066,,,872,999,
6067,,,873,999,
6068,,,874,999,
6069,,,875,999,
6070,,,866,999,
6071,,,876,999,
6072,,,1212,999,
6073,,,1213,999,
6074,,,1214,999,
6075,,,877,999,
6076,,,878,999,
6077,,,879,999,
6078,,,880,999,
6079,,,881,999,
6080,,,882,999,
6081,,,883,999,
6082,,,884,999,
6083,,,885,999,
6084,,,886,999,
6085,,,887,999,
6086,,,888,999,
6087,,,889,999,
6088,,,890,999,
6089,,,891,999,
6090,,,892,999,
6091,,,893,999,
6092,,,894,999,
6093,,,895,999,
6094,,,896,999,
6095,,,897,999,
6096,,,898,999,
6097,,,914,999,
6098,,,915,999,
7001,7001,300001,701,4,
7002,7002,300001,702,4,
7003,7003,300001,703,4,
7004,7004,300001,704,4,
7005,7005,300001,705,4,
7006,7006,300001,706,4,
7007,7007,300001,707,4,
7008,7008,300001,708,4,
7009,7009,300001,709,4,
9000,,,900,999,
9001,,,901,999,
9002,,,902,999,
9003,,,905,999,
9004,,,906,999,
9007,,,907,999,
9008,,,908,999,
9009,,,909,999,
9010,,,812,999,
9011,,,912,999,
9012,,,913,999,
10001,,,1021,999,
10002,,,191,999,
10003,,,1030,999,
10004,,,1031,999,
10005,,,1029,999,
10006,,,1032,999,
10007,,,1033,999,
10008,,,1034,999,
10009,,,1035,999,
10010,,,1036,999,
10011,,,1037,999,
10012,,,1217,999,
11001,,,1101,999,
11002,,,1102,999,
11003,,,1103,999,
11004,,,1104,999,
11005,,,1105,999,
11006,,,1106,999,
11007,,,1107,999,
11008,,,1108,999,
11009,,,1109,999,
11010,,,1110,999,
11011,,,1111,999,
11012,,,1112,999,
11013,,,1113,999,
11014,,,1114,999,
11015,,,1115,999,
11016,,,1116,999,
11017,,,1117,999,
11018,,,1118,999,
11019,,,1119,999,
11020,,,1120,999,
11021,,,1121,999,
11022,,,1123,999,
11025,,,1125,999,
11026,,,1126,999,
11027,,,1136,999,
11029,,,1129,999,
11030,,,1130,999,
11031,,,1131,999,
11032,,,1132,999,
11033,,,1133,999,
11034,,,1134,999,
11035,,,1135,999,
11036,,,852,999,
11037,,,1137,999,
11038,,,1138,999,
11039,,,1139,999,
11040,,,1140,999,
11041,,,1141,999,
11042,,,1142,999,
11043,,,1143,999,
12001,9001,,1201,998,
12002,9002,,1201,998,
12003,9003,,1201,998,
12004,9004,,1204,998,
12005,9005,,1205,998,
12006,9006,,1206,998,
12007,9007,,1207,998,
12008,9008,,1208,998,
12009,9009,,1205,998,
12010,9010,,1206,998,
12011,9011,,1207,998,
12012,9012,,1209,998,
12013,,,1224,999,
12014,,,1219,999,
12017,,,1220,999,
12018,,,1221,999,
12019,,,1222,999,
12020,,,1223,999,
12021,,,1218,999,
12022,,,1242,999,
11044,,,1144,999,
11045,,,1145,999,
11046,,,1146,999,
11047,,,1147,999,
11048,,,1148,999,
11049,,,1149,999,
11050,,,1150,999,
11051,,,1151,999,
11052,,,1152,999,
11053,,,1153,999,
11054,,,1149,999,
11055,,,1154,999,
11056,,,1155,999,
11057,,,1156,999,
11058,,,1157,999,
11059,,,1159,999,
11060,,,1160,999,
11061,,,1161,999,
11062,,,1162,999,
11063,,,1163,999,
11064,,,1164,999,
11066,,,1166,999,
11084,,,1184,999,
12015,,,1215,999,
12016,,,1216,999,
12023,,,1245,999,
12024,,,1246,999,
12031,,,1251,999,
12032,,,1252,999,
12033,,,1253,999,
12034,,,1254,999,
12035,,,1255,999,
12036,,,1274,999,
12037,,,1275,999,
12038,,,1276,999,
12039,10045,300001,1277,4,
12040,10046,300001,1278,4,
12041,,,1279,999,
12042,,,1288,999,
12043,,,1291,999,
12044,,,1292,999,
12045,,,1293,999,
12082,,,1282,999,
