ID	类型	对应角色	对话ID	事件奖励	对应家具套装ID	持续时间	顺序	解锁条件类型1	条件详细值1	解锁条件类型2	条件详细值2
5911	2	10000059	6905907		49	300					
5912	2	10000059	6905908		56	300					
6001	1	10000069	6906910	4110541	60		105				
6002	1	10000069	6906911	4110542	73		106				
6011	2	10000069	6906910		60	300					
6012	2	10000069	6906911		73	300					
6101	1	10000067	6906710	4110551	60		107				
6102	1	10000067	6906711	4110552	67		108				
6111	2	10000067	6906710		60	300					
6112	2	10000067	6906711		67	300					
6201	1	10000068	6906810	4110531	61		109				
6202	1	10000068	6906811	4110532	66		110				
6211	2	10000068	6906810		61	300					
6212	2	10000068	6906811		66	300					
6301	1	10000070	6907010	4110581	61		111				
6302	1	10000070	6907011	4110582	68		112				
6311	2	10000070	6907010		61	300					
6312	2	10000070	6907011		68	300					
6401	1	10000071	6907110	4110561	67		113				
6402	1	10000071	6907111	4110562	63		114				
6411	2	10000071	6907110		67	300					
6412	2	10000071	6907111		63	300					
6501	1	10000072	6907210	4110571	65		115				
6502	1	10000072	6907211	4110572	70		116				
6511	2	10000072	6907210		65	300					
6512	2	10000072	6907211		70	300					
6601	1	10000073	6907307	4110601	64		117				
6602	1	10000073	6907308	4110602	72		118				
6611	2	10000073	6907307		64	300					
6612	2	10000073	6907308		72	300					
6701	1	10000074	6907407	4110591	64		119				
6702	1	10000074	6907408	4110592	70		120				
6711	2	10000074	6907407		64	300					
6712	2	10000074	6907408		70	300					
6801	1	10000075	6907507	4110621	69		121				
6802	1	10000075	6907508	4110622	73		122				
6811	2	10000075	6907507		69	300					
6812	2	10000075	6907508		73	300					
6901	1	10000076	6907607	4110611	63		123				
6902	1	10000076	6907608	4110612	66		124				
6911	2	10000076	6907607		63	300					
6912	2	10000076	6907608		66	300					
