衰减序列预置名	序列重置时间	元素含量衰减序列	破霸体值衰减序列	伤害衰减序列
Fafnir_ElementAtk	0.5	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1
Fafnir_Air_ChestAtk	2	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Fafnir_Air_WingAtk	0.5	1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0
Gargoyle_Airborne_Normalatk	0.5	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Gargoyle_Ground_ChargeAtk	0.3	1,0.5,0.2,0	1,0.5,0.2,0	1,0.5,0.2,0
Gargoyle_ElementAtk	0.5	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1
Airborne_ChestAtk	0.3	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1	1,0.3,0.1,0.1,0.1,0.1,0.1
Collei_Boomerang_Go	5	1,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0
Collei_Boomerang_Back	5	1,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0
Fungus_Trois_Atk	0.5	1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0
DendroTornado_Atk	2	1,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0	1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tighnari	2.5	1,0,0,0,1,0,0,0,1,0,0,0,	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Collei_Elemental_Burst	3	1,0,0,0,0,0,0,0,0,0,0,0,	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Dori_Elemental_Burst	3	1,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Monster_Nada_EnergyFire_Bullet	2	1,0,0,0	1,0.5,0.25,0.1	1,0.5,0.25,0.1
Monster_Nada_EnergySpray	2	1,0,0,0	1,0.5,0.25,0.1	1,0.5,0.25,0.1
Nilou_Sustained_Water	1.9	1,0,0,0,1,0,0,0,1,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Monster_Nada_Tile_Ice	3	1,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1
Monster_Nada_Tile_Fire	3	1,0,0,0,0,0	1,1,1,1,1,1	1,1,1,1,1,1
Cyno_ElementalArt	2.5	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyno_ElementalArt_Bullet	0.2	1,0,0,0,0,0,0	1,0,0,0,0,0,0	1,0,0,0,0,0,0
Cyno_ElementalArt_Blade	2.5	1,0,0,0,0,0,0,0,0,0,0	1,1,1,0,0,0,0,0,0,0,0	1,1,1,0,0,0,0,0,0,0,0
Cyno_Constellation_6	2.5	1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fungus_Amanita_Du_Anudatta_ShootBullet	3	1,1,1,1,1,1,1	1,1,1,1,1,1,1	1,0.5,0.5,0.1,0.1,0,0
Effigy_Fire_BurningGround_Elite	2	1,0,1,0,1,0	1,1,1,1,1,1	1,0.5,0.3,0.2,0,0
Eremite_Longbow_DropAttack_Wind	1	1,0,0,0,0,0	1,0,0,0,0,0	1,0,0,0,0,0
Eremite_Katar_RockBomb_Rock	1	1,1,1,1,1,1,1	1,1,1,0,0,0,0	1,0.5,0.2,0.2,0.2,0.2,0
ElementReaction_Burning_Attenuation	2	1,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,0,0,0,0,0,0
Monster_Fungus_Raptor_ChargeAttack	3	1,1,1,1,1,1,1,1	1,0.4,0.1,0.1,0.1,0.1,0,0	1,0.4,0.1,0.1,0.1,0.1,0,0
Monster_Fungus_Raptor_ShootAttack	1	1,1,1,1,1	1,1,1,1,1,1	1,0.5,0.5,0.1,0.1
Monster_Fungus_Raptor_PowerAttack	1	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1	1,0.5,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01
Monster_Fungus_Raptor_ConfuseMeleeAttack	6	1,1,1,1	1,1,1,1	1,0.5,0.5,0.5
FungusFight_General	5	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1
FungusFight_Trois_FireRing	4	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1
Monster_Gadget_Attenuation_01	0.5	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effigy_Ice_RangeAtk	4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Effigy_Fire_Elite_MultiAtk1	2	1,0,1,0,1,0	1,0,1,0,1,0	1,0,1,0,1,0
Layla_ElementalArt_Bullet	3	1,0,0,0,0,0,0,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Nahida_Chain_Normal	1	1.5,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nahida_Chain_Constellation	2.5	1,0,0,1,0,0,1,0,0,1,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1
Monster_Nada_LaserArray	1.6	1,0,0	1,0.5,0.25,	1,0.5,0.25
Barbara_WetShield	2.5	1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
