ID	角色ID	开启条件1类型	开启条件1参数列表	开启条件2类型	开启条件2参数列表	完成条件1类型	完成条件1参数列表
40207	10000047	1	4	11	2021	10	
40208	10000047	1	6			10	
3201	10000002					10	
3202	10000002	1	2			10	
3203	10000002	1	3			10	
3204	10000002	1	4			10	
3205	10000002	1	5			10	
3206	10000002	1	6			10	
3207	10000002	1	4			10	
3208	10000002	1	6			10	
49201	10000049					10	
49202	10000049	1	2			10	
49203	10000049	1	3			10	
49204	10000049	1	4			10	
49205	10000049	1	5			10	
49206	10000049	1	6			10	
49207	10000049	1	4			10	
49208	10000049	1	6			10	
53201	10000053					10	
53202	10000053	1	2			10	
53203	10000053	1	3			10	
53204	10000053	1	4			10	
53205	10000053	1	5			10	
53206	10000053	1	6			10	
53207	10000053	1	4			10	
53208	10000053	1	6			10	
52201	10000052					10	
52202	10000052	1	2	11	2021	10	
52203	10000052	1	3	11	2021	10	
52204	10000052	1	4	11	2021	10	
52205	10000052	1	5	11	2021	10	
52206	10000052	1	6	6	1201812	10	
52207	10000052	1	4	11	2021	10	
52208	10000052	1	6	11	2021	10	
54201	10000054					10	
54202	10000054	1	2			10	
54203	10000054	1	3			10	
54204	10000054	1	4			10	
54205	10000054	1	5			10	
54206	10000054	1	6			10	
54207	10000054	1	4	6	1202405	10	
54208	10000054	1	6			10	
56201	10000056					10	
56202	10000056	1	2			10	
56203	10000056	1	3			10	
56204	10000056	1	4			10	
56205	10000056	1	5			10	
56206	10000056	1	6			10	
56207	10000056	1	4			10	
56208	10000056	1	6			10	
62201	10000062					10	
62202	10000062	1	2			10	
62203	10000062	1	3			10	
62204	10000062	1	4			10	
62205	10000062	1	5			10	
62206	10000062	1	6			10	
50200	10000050	0		0		10	
50201	10000050	1	2	0		10	
50202	10000050	1	3	0		10	
50203	10000050	1	4	0		10	
50204	10000050	1	5	0		10	
50205	10000050	1	6	0		10	
50206	10000050	1	4	0		10	
50207	10000050	1	6	0		10	
57200	10000057	0		0		10	
57201	10000057	1	2	0		10	
57202	10000057	1	3	0		10	
57203	10000057	1	4	0		10	
57204	10000057	1	5	0		10	
57205	10000057	1	6	6	1202618	10	
57206	10000057	1	4	0		10	
57207	10000057	1	6	0		10	
55200	10000055	0		0		10	
55201	10000055	1	2	0		10	
55202	10000055	1	3	0		10	
55203	10000055	1	4	0		10	
55204	10000055	1	5	0		10	
55205	10000055	1	6	0		10	
55206	10000055	1	4	0		10	
55207	10000055	1	6	0		10	
63200	10000063	0		0		10	
63201	10000063	1	2	0		10	
63202	10000063	1	3	0		10	
63203	10000063	1	4	6	1101505	10	
63204	10000063	1	5	6	1101505	10	
63205	10000063	1	6	6	1101505	10	
63206	10000063	1	4	6	1101505	10	
63207	10000063	1	6	6	1101505	10	
64200	10000064	0		0		10	
64201	10000064	1	2	0		10	
64202	10000064	1	3	0		10	
64203	10000064	1	4	0		10	
64204	10000064	1	5	0		10	
64205	10000064	1	6	0		10	
64206	10000064	1	4	0		10	
64207	10000064	1	6	0		10	
58200	10000058	0		0		10	
58201	10000058	1	2	0		10	
58202	10000058	1	3	0		10	
58203	10000058	1	4	0		10	
58204	10000058	1	5	0		10	
58205	10000058	1	6	0		10	
58206	10000058	1	4	0		10	
58207	10000058	1	6	0		10	
66200	10000066	0		0		10	
66201	10000066	1	2	0		10	
66202	10000066	1	3	0		10	
66203	10000066	1	4	0		10	
66204	10000066	1	5	0		10	
66205	10000066	1	6	0		10	
66206	10000066	1	4	0		10	
66207	10000066	1	6	0		10	
60200	10000060	0		0		10	
60201	10000060	1	2	0		10	
60202	10000060	1	3	0		10	
60203	10000060	1	4	6	103106	10	
60204	10000060	1	5	6	103106	10	
60205	10000060	1	6	6	103106	10	
60206	10000060	1	4	6	103106	10	
60207	10000060	1	6	0		10	
65200	10000065	0		0		10	
65201	10000065	1	2	0		10	
65202	10000065	1	3	0		10	
65203	10000065	1	4	0		10	
65204	10000065	1	5	0		10	
65205	10000065	1	6	0		10	
65206	10000065	1	4	0		10	
65207	10000065	1	6	0		10	
59200	10000059	0		0		10	
59201	10000059	1	2	0		10	
59202	10000059	1	3	0		10	
59203	10000059	1	4	0		10	
59204	10000059	1	5	0		10	
59205	10000059	1	6	0		10	
59206	10000059	1	4	0		10	
59207	10000059	1	6	0		10	
69200	10000069	0		0		10	
69201	10000069	1	2	0		10	
69202	10000069	1	3	0		10	
69203	10000069	1	4	0		10	
69204	10000069	1	5	0		10	
69205	10000069	1	6	0		10	
69206	10000069	1	4	0		10	
69207	10000069	1	6	0		10	
67200	10000067	0		0		10	
67201	10000067	1	2	0		10	
67202	10000067	1	3	0		10	
67203	10000067	1	4	0		10	
67204	10000067	1	5	0		10	
67205	10000067	1	6	0		10	
67206	10000067	1	4	0		10	
67207	10000067	1	6	0		10	
68200	10000068	0		0		10	
68201	10000068	1	2	0		10	
68202	10000068	1	3	0		10	
68203	10000068	1	4	0		10	
68204	10000068	1	5	0		10	
68205	10000068	1	6	0		10	
68206	10000068	1	4	0		10	
68207	10000068	1	6	0		10	
70200	10000070	0		0		10	
70201	10000070	1	2	0		10	
70202	10000070	1	3	0		10	
70203	10000070	1	4	0		10	
70204	10000070	1	5	0		10	
70205	10000070	1	6	0		10	
70206	10000070	1	4	0		10	
70207	10000070	1	6	0		10	
71200	10000071	0		0		10	
71201	10000071	1	2	0		10	
71202	10000071	1	3	0		10	
71203	10000071	1	4	0		10	
71204	10000071	1	5	0		10	
71205	10000071	1	6	0		10	
71206	10000071	1	4	0		10	
71207	10000071	1	6	0		10	
72200	10000072	0		0		10	
72201	10000072	1	2	0		10	
72202	10000072	1	3	0		10	
72203	10000072	1	4	0		10	
72204	10000072	1	5	0		10	
72205	10000072	1	6	0		10	
72206	10000072	1	4	0		10	
72207	10000072	1	6	0		10	
73200	10000073	0		0		11	3026
73201	10000073	1	2	0		11	3026
73202	10000073	1	3	0		10	
73203	10000073	1	4	0		11	3026
73204	10000073	1	5	0		11	3026
73205	10000073	1	6	11	3026	10	
73206	10000073	1	4	0		11	3026
73207	10000073	1	6	11	3026	10	
74200	10000074	0		0		10	
74201	10000074	1	2	0		10	
74202	10000074	1	3	0		10	
74203	10000074	1	4	0		10	
74204	10000074	1	5	0		10	
74205	10000074	1	6	0		10	
74206	10000074	1	4	0		10	
74207	10000074	1	6	0		10	
